"package","installed","loaded","version","library_path"
"AnnotationDbi",TRUE,TRUE,"1.60.2","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"ChIPpeakAnno",TRUE,TRUE,"3.32.0","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"ChIPseeker",TRUE,TRUE,"1.34.1","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"chromVAR",TRUE,TRUE,"1.20.2","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"data.table",TRUE,TRUE,"1.18.2.1","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"dplyr",TRUE,TRUE,"1.1.4","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"GenomicRanges",TRUE,TRUE,"1.50.2","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"IRanges",TRUE,TRUE,"2.32.0","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"org.Mm.eg.db",TRUE,TRUE,"3.16.0","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"plyr",TRUE,TRUE,"1.8.9","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"S4Vectors",TRUE,TRUE,"0.36.2","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"tibble",TRUE,TRUE,"3.2.1","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"TxDb.Mmusculus.UCSC.mm10.knownGene",TRUE,TRUE,"3.10.0","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"workflowr",TRUE,FALSE,"1.7.0","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
