baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,description,entrez,ensembl
539.0563225196025,-0.6336985519707072,0.1856912010566595,-3.412647171027497,6.433517816355457e-4,0.04988978615989778,0610005C13Rik,RIKEN cDNA 0610005C13 gene,71661,ENSMUSG00000109644
136.79007840362587,1.3067218793318343,0.35540979524029875,3.6766625366876475,2.3630531317838537e-4,0.023308671304772845,1700001D01Rik,RIKEN cDNA 1700001D01 gene,69279,ENSMUSG00000099419
376.03603363065736,0.7606630341230515,0.20230585137094897,3.759965561887264,1.6993674896012117e-4,0.019032711735336164,1700018L02Rik,RIKEN cDNA 1700018L02 gene,67329,NA
743.1152709854299,0.8073110868079735,0.1428203869166691,5.652631982288442,1.5800938285640537e-8,1.3784738560392804e-5,1700019N19Rik,RIKEN cDNA 1700019N19 gene,67507,ENSMUSG00000026931
836.0730790056782,0.5373298372713751,0.13115413996744488,4.09693386274159,4.1865844990325526e-5,0.0068912760697283,1700028E10Rik,RIKEN cDNA 1700028E10 gene,625175,ENSMUSG00000097321
363.655876350214,0.7025862730187479,0.18835846375937731,3.730048860009191,1.9144264214221297e-4,0.02049258417237627,1700044K03Rik,RIKEN cDNA 1700044K03 gene,67321,ENSMUSG00000100297
2509.622659602218,0.34448024549157064,0.09762468506430663,3.5286182512615234,4.177352643412171e-4,0.03662635624233948,1700110K17Rik,RIKEN cDNA 1700110K17 gene,73558,NA
160.64800039732046,0.9903186322154997,0.2635454226342765,3.757677224353733,1.714978997641657e-4,0.019032711735336164,1810034E14Rik,RIKEN cDNA 1810034E14 gene,66503,ENSMUSG00000097101
696.783382268708,0.95048386182701206,0.19519040911818622,4.869521336222528,1.118689045418088e-6,4.1529545669052767e-4,4930405J17Rik,RIKEN cDNA 4930405J17 gene,73811,ENSMUSG00000110754
446.63755372711705,0.946790412807259,0.2461880571742773,3.8458015537976444,1.20158985048803e-4,0.01445885497332079,4930447A16Rik,RIKEN cDNA 4930447A16 gene,74892,ENSMUSG00000022288
395.92740949572317,-0.6388627286511128,0.1814899022367383,-3.5201006820631275,4.3138301362230606e-4,0.03737281987441484,4930500L23Rik,RIKEN cDNA 4930500L23 gene,74973,ENSMUSG00000106056
119.25745086784026,-1.2419614023664391,0.3195563824748057,-3.886517279824186,1.0169269091688211e-4,0.013441924781195146,4930519F24Rik,RIKEN cDNA 4930519F24 gene,108970,ENSMUSG00000101584
248.93607608561487,1.3642027084859047,0.21059988070726243,6.477699341065491,9.313169209780584e-11,2.0312022046531452e-7,4932413F04Rik,RIKEN cDNA 4932413F04 gene,319215,ENSMUSG00000099616
857.5429971589159,0.4794781625915035,0.1277328871598548,3.7537565559873975,1.7420405739789765e-4,0.019116430147663635,5031434O11Rik,RIKEN cDNA 5031434O11 gene,100039684,NA
99.68616928493161,1.2922429139332814,0.3118211689024658,4.144179558051367,3.4103245942770885e-5,0.005862617927775512,5730403I07Rik,RIKEN cDNA 5730403I07 gene,70487,ENSMUSG00000099170
178.44764899634396,0.9437267443022117,0.2767409270924793,3.4101452004850867,6.492830220732173e-4,0.04990612409309911,A830018L16Rik,RIKEN cDNA A830018L16 gene,320492,ENSMUSG00000057715
391.1362480160353,0.6475394038457433,0.18843068018270295,3.4364860500311685,5.893127005399129e-4,0.04673785454100182,Abhd10,abhydrolase domain containing 10,213012,ENSMUSG00000033157
725.901966154664,0.8260678034575839,0.16223399568083366,5.0918292432538275,3.5462541380303226e-7,1.5468760550088267e-4,Abhd2,abhydrolase domain containing 2,54608,ENSMUSG00000039202
115.01221253362051,-1.2123639013849892,0.3216087686831709,-3.769685467063043,1.6345340726859467e-4,0.01864009836615974,Abo,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase, transferase B, alpha 1-3-galactosyltransferase)",80908,ENSMUSG00000015787
173.5551691758992,0.887366284218207,0.2418425596685203,3.669189928499222,2.4332026275247244e-4,0.023455535605000768,Acsl6,acyl-CoA synthetase long-chain family member 6,216739,ENSMUSG00000020333
947.830968179362,0.6238353119631652,0.1719517015413373,3.6279682397512936,2.8566039069610126e-4,0.026941635118192295,Actn4,actinin alpha 4,60595,ENSMUSG00000054808
562.8227139851447,0.70525083391883725,0.15201863606554478,4.639239320728804,3.4969391740156586e-6,9.38686072434234e-4,Adamts1,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1",11504,ENSMUSG00000022893
602.613934525063,0.8951334313450923,0.2228900518872868,4.016031329194324,5.9186391157419943e-005,0.008987545944850617,Adcy5,adenylate cyclase 5,224129,ENSMUSG00000022840
84.42999094157392,1.2843472421191624,0.36386259464929616,3.529758928248897,4.159384766922664e-4,0.03662635624233948,Agxt2,alanine-glyoxylate aminotransferase 2,268782,ENSMUSG00000089678
1684.0387477861402,0.36906693123356693,0.10488909255371559,3.5186397579382347,4.337652763546583e-4,0.03737281987441484,Ahdc1,"AT hook, DNA binding motif, containing 1",230793,ENSMUSG00000037692
313.09393544818806,1.0332523070300126,0.28104215719085573,3.676502903898261,2.3645316488679467e-4,0.023308671304772845,Ano4,anoctamin 4,320091,ENSMUSG00000035189
361.605408335481,0.7166171166525358,0.18559574183698302,3.8611721883251633,1.1284433961794208e-4,0.014130427591919863,Antxr1,anthrax toxin receptor 1,69538,ENSMUSG00000033420
1249.0530522392787,0.4237569905848546,0.12133540310536757,3.492443093602816,4.786235674474688e-4,0.039957052654657585,Arhgap18,Rho GTPase activating protein 18,73910,ENSMUSG00000039031
1606.6318799192206,0.47516048880720696,0.11012768325470587,4.314632567982428,1.59868576673146e-5,0.003243473169526804,Arhgap21,Rho GTPase activating protein 21,71435,ENSMUSG00000036591
210.8927235761876,1.2550927125210662,0.24492909242813532,5.124310469118009,2.986285669956131e-7,1.3360182658819122e-4,Arhgap28,Rho GTPase activating protein 28,268970,ENSMUSG00000024043
475.04775623922177,0.9131532710816461,0.2332398328275633,3.915082857038189,9.037316695711785e-5,0.012514531881490414,Arhgef16,Rho guanine nucleotide exchange factor (GEF) 16,230972,ENSMUSG00000029032
535.113602193974,0.9987023316178762,0.24003424491354616,4.160666041537455,3.1732081463801566e-5,0.005767305806045934,Arhgef28,Rho guanine nucleotide exchange factor (GEF) 28,110596,ENSMUSG00000021662
1433.9435301943035,0.5034990582223857,0.10704501719648989,4.703619761190491,2.5558905703016672e-6,7.432529778437248e-4,Atosa,NA,NA,NULL
269.4301425431087,0.8675575284708085,0.23635623711680703,3.670550602149172,2.4202854759596492e-4,0.023455535605000768,Atp1b1,"ATPase, Na+/K+ transporting, beta 1 polypeptide",11931,ENSMUSG00000026576
996.0928411214866,0.5636612574796331,0.15810972634935272,3.565000525231386,3.638554598780711e-4,0.03341342138922413,Atp2b2,"ATPase, Ca++ transporting, plasma membrane 2",11941,ENSMUSG00000030302
518.8557606660897,-0.5967188883607013,0.15123470752950866,-3.945647782234581,7.958452869650917e-5,0.01134368155113108,AY702102,cDNA sequence AY702102,446211,ENSMUSG00000103935
704.863911415152,0.5887835689725063,0.16816693109378578,3.501185192254861,4.631938495270698e-4,0.038854837916097666,BC034090,cDNA sequence BC034090,207792,ENSMUSG00000033722
380.5484541736256,1.13216814269393,0.2093108926644329,5.409026392663765,6.336829189742812e-8,4.6068748209430244e-5,Bmp7,bone morphogenetic protein 7,12162,ENSMUSG00000008999
300.89116174543574,1.3007039589374154,0.24015296115165774,5.416147911313967,6.089673035037268e-8,4.6068748209430244e-5,Cachd1,cache domain containing 1,320508,ENSMUSG00000028532
272.2931691262965,0.694904146533622,0.20289210866793553,3.424993466211841,6.148142061472092e-4,0.04810438685585877,Car12,carbonic anhydrase 12,76459,ENSMUSG00000032373
285.8119549939771,-0.7891218318085323,0.21210103350086099,-3.7204997014091825,1.9882897710268342e-4,0.021025260560531032,Casr,calcium-sensing receptor,12374,ENSMUSG00000051980
111.82346981568624,-1.1484259784146602,0.29778971669065546,-3.8564997850736646,1.1502219915302771e-4,0.014182764757391136,Ccsap,"centriole, cilia and spindle associated protein",73420,ENSMUSG00000031971
986.4467080664987,0.4993122044939217,0.12157734235650482,4.1069511375711265,4.009159987948911e-5,0.006662078425688819,Cd34,CD34 antigen,12490,ENSMUSG00000016494
1000.3751158712994,0.6171666830753706,0.1669717171774079,3.69623486844559,2.1882055091709655e-4,0.022069254175731218,Cgnl1,cingulin-like 1,68178,ENSMUSG00000032232
733.3706347324302,1.5864323598826733,0.32903393992323454,4.821485468194548,1.4249310305190036e-6,4.768533874860081e-4,Clmn,calmin,94040,ENSMUSG00000021097
339.54770369579535,0.771663760372717,0.1862039802296821,4.144185099700188,3.410242135161456e-5,0.005862617927775512,Clnk,cytokine-dependent hematopoietic cell linker,27278,ENSMUSG00000039315
220.21819052282385,0.9047198562595752,0.2162060998683604,4.184525121217322,2.8576284625579862e-5,0.005386875005662377,Cnst,"consortin, connexin sorting protein",226744,ENSMUSG00000038949
137.94157270905336,1.4857135877770649,0.3586042947219072,4.143044602768117,3.427252571258037e-5,0.005862617927775512,Cntn1,contactin 1,12805,ENSMUSG00000055022
318.6874723804402,0.7810875915658011,0.21502658340218003,3.632516404285118,2.8067072697305067e-4,0.02676034341106988,Col18a1,"collagen, type XVIII, alpha 1",12822,ENSMUSG00000001435
338.27221213047073,0.8718387844167871,0.23282864224810423,3.7445512545133863,1.8071648367065865e-4,0.01958472799432082,Col6a1,"collagen, type VI, alpha 1",12833,ENSMUSG00000001119
308.12825138622475,0.8220380568349549,0.18011671595997564,4.563918748205596,5.020751671596493e-6,0.0012882658112649355,Cpne2,copine II,234577,ENSMUSG00000034361
1325.313248429725,-0.5183791280413713,0.15011125345748313,-3.45329957682483,5.537736393402417e-4,0.04496694377669891,Cryz,"crystallin, zeta",12972,ENSMUSG00000028199
876.2943569020464,0.5218726649858176,0.14516636006783729,3.5949972482739305,3.2439500557898145e-4,0.03026761527990411,Cyb5r2,cytochrome b5 reductase 2,320635,ENSMUSG00000048065
409.4653742405542,0.7914827655720467,0.2056040968376565,3.849547639106606,1.1833616737724774e-4,0.014338398947209851,D6Ertd527e,"DNA segment, Chr 6, ERATO Doi 527, expressed",52372,ENSMUSG00000090891
329.44839901557225,1.4211610862388515,0.2752858385494014,5.162492534042274,2.4368309704154753e-7,1.1491304532921409e-4,D730045A05Rik,RIKEN cDNA D730045A05 gene,77855,ENSMUSG00000090263
340.6606490525077,0.7925985709674006,0.21021948954222242,3.7703381960130193,1.6302647238047068e-4,0.01864009836615974,Dnm3,dynamin 3,103967,ENSMUSG00000040265
223.60976109669363,1.4443651666469544,0.2683204672608663,5.382985433022204,7.326046917953634e-8,4.889319973957129e-5,Dock5,dedicator of cytokinesis 5,68813,ENSMUSG00000044447
263.03306728302226,1.2342215887495445,0.27726695950971436,4.451383572467465,8.53187870994122e-6,0.0020392358867267727,Dtna,dystrobrevin alpha,13527,ENSMUSG00000024302
517.8830123534613,0.6361533826580618,0.15551148214816626,4.0907164787482095,4.300425923811736e-5,0.006947576992469182,Efcab14,EF-hand calcium binding domain 14,230648,ENSMUSG00000034210
247.37164678979065,0.9001250987628511,0.22916713544871026,3.927810578076137,8.572268358760224e-5,0.011965515065891871,Elavl3,ELAV like RNA binding protein 3,15571,ENSMUSG00000003410
261.6679231527259,1.338391781989022,0.2669083996934935,5.014423613217027,5.319267924661117e-7,2.2097758749877898e-4,Elovl7,"ELOVL family member 7, elongation of long chain fatty acids (yeast)",74559,ENSMUSG00000021696
695.9323447758532,0.5716723482535939,0.14069896878751767,4.0630884019976605,4.8427678390772474e-5,0.007681510296019984,Emp2,epithelial membrane protein 2,13731,ENSMUSG00000022505
863.1585540780312,0.5860568662541935,0.13892393174681764,4.218545061928241,2.458838338925555e-5,0.004820428240176751,Endod1,endonuclease domain containing 1,71946,ENSMUSG00000037419
213.24772506426174,0.8182286411996638,0.23208307696679922,3.5255851132856013,4.225483716827566e-4,0.036863119945603685,Ercc6,"excision repair cross-complementing rodent repair deficiency, complementation group 6",319955,ENSMUSG00000054051
225.8381616704317,1.1752865484678263,0.3031444091582617,3.876985730105443,1.0575855840752875e-4,0.013469162971493151,Fam107a,"family with sequence similarity 107, member A",268709,ENSMUSG00000021750
841.1686235113981,0.4605100127110399,0.1330408878029451,3.4614171651735304,5.373394536959432e-4,0.04443364354543515,Fam122a,"family with sequence similarity 122, member A",68034,ENSMUSG00000074922
348.91583628359314,0.9829529907848504,0.2532522123266486,3.8813204502909637,1.0389083990052352e-4,0.013469162971493151,Fat1,FAT atypical cadherin 1,14107,ENSMUSG00000070047
316.3204824544118,1.3588166243873183,0.2620573313319487,5.185188361191474,2.1579665054242064e-7,1.0757771310469016e-4,Fez1,fasciculation and elongation protein zeta 1 (zygin I),235180,ENSMUSG00000032118
176.30844987509445,1.3278264177505923,0.2837053385145583,4.680301134631117,2.8645385198799575e-6,7.933407634105635e-4,Fhip1a,FHF complex subunit HOOK interacting protein 1A,229488,ENSMUSG00000051000
