baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,description,entrez,ensembl
2962.2384235036134,-0.350550598995066,0.0990622064881024,-3.538691610277911,4.021153271301937e-4,0.04548483808051602,Atp2c1,"ATPase, Ca++-sequestering",235574,ENSMUSG00000032570
2241.6518790936725,-0.46255614881291046,0.10745453393727235,-4.304668512944574,1.672359551739704e-5,0.017692309338610993,Aurkb,aurora kinase B,20877,ENSMUSG00000020897
5018.702744091705,-0.3782048743584672,0.10958400053782592,-3.4512782203814454,5.579380936879931e-4,0.04548483808051602,Csf3r,colony stimulating factor 3 receptor (granulocyte),12986,ENSMUSG00000028859
4555.455389591999,-0.394898215579548,0.10308501747213591,-3.8308012673741825,1.277266390022067e-4,0.04548483808051602,Cstdc2,cystatin domain containing 2,77705,ENSMUSG00000027446
7134.040075011397,-0.33137760300870545,0.09121443573442188,-3.632951301409547,2.801979158899661e-4,0.04548483808051602,Dusp6,dual specificity phosphatase 6,67603,ENSMUSG00000019960
2573.548651729131,-0.3739118922356819,0.10958080089753051,-3.412202586339267,6.444020308889574e-4,0.04798647123353103,Etv1,ets variant 1,14009,ENSMUSG00000004151
2620.221231197546,-0.41492933402119503,0.11993107421036431,-3.4597316563127833,5.40713946767827e-4,0.04548483808051602,Gm13289,predicted gene 13289,545647,ENSMUSG00000096582
4289.201282504582,-0.3314397197173138,0.09243823302436359,-3.5855263441692733,3.3639904070646926e-4,0.04548483808051602,Gm16675,"predicted gene, 16675",100503498,ENSMUSG00000097534
4514.034330810368,-0.39669646625707955,0.11219740997305395,-3.535700747034648,4.0669511128704457e-4,0.04548483808051602,Gm3264,predicted gene 3264,100041306,ENSMUSG00000094132
1684.8227394610312,-0.4086928161579579,0.11649613475899841,-3.50820923804418,4.5113407842750137e-4,0.04548483808051602,Gm5797,predicted gene 5797,545013,ENSMUSG00000072726
2376.092003587495,-0.4142681366452175,0.11658194869855817,-3.5534500947172876,3.802133293176618e-4,0.04548483808051602,Gng10,"guanine nucleotide binding protein (G protein), gamma 10",14700,ENSMUSG00000038607
3011.1898889350537,-0.4791943454545978,0.11180806787338096,-4.285865542344136,1.8202906472662106e-5,0.017692309338610993,Impact,"impact, RWD domain protein",16210,ENSMUSG00000024423
3461.5527599236975,-0.34555286037060545,0.09693115108297244,-3.564930948512253,3.639519946807e-4,0.04548483808051602,Irf2,interferon regulatory factor 2,16363,ENSMUSG00000031627
3151.6228726522804,-0.34168975949964286,0.09917100186739923,-3.445460397349959,5.7008749608525e-4,0.04548483808051602,Itga6,integrin alpha 6,16403,ENSMUSG00000027111
2714.4467513661925,-0.43042777149318456,0.11173292059494876,-3.8522914213758,1.170176406349572e-4,0.04548483808051602,Itgav,integrin alpha V,16410,ENSMUSG00000027087
4080.8495453922533,-0.3954384215006796,0.10986376328831121,-3.599352595113148,3.190104008630328e-4,0.04548483808051602,Jmjd1c,jumonji domain containing 1C,108829,ENSMUSG00000037876
1906.2602432092322,-0.4501895560734488,0.11875898506649937,-3.790783121137016,1.5017304283816785e-4,0.04548483808051602,Klrb1b,killer cell lectin-like receptor subfamily B member 1B,80782,ENSMUSG00000079298
2083.740861094695,-0.3403361440880235,0.09758978298805739,-3.487415728034484,4.87712597124875e-4,0.04548483808051602,Mir8101,microRNA 8101,102465892,ENSMUSG00000098863
8505.06991906931,-0.3276412202387708,0.09099621368853192,-3.6006027828832927,3.174802921598499e-4,0.04548483808051602,Naa20,"N(alpha)-acetyltransferase 20, NatB catalytic subunit",67877,ENSMUSG00000002728
3619.124875676776,-0.3919035388473721,0.11231744346822804,-3.4892491027738926,4.8437953193258756e-4,0.04548483808051602,Pon1,paraoxonase 1,18979,ENSMUSG00000002588
2741.9777407813413,-0.3963753272182036,0.11542067448765823,-3.4341796127745505,5.943502236257024e-4,0.04578546205447652,Ppp1r3b,"protein phosphatase 1, regulatory subunit 3B",244416,ENSMUSG00000046794
9662.792061037877,-0.42759116108094614,0.12010719378256512,-3.5600795224225417,3.707425064947209e-4,0.04548483808051602,Rasgrp3,"RAS, guanyl releasing protein 3",240168,ENSMUSG00000071042
3484.062649947598,-0.3864926889584668,0.09338489662421337,-4.138706610274864,3.492692529911858e-5,0.019506687779557726,Rassf3,Ras association (RalGDS/AF-6) domain family member 3,192678,ENSMUSG00000025795
2826.328778199776,-0.4368428113070996,0.10336344810492915,-4.226279398725551,2.3758696515592203e-5,0.017692309338610993,Rnase4,"ribonuclease, RNase A family 4",58809,ENSMUSG00000021876
1702.8145359305508,-0.36198712776806197,0.10305974142435469,-3.5124008925809176,4.440775943401213e-4,0.04548483808051602,Scnm1,sodium channel modifier 1,69269,ENSMUSG00000092607
5024.09222193239,-0.34451809732566147,0.0991010347550236,-3.4764328967634444,5.081313683165068e-4,0.04548483808051602,Slc1a3,"solute carrier family 1 (glial high affinity glutamate transporter), member 3",20512,ENSMUSG00000005360
9045.78662704193,-0.36936772027933895,0.10271577027373448,-3.596017625092865,3.231259162625647e-4,0.04548483808051602,St3gal6,"ST3 beta-galactoside alpha-2,3-sialyltransferase 6",54613,ENSMUSG00000022747
1790.5286684834064,-0.4447801938991923,0.12002813294835445,-3.7056328626770507,2.108635576376898e-4,0.04548483808051602,Tmem50a,transmembrane protein 50A,71817,ENSMUSG00000028822
6054.040231966598,-0.341341837922518,0.09087181856492088,-3.7563002844347797,1.724437663960436e-4,0.04548483808051602,Zfp608,zinc finger protein 608,269023,ENSMUSG00000052713
1727.8771652283763,-0.3880481514214548,0.11178222853457723,-3.4714655138712067,5.176258132684919e-4,0.04548483808051602,Zyx,zyxin,22793,ENSMUSG00000029860
