samplename,condition,mark
PFC8.H3K27ac,PreFrontalCortex,K27ac
PFC9.H3K27ac,PreFrontalCortex,K27ac
STR8.H3K27ac,Striatum,K27ac
STR9.H3K27ac,Striatum,K27ac
VTA8.H3K27ac,VTA,K27ac
VTA9.H3K27ac,VTA,K27ac
CTX8.H3K27ac,Cortex,K27ac
CTX9.H3K27ac,Cortex,K27ac
HPP8.H3K27ac,Hippocampus,K27ac
HPP9.H3K27ac,Hippocampus,K27ac
PFC8.H3K27me3,PreFrontalCortex,K27me3
PFC9.H3K27me3,PreFrontalCortex,K27me3
STR8.H3K27me3,Striatum,K27me3
STR9.H3K27me3,Striatum,K27me3
VTA8.H3K27me3,VTA,K27me3
VTA9.H3K27me3,VTA,K27me3
CTX8.H3K27me3,Cortex,K27me3
CTX9.H3K27me3,Cortex,K27me3
HPP8.H3K27me3,Hippocampus,K27me3
HPP9.H3K27me3,Hippocampus,K27me3
