refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_processor_id	refinebio_processor_name	refinebio_processor_version	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment
MCTX4	SRP140558							MUS_MUSCULUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	298	Tximport	v1.20.0				SRA		subject_001		Cortex	Cortex
MCTX5	SRP140558							MUS_MUSCULUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	298	Tximport	v1.20.0				SRA		subject_002		Cortex	Cortex
MCTX6	SRP140558							MUS_MUSCULUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	298	Tximport	v1.20.0				SRA		subject_003		Cortex	Cortex
MCTX7	SRP140558							MUS_MUSCULUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	298	Tximport	v1.20.0				SRA		subject_004		Cortex	Cortex
MCTX8	SRP140558							MUS_MUSCULUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	298	Tximport	v1.20.0				SRA		subject_005		Cortex	Cortex
MCTX9	SRP140558							MUS_MUSCULUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	298	Tximport	v1.20.0				SRA		subject_006		Cortex	Cortex
MHPP4	SRP140558							MUS_MUSCULUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	298	Tximport	v1.20.0				SRA		subject_001		Hippocampus	Hippocampus
MHPP5	SRP140558							MUS_MUSCULUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	298	Tximport	v1.20.0				SRA		subject_002		Hippocampus	Hippocampus
MHPP6	SRP140558							MUS_MUSCULUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	298	Tximport	v1.20.0				SRA		subject_003		Hippocampus	Hippocampus
MHPP7	SRP140558							MUS_MUSCULUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	298	Tximport	v1.20.0				SRA		subject_004		Hippocampus	Hippocampus
MHPP8	SRP140558							MUS_MUSCULUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	298	Tximport	v1.20.0				SRA		subject_005		Hippocampus	Hippocampus
MHPP9	SRP140558							MUS_MUSCULUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	298	Tximport	v1.20.0				SRA		subject_006		Hippocampus	Hippocampus
MPFC5	SRP140558							MUS_MUSCULUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	298	Tximport	v1.20.0				SRA		subject_002		PreFrontalCtx	PreFrontalCtx
