gene_id,MCTX4,MCTX5,MCTX6,MCTX7,MCTX8,MCTX9,MHPP4,MHPP5,MHPP6,MHPP7,MHPP8,MHPP9,MPFC5,MPFC6,MPFC7,MPFC8,MPFC9,MSTR5,MSTR6,MSTR7,MSTR8,MSTR9,MVTA4,MVTA5,MVTA6,MVTA7,MVTA8,MVTA9
Gm38717|Gm38717,0,0,0,24,6,48,12,24,0,11,12,0,4,5,0,8,0,0,12,0,0,68,6,0,0,8,0,22
Rp1|Rp1,15,0,0,9,8,45,11,9,9,8,0,0,19,0,10,6,27,0,0,0,0,7,0,13,0,12,0,24
LOC108167609|LOC108167609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm39586|Gm39586,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC108167610|LOC108167610,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
Xkr4|Xkr4,8,23,4,0,0,59,34,0,0,0,19,7,0,3,0,0,0,14,13,28,84,36,14,15,10,0,10,0
Gm39585|Gm39585,36,8,6,21,27,62,22,0,0,10,32,29,21,23,5,12,72,17,11,20,51,56,36,17,20,16,72,136
Sox17|Sox17,2368,2309,1965,3261,4488,8152,1901,3746,1528,2028,4861,4769,3297,418,1636,3946,7468,1592,2644,884,1791,6153,701,1498,1546,3384,2627,5112
Mrpl15|Mrpl15,2605,1856,1944,2356,6507,7338,2185,2863,2381,2823,7377,7949,2191,2381,2314,6129,8293,2079,1966,2179,6773,7097,2031,1970,2606,2449,6657,5969
Rgs20|Rgs20,109,58,75,68,83,174,63,36,26,78,153,160,49,20,79,102,95,112,41,107,215,244,81,62,69,27,53,67
Gm16041|Gm16041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
Oprk1|Oprk1,6,0,7,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,8,0,12,0,0,0,0,0,0
Atp6v1h|Atp6v1h,6649,4067,4476,5803,14336,17701,6328,7543,5704,8250,19307,24794,5324,5294,5577,12580,19900,4986,4619,5588,14614,19198,4721,4545,4869,6367,14766,14116
