"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Dataset","Region","Comparison"
"1","BP","GO:0001501","skeletal system development","19/343","462/18791",0.000893853806195478,0.0388440172568899,0.0331870087628392,"Bmp6/Bmp7/Etl4/Fbn1/Fgf18/Frem1/Gsc/Itgb8/Msx1/Pdgfra/Ptpn11/Scx/Sfrp1/Sh3pxd2b/Sulf1/Tgfb2/Tulp3/Wfikkn2/Xylt1",19,"HPP vs CTX","HPP","CTX"
"2","BP","GO:0001525","angiogenesis","10/127","485/18791",0.00169490731949659,0.0494234974365206,0.0416768789299373,"Adamts1/Aqp1/Cd34/Col8a1/Dab2ip/Lef1/Nrarp/Parva/Sulf1/Tgfb2",10,"HPP vs STR","HPP","STR"
"3","BP","GO:0001525","angiogenesis","19/282","485/18791",0.000143315548354036,0.0456375387109891,0.0416046272070096,"Ackr3/Acvrl1/Btg1/Cd34/Epha2/Foxj2/Gata2/Glul/Gtf2i/Hhex/Hmox1/Jak1/Jmjd8/Jup/Nr4a1/Prcp/Ptprm/Tal1/Tjp1",19,"CTX vs STR","CTX","STR"
"4","BP","GO:0001570","vasculogenesis","6/187","82/18791",0.000167665793545353,0.0311831985974819,0.0277102028932482,"Cd34/Emp2/Itgb8/Ntrk2/Tgfbr3/Yap1",6,"HPP vs PFC","HPP","PFC"
"5","BP","GO:0001654","eye development","18/343","356/18791",0.000103706861779014,0.0115338984695631,0.00985417103096346,"Aqp1/Bmp6/Bmp7/Col8a1/Col8a2/Crb2/Cryaa/Grhl3/Mir23b/Ntrk2/Pdgfra/Prox1/Sh3pxd2b/Slc4a5/Tgfb2/Tmod1/Ttll5/Tulp3",18,"HPP vs CTX","HPP","CTX"
"6","BP","GO:0001655","urogenital system development","11/127","340/18791",1.98756318772718e-05,0.00482977854617705,0.00407276105836026,"Adamts1/Aqp1/Bmp7/Fbn1/Fras1/Id3/Prlr/Smad6/Sulf1/Tgfb2/Yap1",11,"HPP vs STR","HPP","STR"
"7","BP","GO:0001655","urogenital system development","16/343","340/18791",0.000549453986296277,0.0288668362949686,0.0246628442867001,"Aqp1/Bmp6/Bmp7/Col4a4/Esr2/Fbn1/Fras1/Mir125b-1/Pdgfra/Prlr/Pygo1/Sfrp1/Smad6/Sulf1/Tgfb2/Yap1",16,"HPP vs CTX","HPP","CTX"
"8","BP","GO:0001656","metanephros development","6/127","74/18791",1.07664848356185e-05,0.00336375747649965,0.00283652352360955,"Aqp1/Bmp7/Fbn1/Fras1/Id3/Yap1",6,"HPP vs STR","HPP","STR"
"9","BP","GO:0001764","neuron migration","1/2","182/18791",0.019277677261563,0.0402316742850011,0.00352909423552641,"Shtn1",1,"STR vs PFC","STR","PFC"
"10","BP","GO:0001822","kidney development","10/127","293/18791",3.05830856109645e-05,0.00608047347556176,0.00512742258281434,"Adamts1/Aqp1/Bmp7/Fbn1/Fras1/Id3/Smad6/Sulf1/Tgfb2/Yap1",10,"HPP vs STR","HPP","STR"
