baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,description,entrez,ensembl
2962.2384235036134,-0.350550598995045,0.09906220649418239,-3.53869161006051,4.021153274613324e-4,0.04548483811657851,Atp2c1,"ATPase, Ca++-sequestering",235574,ENSMUSG00000032570
2241.6518790936725,-0.4625561488129011,0.10745453394294442,-4.304668512717262,1.6723595534567724e-5,0.017692309357825294,Aurkb,aurora kinase B,20877,ENSMUSG00000020897
5018.702744091705,-0.3782048743584582,0.10958400054420649,-3.451278220180411,5.579380941036162e-4,0.04548483811657851,Csf3r,colony stimulating factor 3 receptor (granulocyte),12986,ENSMUSG00000028859
4555.455389591999,-0.39489821557955274,0.1030850174785327,-3.830801267136514,1.2772663912559329e-4,0.04548483811657851,Cstdc2,cystatin domain containing 2,77705,ENSMUSG00000027446
7134.040075011397,-0.3313776030086929,0.0912144357413359,-3.6329513011340326,2.8019791618926295e-4,0.04548483811657851,Dusp6,dual specificity phosphatase 6,67603,ENSMUSG00000019960
2573.548651729131,-0.3739118922356855,0.1095808009032732,-3.4122025861604803,6.444020313116285e-4,0.04798647126500594,Etv1,ets variant 1,14009,ENSMUSG00000004151
2620.221231197546,-0.41492933402120813,0.11993107421608937,-3.459731656147738,5.407139470992224e-4,0.04548483811657851,Gm13289,predicted gene 13289,545647,ENSMUSG00000096582
4289.201282504582,-0.33143971971730773,0.09243823303093125,-3.5855263439144593,3.363990410349565e-4,0.04548483811657851,Gm16675,"predicted gene, 16675",100503498,ENSMUSG00000097534
4514.034330810368,-0.39669646625706845,0.11219740997933456,-3.5357007468366275,4.066951115918718e-4,0.04548483811657851,Gm3264,predicted gene 3264,100041306,ENSMUSG00000094132
1684.8227394610312,-0.4086928161579596,0.11649613476413605,-3.508209237889478,4.511340786898564e-4,0.04548483811657851,Gm5797,predicted gene 5797,545013,ENSMUSG00000072726
2376.092003587495,-0.4142681366452128,0.1165819487041373,-3.553450094547194,3.8021332956353343e-4,0.04548483811657851,Gng10,"guanine nucleotide binding protein (G protein), gamma 10",14700,ENSMUSG00000038607
3011.1898889350537,-0.4791943454545906,0.11180806787928228,-4.285865542117859,1.8202906491192297e-5,0.017692309357825294,Impact,"impact, RWD domain protein",16210,ENSMUSG00000024423
3461.5527599236975,-0.34555286037059973,0.09693115108924777,-3.5649309482814004,3.6395199500103816e-4,0.04548483811657851,Irf2,interferon regulatory factor 2,16363,ENSMUSG00000031627
3151.6228726522804,-0.34168975949964286,0.09917100187356696,-3.4454603971356756,5.700874965372418e-4,0.04548483811657851,Itga6,integrin alpha 6,16403,ENSMUSG00000027111
2714.4467513661925,-0.4304277714931767,0.1117329206007341,-3.852291421176264,1.1701764073033857e-4,0.04548483811657851,Itgav,integrin alpha V,16410,ENSMUSG00000027087
4080.8495453922533,-0.3954384215006772,0.10986376329450083,-3.5993525949103424,3.1901040111180647e-4,0.04548483811657851,Jmjd1c,jumonji domain containing 1C,108829,ENSMUSG00000037876
1906.2602432092322,-0.45018955607343936,0.11875898507180736,-3.790783120967506,1.501730429406674e-4,0.04548483811657851,Klrb1b,killer cell lectin-like receptor subfamily B member 1B,80782,ENSMUSG00000079298
2083.740861094695,-0.3403361440880338,0.09758978299378387,-3.4874157278299514,4.877125974979047e-4,0.04548483811657851,Mir8101,microRNA 8101,102465892,ENSMUSG00000098863
8505.06991906931,-0.32764122023876646,0.09099621369550623,-3.6006027826072806,3.174802924969022e-4,0.04548483811657851,Naa20,"N(alpha)-acetyltransferase 20, NatB catalytic subunit",67877,ENSMUSG00000002728
3619.124875676776,-0.39190353884737333,0.11231744347432028,-3.489249102584642,4.8437953227554466e-4,0.04548483811657851,Pon1,paraoxonase 1,18979,ENSMUSG00000002588
