"","ontology","parent","score","parentTerm","Dataset","Region","Comparison","log_pvalue"
"1","BP","GO:0001832",1.95215656232277,"Blastocyst growth","PFC vs STR","PFC","STR",1.95215656232277
"2","BP","GO:0001974",1.95215656232277,"Blood vessel remodeling","PFC vs STR","PFC","STR",1.95215656232277
"3","BP","GO:0002262",1.56774068426734,"Myeloid cell homeostasis","VTA vs CTX","VTA","CTX",1.56774068426734
"4","BP","GO:0003301",1.95215656232277,"Physiological cardiac muscle hypertrophy","PFC vs STR","PFC","STR",1.95215656232277
"5","BP","GO:0007018",1.641513657304,"Microtubule-based movement","CTX vs HPP","CTX","HPP",1.641513657304
"6","BP","GO:0007030",1.81439977648447,"Golgi organization","CTX vs HPP","CTX","HPP",1.81439977648447
"7","BP","GO:0007519",1.7347275247521,"Skeletal muscle tissue development","STR vs CTX","STR","CTX",1.7347275247521
"8","BP","GO:0007530",1.80703897830402,"Sex determination","CTX vs STR","CTX","STR",1.80703897830402
"9","BP","GO:0010828",1.95215656232277,"Positive regulation of glucose transmembrane transport","PFC vs STR","PFC","STR",1.95215656232277
"10","BP","GO:0010893",1.95215656232277,"Positive regulation of steroid biosynthetic process","PFC vs STR","PFC","STR",1.95215656232277
"11","BP","GO:0010970",1.81439977648447,"Transport along microtubule","CTX vs HPP","CTX","HPP",1.81439977648447
"12","BP","GO:0014009",2.30736726881597,"Glial cell proliferation","VTA vs CTX","VTA","CTX",2.30736726881597
"13","BP","GO:0014904",1.95215656232277,"Myotube cell development","PFC vs STR","PFC","STR",1.95215656232277
"14","BP","GO:0016339",1.60876288573955,"Calcium-dependent cell-cell adhesion via plasma membrane
Cell adhesion molecules","VTA vs STR","VTA","STR",1.60876288573955
"15","BP","GO:0021930",1.95215656232277,"Cerebellar granule cell precursor proliferation","PFC vs STR","PFC","STR",1.95215656232277
"16","BP","GO:0030100",1.81439977648447,"Regulation of endocytosis","CTX vs HPP","CTX","HPP",1.81439977648447
"17","BP","GO:0031641",1.95215656232277,"Regulation of myelination","PFC vs STR","PFC","STR",1.95215656232277
"18","BP","GO:0042531",1.33780311778151,"Positive regulation of tyrosine phosphorylation of stat
Protein","VTA vs CTX","VTA","CTX",1.33780311778151
"19","BP","GO:0048511",1.71039494671181,"Rhythmic process","STR vs CTX","STR","CTX",1.71039494671181
"20","BP","GO:0050427",3.93302426495573,"3'-phosphoadenosine 5'-phosphosulfate metabolic process","HPP vs STR","HPP","STR",3.93302426495573
"21","BP","GO:0050807",4.55866622680428,"Regulation of synapse organization","HPP vs PFC","HPP","PFC",4.55866622680428
"22","BP","GO:0051645",2.32468939445685,"Golgi localization","CTX vs HPP","CTX","HPP",2.32468939445685
"23","BP","GO:0051657",2.32468939445685,"Maintenance of organelle location","CTX vs HPP","CTX","HPP",2.32468939445685
"24","BP","GO:0051923",3.57550555295358,"Sulfation","HPP vs STR","HPP","STR",3.57550555295358
"25","BP","GO:0060537",1.66151676381159,"Muscle tissue development","STR vs CTX","STR","CTX",1.66151676381159
"26","BP","GO:0070102",1.35286591747873,"Interleukin-6-mediated signaling pathway","VTA vs CTX","VTA","CTX",1.35286591747873
"27","BP","GO:0097485",3.86492119604467,"Neuron projection guidance","HPP vs PFC","HPP","PFC",3.86492119604467
