"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Dataset","Region","Comparison"
"1","BP","GO:0000271","polysaccharide biosynthetic process","1/1","64/19219",0.00333003798324571,0.0112352268360164,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"2","BP","GO:0000280","nuclear division","1/1","418/19219",0.0217493105780736,0.0229764117585486,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"3","BP","GO:0001501","skeletal system development","1/1","460/19219",0.0239346480045786,0.024475544004682,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"4","BP","GO:0001503","ossification","1/1","375/19219",0.0195119413080805,0.0216224165924239,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"5","BP","GO:0001558","regulation of cell growth","1/1","385/19219",0.0200322597429629,0.0217550340808577,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"6","BP","GO:0001649","osteoblast differentiation","1/1","197/19219",0.0102502731671782,0.0152429199476619,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"7","BP","GO:0001655","urogenital system development","1/1","339/19219",0.0176387949425048,0.0202064676240086,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"8","BP","GO:0001667","ameboidal-type cell migration","1/1","414/19219",0.0215411832041208,0.0228454345309328,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"9","BP","GO:0001678","cellular glucose homeostasis","1/1","145/19219",0.00754461730579115,0.0137474067014919,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"10","BP","GO:0001701","in utero embryonic development","1/1","490/19219",0.0254956033092252,0.025637245549832,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"11","BP","GO:0001755","neural crest cell migration","7/444","51/19219",0.00016117681477785,0.0164400351073407,0.0157509973830442,"Ednrb/Kitl/Sema3a/Sema3d/Sema3e/Sema4b/Zeb2",7,"HPP vs PFC","HPP","PFC"
"12","BP","GO:0001763","morphogenesis of a branching structure","1/1","211/19219",0.0109787189760133,0.0156058754030765,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"13","BP","GO:0001818","negative regulation of cytokine production","1/1","257/19219",0.0133721837764711,0.0175388787213135,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"14","BP","GO:0001818","negative regulation of cytokine production","3/14","257/19219",0.000771338391719505,0.043709175530772,0.0232754742764482,"Bank1/Il6/Inpp5d",3,"HPP vs CTX","HPP","CTX"
"15","BP","GO:0001824","blastocyst development","1/1","141/19219",0.00733648993183822,0.0136428562773567,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"16","BP","GO:0001832","blastocyst growth","1/1","28/19219",0.00145689161767004,0.0111646069329911,NA,"Igf1",1,"PFC vs STR","PFC","STR"
