baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,description,entrez,ensembl
352.84608752056874,0.7288248627534427,0.17705562225225852,4.116361025322628,3.8490123778567215e-5,0.04230889391631221,1700021F07Rik,RIKEN cDNA 1700021F07 gene,72221,ENSMUSG00000027518
305.9779172888928,0.8170588715008738,0.16874047972633255,4.842103523861019,1.2847179692843092e-6,0.008746544896518821,4933411E08Rik,RIKEN cDNA 4933411E08 gene,71067,ENSMUSG00000112500
316.637572255092,0.9311719123077108,0.1969708536539558,4.727460408653257,2.2734537387793415e-6,0.008746544896518821,5730435O14Rik,RIKEN cDNA 5730435O14 gene,70538,ENSMUSG00000091370
167.39795544733155,0.903973034906991,0.20756670143503614,4.355096596213507,1.3300825180267085e-5,0.01868564115127147,8030442B05Rik,RIKEN cDNA 8030442B05 gene,77543,ENSMUSG00000102674
536.2078511605469,0.5940600281065347,0.13158492141660064,4.514651235955282,6.342104998743501e-6,0.012199831728207967,Abcg3,ATP binding cassette subfamily G member 3,27405,ENSMUSG00000029299
2802.5559185545912,-0.4142481713334192,0.088846187220224,-4.662531778731458,3.12342836587515e-6,0.009613287824490538,Arhgap21,Rho GTPase activating protein 21,71435,ENSMUSG00000036591
422.760265679373,0.8188253470261534,0.17900542566245553,4.574304627895383,4.7780422599985145e-6,0.01118006771312385,Bank1,B cell scaffold protein with ankyrin repeats 1,242248,ENSMUSG00000037922
163.17760624936264,0.9801312064932335,0.22510107380396358,4.354182723032285,1.3356426841509272e-5,0.01868564115127147,E2f3,E2F transcription factor 3,13557,ENSMUSG00000016477
248.07786112999793,0.8848723962189932,0.2186288355123979,4.047372772878417,5.1795718497849705e-5,0.04981776949771307,Gm10125,predicted gene 10125,791318,ENSMUSG00000063087
699.5496497023895,0.7693800871904527,0.129866387772024,5.924397377873273,3.1344467431459147e-9,4.8236000930272485e-5,Gm34184,"predicted gene, 34184",102637349,ENSMUSG00000111049
131.87279759884328,1.0065048536569015,0.2441190626737756,4.123008021712452,3.7395667025217046e-05,0.04230889391631221,Il6,interleukin 6,16193,ENSMUSG00000025746
141.09207928854593,1.1236530686940973,0.23676315254169647,4.745895028983491,2.0758635280579516e-6,0.008746544896518821,Inpp5d,inositol polyphosphate-5-phosphatase D,16331,ENSMUSG00000026288
290.12392476511866,0.7824343104196096,0.1911991731802868,4.0922473534016355,4.2721258969018376e-5,0.04382916361828159,Lncenc1,"long non-coding RNA, embryonic stem cells expressed 1",100039691,ENSMUSG00000078952
387.73228319912795,0.8744282333916709,0.1917088623822108,4.561230099254981,5.085481447258883e-6,0.01118006771312385,Rreb1,ras responsive element binding protein 1,68750,ENSMUSG00000039087
347.7467633102595,0.8246935642420552,0.18905785205778158,4.362122785516493,1.2880654292859882e-5,0.01868564115127147,Sema4b,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B",20352,ENSMUSG00000030539
105.294700353792,1.133739592316944,0.2752555392482246,4.118862041481175,3.807480012421652e-5,0.04230889391631221,Vav2,vav 2 oncogene,22325,ENSMUSG00000009621
