baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,description,entrez,ensembl
3609.269805145434,0.2875393174400734,0.08984363384210704,3.200441758014826,0.0013721709838732364,0.049948619360641475,0610038B21Rik,RIKEN cDNA 0610038B21 gene,70345,ENSMUSG00000097882
715.5069141983313,-0.47132545415730936,0.12595331592771847,-3.7420646744051704,1.8251452574463375e-4,0.01655741226743091,1500015L24Rik,RIKEN cDNA 1500015L24 gene,68994,ENSMUSG00000094732
719.2847460704011,-0.5476279405383089,0.12286302023806404,-4.457223495541655,8.30280275798676e-6,0.002874767432188556,1700001G01Rik,RIKEN cDNA 1700001G01 gene,75433,ENSMUSG00000087170
1068.2808961265835,-0.5658362616497795,0.14919016645234245,-3.7927182139751223,1.490072111185019e-4,0.015169660956307975,1700003I22Rik,RIKEN cDNA 1700003I22 gene,69356,ENSMUSG00000100372
782.2596777459563,0.4993699789129673,0.14521975275392934,3.438719385228091,5.844727426297663e-4,0.03247886130175543,1700016A09Rik,RIKEN cDNA 1700016A09 gene,74227,ENSMUSG00000102737
352.84608752056874,-0.7142895290606434,0.1733726786175651,-4.1199659297891,3.7892842651021486e-5,0.00708200262203121,1700021F07Rik,RIKEN cDNA 1700021F07 gene,72221,ENSMUSG00000027518
819.1148292416492,-0.591443037915529,0.14004768125221295,-4.2231548043297815,2.409062291192066e-5,0.006033255602061411,1700030L20Rik,RIKEN cDNA 1700030L20 gene,70055,ENSMUSG00000099508
1329.6699034561102,0.47680419048380285,0.12103997322709788,3.939229146962981,8.174382824860813e-5,0.010483742117996589,1700034G24Rik,RIKEN cDNA 1700034G24 gene,67325,ENSMUSG00000097962
992.9671384295012,0.48084025607204944,0.13298980840730595,3.615617330610681,2.9963272325822965e-4,0.02269559815294168,1700034H15Rik,RIKEN cDNA 1700034H15 gene,98736,ENSMUSG00000055833
430.16319057809767,-0.5525425356653126,0.16659953710720415,-3.3165910617732406,9.112288645161633e-4,0.040462439154153894,1700046C09Rik,RIKEN cDNA 1700046C09 gene,73307,ENSMUSG00000085561
3426.617012256109,-0.37513390623685233,0.10155032977385169,-3.6940688136834194,2.2069403579330266e-4,0.018928292576737917,1700060C16Rik,RIKEN cDNA 1700060C16 gene,73425,ENSMUSG00000086887
1054.7203670378485,0.3856519428658824,0.11561762169497465,3.3355810058376667,8.512135034100252e-4,0.03947739070259384,1700067G17Rik,RIKEN cDNA 1700067G17 gene,73475,ENSMUSG00000099378
1412.968260338661,-0.5154781380245768,0.11633751493967792,-4.430884898064541,9.38471752450292e-6,0.002937885821045639,2310008N11Rik,RIKEN cDNA 2310008N11 gene,72316,ENSMUSG00000100335
948.8722203182008,-0.577987849537831,0.10776262000884433,-5.36352818343127,8.161191090727758e-8,1.2774304354761624e-4,2610042L04Rik,RIKEN cDNA 2610042L04 gene,554327,ENSMUSG00000079388
483.12512959846737,0.48407441165999127,0.14162496931503504,3.418001882021248,6.308267072059637e-4,0.033330008555413834,2700046A07Rik,RIKEN cDNA 2700046A07 gene,78449,ENSMUSG00000041789
276.231718137259,0.7183975787204295,0.19655810038031454,3.654886658603349,2.572956210563856e-4,0.021057880829203013,2900052L18Rik,RIKEN cDNA 2900052L18 gene,102640779,NA
418.7175607676386,-0.47380076989989756,0.14009166771210668,-3.382076733311326,7.194004656463047e-4,0.03574735170961519,3425401B19Rik,RIKEN cDNA 3425401B19 gene,100504518,ENSMUSG00000071540
567.9836394973682,-0.5510009878280635,0.1713376014590032,-3.215878961396015,0.001300456685708768,0.04871989777421653,4921533I20Rik,PRP18 pre-mRNA processing factor 18 homolog pseudogene,664619,ENSMUSG00000117460
3687.6833363086826,-0.46454642964084764,0.13922348327395875,-3.3366959274157115,8.478064814453208e-4,0.039465549296127535,4930404A05Rik,RIKEN cDNA 4930404A05 gene,73820,ENSMUSG00000116611
356.4275414542768,-0.48325247298574514,0.14880414375791154,-3.2475740310830683,0.0011639338025281553,0.04604815812359032,4930431P03Rik,RIKEN cDNA 4930431P03 gene,73895,ENSMUSG00000075042
3298.296480258747,-0.5491566218363384,0.11258997457042616,-4.877491303569266,1.074435836356928e-6,7.91416796638909e-4,4930441H08Rik,RIKEN cDNA 4930441H08 gene,78156,ENSMUSG00000108669
144.18339878182874,-0.8013863371736721,0.2237977164511293,-3.580851269984566,3.424765729068192e-4,0.023824953588551055,4930447M23Rik,RIKEN cDNA 4930447M23 gene,108871,NA
4816.183538411011,0.329395922097873,0.09675022965428214,3.404600932472247,6.626080825972606e-4,0.03414476712050575,4930519K11Rik,RIKEN cDNA 4930519K11 gene,78019,ENSMUSG00000114953
132.3342428114919,-0.7420030497087456,0.2277075221984551,-3.25857943797774,0.0011197152318284604,0.045229271396632194,4930522O17Rik,RIKEN cDNA 4930522O17 gene,78180,ENSMUSG00000086947
448.7654842685853,-0.5862807542972205,0.1479542492490112,-3.962581387645672,7.414371932257149e-5,0.010377045194860792,4930548J01Rik,RIKEN cDNA 4930548J01 gene,78043,ENSMUSG00000116615
1235.4737941028893,-0.46365150746473494,0.13978547685648862,-3.3168789626174457,9.102904286471313e-4,0.040462439154153894,4930554G24Rik,RIKEN cDNA 4930554G24 gene,75280,ENSMUSG00000085452
2532.3108174656563,-0.33782319698978314,0.09792799980907188,-3.4497099670005493,5.611891267220301e-4,0.03208771801284594,4930563F08Rik,RIKEN cDNA 4930563F08 gene,75369,ENSMUSG00000105773
2673.7453957505363,0.4129682063885544,0.11490284807831333,3.5940641445814405,3.255596315138376e-4,0.023227174456049746,4930572O13Rik,RIKEN cDNA 4930572O13 gene,75862,ENSMUSG00000114916
2499.7450925561343,-0.4514438380658717,0.11344331984537134,-3.9794660336211174,6.907022707055341e-5,0.010140935198891516,4933402C06Rik,RIKEN cDNA 4933402C06 gene,71029,ENSMUSG00000102004
