"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Comparison","Mark"
"GO:0002253","BP","GO:0002253","activation of immune response","8/100","448/28943",0.000166255306940756,0.00462770591462304,0.0032533960981268,"Prkch/Mef2c/Fyb/Nckap1l/Klhl6/Malt1/Lyn/Prkcb",8,"HPPvsSTR","H3K27me3"
"GO:0007189","BP","GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway","6/100","153/28943",1.56564134405948e-05,0.00129635103288125,0.000911368066594626,"Arrdc3/Adgre1/Adrb2/Calcrl/Abca1/Akap13",6,"HPPvsSTR","H3K27me3"
"GO:0007188","BP","GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","6/100","231/28943",0.000154521202997383,0.00441184676144253,0.00310164157014711,"Arrdc3/Adgre1/Adrb2/Calcrl/Abca1/Akap13",6,"HPPvsSTR","H3K27me3"
"GO:0046631","BP","GO:0046631","alpha-beta T cell activation","6/100","191/28943",5.44032423214579e-05,0.00231658573180155,0.00162861925970793,"Ly9/Prdm1/Dock2/Nckap1l/Malt1/Il6",6,"HPPvsSTR","H3K27me3"
"GO:0050851","BP","GO:0050851","antigen receptor-mediated signaling pathway","8/100","307/28943",1.16893955365506e-05,0.0011167868658766,0.00078512984595698,"Prkch/Mef2c/Fyb/Nckap1l/Klhl6/Malt1/Lyn/Prkcb",8,"HPPvsSTR","H3K27me3"
"GO:0042113","BP","GO:0042113","B cell activation","12/100","440/28943",4.12396326719855e-08,1.93110736588725e-05,1.35761806933085e-05,"Hdac9/Mef2c/Nckap1l/Cd86/Samsn1/Malt1/Sp3/Spi1/Bank1/Lyn/Il6/Prkcb",12,"HPPvsSTR","H3K27me3"
"GO:00421131","BP","GO:0042113","B cell activation","6/32","440/28943",7.73365788330971e-06,0.00499594299261807,0.00293471964940332,"Inpp5d/Ptprc/Mef2c/Il7r/Plcl2/Bank1",6,"HPPvsPFC","H3K27me3"
"GO:0030183","BP","GO:0030183","B cell differentiation","6/100","175/28943",3.33993364856161e-05,0.00184364337400601,0.00129612863695058,"Hdac9/Nckap1l/Malt1/Sp3/Spi1/Il6",6,"HPPvsSTR","H3K27me3"
"GO:0050853","BP","GO:0050853","B cell receptor signaling pathway","6/100","182/28943",4.15880854772e-05,0.00198663085241086,0.00139665250620799,"Prkch/Mef2c/Nckap1l/Klhl6/Lyn/Prkcb",6,"HPPvsSTR","H3K27me3"
"GO:0007596","BP","GO:0007596","blood coagulation","6/100","177/28943",3.55934209505101e-05,0.00192204473132754,0.00135124680450563,"Adrb2/Tfpi/Mertk/Lyn/Il6/Ubash3b",6,"HPPvsSTR","H3K27me3"
