"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Comparison","Mark"
"GO:0042113","BP","GO:0042113","B cell activation","12/100","440/28943",4.12396326719855e-08,1.93110736588725e-05,1.35761806933085e-05,"Hdac9/Mef2c/Nckap1l/Cd86/Samsn1/Malt1/Sp3/Spi1/Bank1/Lyn/Il6/Prkcb",12,"HPPvsSTR","H3K27me3"
"GO:00421131","BP","GO:0042113","B cell activation","6/32","440/28943",7.73365788330971e-06,0.00499594299261807,0.00293471964940332,"Inpp5d/Ptprc/Mef2c/Il7r/Plcl2/Bank1",6,"HPPvsPFC","H3K27me3"
"GO:0042100","BP","GO:0042100","B cell proliferation","5/32","120/28943",2.07410391097965e-07,0.000267974225298571,0.000157413570506982,"Inpp5d/Ptprc/Mef2c/Il7r/Plcl2",5,"HPPvsPFC","H3K27me3"
"GO:0061629","MF","GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding","11/98","376/28404",7.57145353430066e-08,2.19572152494719e-05,1.79323899496595e-05,"Creb1/Cited2/Hdac9/Mef2c/Trib1/Nrip1/Sp3/Spi1/Jun/Prkcb/Sall1",11,"HPPvsSTR","H3K27me3"
"GO:0030217","BP","GO:0030217","T cell differentiation","11/100","326/28943",1.81694283411571e-08,1.5044286666478e-05,1.05765198659577e-05,"Il1rl2/Ly9/Prdm1/Dock2/Hs1bp3/Nckap1l/Malt1/Sp3/Spi1/Chd7/Il6",11,"HPPvsSTR","H3K27me3"
"GO:0043010","BP","GO:0043010","camera-type eye development","9/100","376/28943",6.43937978330679e-06,0.000795163272335926,0.000559020200358209,"Cited2/Slc4a7/Crybg3/Zeb2/Dlx2/Sp3/Mertk/Chd7/Jun",9,"HPPvsSTR","H3K27me3"
"GO:0071560","BP","GO:0071560","cellular response to transforming growth factor beta stimulus","8/100","242/28943",2.04226157330083e-06,0.000386582990979629,0.000271777770164931,"Creb1/Cited2/Mef2c/Nr3c1/Zeb2/Spi1/Jun/Hpgd",8,"HPPvsSTR","H3K27me3"
"GO:0001654","BP","GO:0001654","eye development","10/100","424/28943",2.19245861879235e-06,0.000386582990979629,0.000271777770164931,"Cited2/Prdm1/Slc4a7/Crybg3/Zeb2/Dlx2/Sp3/Mertk/Chd7/Jun",10,"HPPvsSTR","H3K27me3"
"GO:0030851","BP","GO:0030851","granulocyte differentiation","5/100","45/28943",4.87279774666443e-07,0.000134489217807938,9.45493738212432e-05,"Cited2/Trib1/Sp3/Spi1/Cbfa2t3",5,"HPPvsSTR","H3K27me3"
"GO:0048872","BP","GO:0048872","homeostasis of number of cells","9/100","375/28943",6.30308545339932e-06,0.000795163272335926,0.000559020200358209,"Cited2/Mef2c/Nckap1l/Sp3/Spi1/Mertk/Lyn/Ptbp3/Il6",9,"HPPvsSTR","H3K27me3"
"GO:0030098","BP","GO:0030098","lymphocyte differentiation","13/100","471/28943",9.36113248180989e-09,1.5044286666478e-05,1.05765198659577e-05,"Il1rl2/Ly9/Prdm1/Dock2/Hs1bp3/Hdac9/Nckap1l/Malt1/Sp3/Spi1/Mertk/Chd7/Il6",13,"HPPvsSTR","H3K27me3"
"GO:00300981","BP","GO:0030098","lymphocyte differentiation","5/32","471/28943",0.000156544101374109,0.019293491476622,0.0113333936407401,"Inpp5d/Ptprc/Prdm1/Il7r/Plcl2",5,"HPPvsPFC","H3K27me3"
"GO:0030099","BP","GO:0030099","myeloid cell differentiation","12/100","445/28943",4.66451054562137e-08,1.93110736588725e-05,1.35761806933085e-05,"Creb1/Cited2/Mef2c/Trib1/Nckap1l/Sp3/Spi1/Lyn/Ptbp3/Jun/Cbfa2t3/Ubash3b",12,"HPPvsSTR","H3K27me3"
"GO:0002262","BP","GO:0002262","myeloid cell homeostasis","8/100","206/28943",6.10561483286397e-07,0.000151663472448341,0.000106623315870751,"Cited2/Nckap1l/Sp3/Spi1/Mertk/Lyn/Ptbp3/Il6",8,"HPPvsSTR","H3K27me3"
"GO:0002573","BP","GO:0002573","myeloid leukocyte differentiation","10/100","246/28943",1.45184090852857e-08,1.5044286666478e-05,1.05765198659577e-05,"Creb1/Cited2/Mef2c/Trib1/Sp3/Spi1/Lyn/Jun/Cbfa2t3/Ubash3b",10,"HPPvsSTR","H3K27me3"
"GO:0050866","BP","GO:0050866","negative regulation of cell activation","9/100","225/28943",9.10379524740088e-08,3.23054677064911e-05,2.27115734066738e-05,"Nckap1l/Cd86/Samsn1/Adrb2/Spi1/Mertk/Bank1/Lyn/Ubash3b",9,"HPPvsSTR","H3K27me3"
"GO:0002683","BP","GO:0002683","negative regulation of immune system process","10/100","465/28943",4.95889532282345e-06,0.000684327554549636,0.000481099844477433,"Trib1/Nckap1l/Parp14/Cd86/Samsn1/Spi1/Mertk/Bank1/Lyn/Ubash3b",10,"HPPvsSTR","H3K27me3"
"GO:00026831","BP","GO:0002683","negative regulation of immune system process","5/32","465/28943",0.000147472071904446,0.019293491476622,0.0113333936407401,"Inpp5d/Ptprc/Il7r/Plcl2/Bank1",5,"HPPvsPFC","H3K27me3"
"GO:0002695","BP","GO:0002695","negative regulation of leukocyte activation","7/100","202/28943",6.72239481443416e-06,0.000795163272335926,0.000559020200358209,"Nckap1l/Cd86/Samsn1/Spi1/Mertk/Bank1/Lyn",7,"HPPvsSTR","H3K27me3"
"GO:1903708","BP","GO:1903708","positive regulation of hemopoiesis","7/100","210/28943",8.66173408528027e-06,0.00091759871849274,0.000645095463166139,"Il1rl2/Creb1/Trib1/Nckap1l/Malt1/Jun/Il6",7,"HPPvsSTR","H3K27me3"
"GO:1902107","BP","GO:1902107","positive regulation of leukocyte differentiation","7/100","210/28943",8.66173408528027e-06,0.00091759871849274,0.000645095463166139,"Il1rl2/Creb1/Trib1/Nckap1l/Malt1/Jun/Il6",7,"HPPvsSTR","H3K27me3"
