"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Comparison","Mark"
"GO:0004439","MF","GO:0004439","phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity","1/9","10/28404",0.00316455437568897,0.0205696034419783,0.00666221973829256,"Synj2",1,"PFCvsVTA","H3K27me3"
"GO:0016801","MF","GO:0016801","hydrolase activity, acting on ether bonds","1/9","10/28404",0.00316455437568897,0.0205696034419783,0.00666221973829256,"Ephx1",1,"PFCvsVTA","H3K27me3"
"GO:0034595","MF","GO:0034595","phosphatidylinositol phosphate 5-phosphatase activity","1/9","10/28404",0.00316455437568897,0.0205696034419783,0.00666221973829256,"Synj2",1,"PFCvsVTA","H3K27me3"
"GO:0046030","MF","GO:0046030","inositol trisphosphate phosphatase activity","1/9","10/28404",0.00316455437568897,0.0205696034419783,0.00666221973829256,"Synj2",1,"PFCvsVTA","H3K27me3"
"GO:0070739","MF","GO:0070739","protein-glutamic acid ligase activity","1/9","10/28404",0.00316455437568897,0.0205696034419783,0.00666221973829256,"Ttll9",1,"PFCvsVTA","H3K27me3"
"GO:0070740","MF","GO:0070740","tubulin-glutamic acid ligase activity","1/9","10/28404",0.00316455437568897,0.0205696034419783,0.00666221973829256,"Ttll9",1,"PFCvsVTA","H3K27me3"
"GO:0106019","MF","GO:0106019","phosphatidylinositol-4,5-bisphosphate phosphatase activity","1/9","14/28404",0.00442788154573237,0.0236840887458648,0.00767095991768901,"Synj2",1,"PFCvsVTA","H3K27me3"
"GO:0052744","MF","GO:0052744","phosphatidylinositol monophosphate phosphatase activity","1/9","18/28404",0.00568978534893427,0.0236840887458648,0.00767095991768901,"Synj2",1,"PFCvsVTA","H3K27me3"
"GO:0052745","MF","GO:0052745","inositol phosphate phosphatase activity","1/9","18/28404",0.00568978534893427,0.0236840887458648,0.00767095991768901,"Synj2",1,"PFCvsVTA","H3K27me3"
"GO:0016881","MF","GO:0016881","acid-amino acid ligase activity","1/9","22/28404",0.00695026718871139,0.0236840887458648,0.00767095991768901,"Ttll9",1,"PFCvsVTA","H3K27me3"
"GO:0034593","MF","GO:0034593","phosphatidylinositol bisphosphate phosphatase activity","1/9","22/28404",0.00695026718871139,0.0236840887458648,0.00767095991768901,"Synj2",1,"PFCvsVTA","H3K27me3"
"GO:0008483","MF","GO:0008483","transaminase activity","1/9","24/28404",0.00757997531055976,0.0236840887458648,0.00767095991768901,"Oat",1,"PFCvsVTA","H3K27me3"
"GO:0016769","MF","GO:0016769","transferase activity, transferring nitrogenous groups","1/9","25/28404",0.0078946962486216,0.0236840887458648,0.00767095991768901,"Oat",1,"PFCvsVTA","H3K27me3"
"GO:0052866","MF","GO:0052866","phosphatidylinositol phosphate phosphatase activity","1/9","30/28404",0.00946697058573553,0.0263722752031204,0.00854162759615236,"Synj2",1,"PFCvsVTA","H3K27me3"
"GO:0018024","MF","GO:0018024","histone-lysine N-methyltransferase activity","1/9","43/28404",0.0135445233065038,0.0338572861158713,0.0109659226286223,"Smyd1",1,"PFCvsVTA","H3K27me3"
"GO:0016879","MF","GO:0016879","ligase activity, forming carbon-nitrogen bonds","1/9","48/28404",0.0151088355179441,0.0338572861158713,0.0109659226286223,"Ttll9",1,"PFCvsVTA","H3K27me3"
"GO:0030170","MF","GO:0030170","pyridoxal phosphate binding","1/9","52/28404",0.0163586972463942,0.0338572861158713,0.0109659226286223,"Oat",1,"PFCvsVTA","H3K27me3"
"GO:0070279","MF","GO:0070279","vitamin B6 binding","1/9","53/28404",0.0166709422987636,0.0338572861158713,0.0109659226286223,"Oat",1,"PFCvsVTA","H3K27me3"
"GO:0016278","MF","GO:0016278","lysine N-methyltransferase activity","1/9","57/28404",0.0179190416420631,0.0338572861158713,0.0109659226286223,"Smyd1",1,"PFCvsVTA","H3K27me3"
"GO:0016279","MF","GO:0016279","protein-lysine N-methyltransferase activity","1/9","57/28404",0.0179190416420631,0.0338572861158713,0.0109659226286223,"Smyd1",1,"PFCvsVTA","H3K27me3"
"GO:0042054","MF","GO:0042054","histone methyltransferase activity","1/9","58/28404",0.0182308463700845,0.0338572861158713,0.0109659226286223,"Smyd1",1,"PFCvsVTA","H3K27me3"
"GO:0008276","MF","GO:0008276","protein methyltransferase activity","1/9","91/28404",0.0284711644281808,0.0488008514770975,0.0158059437982502,"Smyd1",1,"PFCvsVTA","H3K27me3"
"GO:0008170","MF","GO:0008170","N-methyltransferase activity","1/9","92/28404",0.0287799893326472,0.0488008514770975,0.0158059437982502,"Smyd1",1,"PFCvsVTA","H3K27me3"
"GO:0030098","BP","GO:0030098","lymphocyte differentiation","13/100","471/28943",9.36113248180989e-09,1.5044286666478e-05,1.05765198659577e-05,"Il1rl2/Ly9/Prdm1/Dock2/Hs1bp3/Hdac9/Nckap1l/Malt1/Sp3/Spi1/Mertk/Chd7/Il6",13,"HPPvsSTR","H3K27me3"
"GO:0002573","BP","GO:0002573","myeloid leukocyte differentiation","10/100","246/28943",1.45184090852857e-08,1.5044286666478e-05,1.05765198659577e-05,"Creb1/Cited2/Mef2c/Trib1/Sp3/Spi1/Lyn/Jun/Cbfa2t3/Ubash3b",10,"HPPvsSTR","H3K27me3"
"GO:0030217","BP","GO:0030217","T cell differentiation","11/100","326/28943",1.81694283411571e-08,1.5044286666478e-05,1.05765198659577e-05,"Il1rl2/Ly9/Prdm1/Dock2/Hs1bp3/Nckap1l/Malt1/Sp3/Spi1/Chd7/Il6",11,"HPPvsSTR","H3K27me3"
"GO:1903706","BP","GO:1903706","regulation of hemopoiesis","12/100","435/28943",3.64026359290574e-08,1.93110736588725e-05,1.35761806933085e-05,"Il1rl2/Creb1/Prdm1/Mef2c/Trib1/Nckap1l/Malt1/Spi1/Lyn/Jun/Il6/Ubash3b",12,"HPPvsSTR","H3K27me3"
"GO:0042113","BP","GO:0042113","B cell activation","12/100","440/28943",4.12396326719855e-08,1.93110736588725e-05,1.35761806933085e-05,"Hdac9/Mef2c/Nckap1l/Cd86/Samsn1/Malt1/Sp3/Spi1/Bank1/Lyn/Il6/Prkcb",12,"HPPvsSTR","H3K27me3"
"GO:0030099","BP","GO:0030099","myeloid cell differentiation","12/100","445/28943",4.66451054562137e-08,1.93110736588725e-05,1.35761806933085e-05,"Creb1/Cited2/Mef2c/Trib1/Nckap1l/Sp3/Spi1/Lyn/Ptbp3/Jun/Cbfa2t3/Ubash3b",12,"HPPvsSTR","H3K27me3"
"GO:0050866","BP","GO:0050866","negative regulation of cell activation","9/100","225/28943",9.10379524740088e-08,3.23054677064911e-05,2.27115734066738e-05,"Nckap1l/Cd86/Samsn1/Adrb2/Spi1/Mertk/Bank1/Lyn/Ubash3b",9,"HPPvsSTR","H3K27me3"
"GO:1902105","BP","GO:1902105","regulation of leukocyte differentiation","10/100","349/28943",3.78348631066534e-07,0.000117477249946159,8.25895235446553e-05,"Il1rl2/Creb1/Prdm1/Trib1/Nckap1l/Malt1/Lyn/Jun/Il6/Ubash3b",10,"HPPvsSTR","H3K27me3"
"GO:0030851","BP","GO:0030851","granulocyte differentiation","5/100","45/28943",4.87279774666443e-07,0.000134489217807938,9.45493738212432e-05,"Cited2/Trib1/Sp3/Spi1/Cbfa2t3",5,"HPPvsSTR","H3K27me3"
"GO:0002262","BP","GO:0002262","myeloid cell homeostasis","8/100","206/28943",6.10561483286397e-07,0.000151663472448341,0.000106623315870751,"Cited2/Nckap1l/Sp3/Spi1/Mertk/Lyn/Ptbp3/Il6",8,"HPPvsSTR","H3K27me3"
"GO:0045637","BP","GO:0045637","regulation of myeloid cell differentiation","8/100","226/28943",1.22590668196753e-06,0.000276832018000668,0.000194620017740109,"Creb1/Mef2c/Trib1/Nckap1l/Spi1/Lyn/Jun/Ubash3b",8,"HPPvsSTR","H3K27me3"
"GO:0071560","BP","GO:0071560","cellular response to transforming growth factor beta stimulus","8/100","242/28943",2.04226157330083e-06,0.000386582990979629,0.000271777770164931,"Creb1/Cited2/Mef2c/Nr3c1/Zeb2/Spi1/Jun/Hpgd",8,"HPPvsSTR","H3K27me3"
"GO:0001654","BP","GO:0001654","eye development","10/100","424/28943",2.19245861879235e-06,0.000386582990979629,0.000271777770164931,"Cited2/Prdm1/Slc4a7/Crybg3/Zeb2/Dlx2/Sp3/Mertk/Chd7/Jun",10,"HPPvsSTR","H3K27me3"
"GO:0071559","BP","GO:0071559","response to transforming growth factor beta","8/100","246/28943",2.30671917626617e-06,0.000386582990979629,0.000271777770164931,"Creb1/Cited2/Mef2c/Nr3c1/Zeb2/Spi1/Jun/Hpgd",8,"HPPvsSTR","H3K27me3"
"GO:0150063","BP","GO:0150063","visual system development","10/100","427/28943",2.33443835132626e-06,0.000386582990979629,0.000271777770164931,"Cited2/Prdm1/Slc4a7/Crybg3/Zeb2/Dlx2/Sp3/Mertk/Chd7/Jun",10,"HPPvsSTR","H3K27me3"
"GO:0048880","BP","GO:0048880","sensory system development","10/100","431/28943",2.5361614960977e-06,0.000393739072269167,0.000276808679080663,"Cited2/Prdm1/Slc4a7/Crybg3/Zeb2/Dlx2/Sp3/Mertk/Chd7/Jun",10,"HPPvsSTR","H3K27me3"
"GO:0090330","BP","GO:0090330","regulation of platelet aggregation","4/100","30/28943",3.43086355182953e-06,0.000501309709573208,0.000352433599534686,"Adrb2/Lyn/Il6/Ubash3b",4,"HPPvsSTR","H3K27me3"
"GO:0002683","BP","GO:0002683","negative regulation of immune system process","10/100","465/28943",4.95889532282345e-06,0.000684327554549636,0.000481099844477433,"Trib1/Nckap1l/Parp14/Cd86/Samsn1/Spi1/Mertk/Bank1/Lyn/Ubash3b",10,"HPPvsSTR","H3K27me3"
"GO:0048872","BP","GO:0048872","homeostasis of number of cells","9/100","375/28943",6.30308545339932e-06,0.000795163272335926,0.000559020200358209,"Cited2/Mef2c/Nckap1l/Sp3/Spi1/Mertk/Lyn/Ptbp3/Il6",9,"HPPvsSTR","H3K27me3"
"GO:0043010","BP","GO:0043010","camera-type eye development","9/100","376/28943",6.43937978330679e-06,0.000795163272335926,0.000559020200358209,"Cited2/Slc4a7/Crybg3/Zeb2/Dlx2/Sp3/Mertk/Chd7/Jun",9,"HPPvsSTR","H3K27me3"
"GO:0002695","BP","GO:0002695","negative regulation of leukocyte activation","7/100","202/28943",6.72239481443416e-06,0.000795163272335926,0.000559020200358209,"Nckap1l/Cd86/Samsn1/Spi1/Mertk/Bank1/Lyn",7,"HPPvsSTR","H3K27me3"
"GO:1902107","BP","GO:1902107","positive regulation of leukocyte differentiation","7/100","210/28943",8.66173408528027e-06,0.00091759871849274,0.000645095463166139,"Il1rl2/Creb1/Trib1/Nckap1l/Malt1/Jun/Il6",7,"HPPvsSTR","H3K27me3"
"GO:1903708","BP","GO:1903708","positive regulation of hemopoiesis","7/100","210/28943",8.66173408528027e-06,0.00091759871849274,0.000645095463166139,"Il1rl2/Creb1/Trib1/Nckap1l/Malt1/Jun/Il6",7,"HPPvsSTR","H3K27me3"
"GO:0022407","BP","GO:0022407","regulation of cell-cell adhesion","10/100","497/28943",8.86568810137913e-06,0.00091759871849274,0.000645095463166139,"Il1rl2/Cited2/Nckap1l/Cd86/Adrb2/Malt1/Spi1/Lyn/Il6/Ubash3b",10,"HPPvsSTR","H3K27me3"
"GO:0071222","BP","GO:0071222","cellular response to lipopolysaccharide","8/100","304/28943",1.08881871245719e-05,0.00108185027269746,0.000760568523775356,"Mef2c/Trib1/Cd86/Malt1/Spi1/Lyn/Abca1/Il6",8,"HPPvsSTR","H3K27me3"
"GO:0050851","BP","GO:0050851","antigen receptor-mediated signaling pathway","8/100","307/28943",1.16893955365506e-05,0.0011167868658766,0.00078512984595698,"Prkch/Mef2c/Fyb/Nckap1l/Klhl6/Malt1/Lyn/Prkcb",8,"HPPvsSTR","H3K27me3"
"GO:0034110","BP","GO:0034110","regulation of homotypic cell-cell adhesion","4/100","41/28943",1.23138057897901e-05,0.00113287013266069,0.000796436795526775,"Adrb2/Lyn/Il6/Ubash3b",4,"HPPvsSTR","H3K27me3"
"GO:0071219","BP","GO:0071219","cellular response to molecule of bacterial origin","8/100","314/28943",1.3754197982224e-05,0.00119836374492115,0.000842480486831165,"Mef2c/Trib1/Cd86/Malt1/Spi1/Lyn/Abca1/Il6",8,"HPPvsSTR","H3K27me3"
"GO:0030218","BP","GO:0030218","erythrocyte differentiation","6/100","150/28943",1.39905590188057e-05,0.00119836374492115,0.000842480486831165,"Cited2/Nckap1l/Sp3/Spi1/Lyn/Ptbp3",6,"HPPvsSTR","H3K27me3"
"GO:0007189","BP","GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway","6/100","153/28943",1.56564134405948e-05,0.00129635103288125,0.000911368066594626,"Arrdc3/Adgre1/Adrb2/Calcrl/Abca1/Akap13",6,"HPPvsSTR","H3K27me3"
"GO:0071300","BP","GO:0071300","cellular response to retinoic acid","4/100","46/28943",1.9581236871334e-05,0.00156489087056561,0.001100158468628,"Creb1/Mef2c/Lyn/Abca1",4,"HPPvsSTR","H3K27me3"
"GO:0030168","BP","GO:0030168","platelet activation","5/100","95/28943",2.0159624741586e-05,0.00156489087056561,0.001100158468628,"Adrb2/Mertk/Lyn/Il6/Ubash3b",5,"HPPvsSTR","H3K27me3"
"GO:0034101","BP","GO:0034101","erythrocyte homeostasis","6/100","162/28943",2.16375628331202e-05,0.00162871836598396,0.00114503083700626,"Cited2/Nckap1l/Sp3/Spi1/Lyn/Ptbp3",6,"HPPvsSTR","H3K27me3"
"GO:0071216","BP","GO:0071216","cellular response to biotic stimulus","8/100","340/28943",2.4319678148277e-05,0.00177676707412706,0.00124911288074277,"Mef2c/Trib1/Cd86/Malt1/Spi1/Lyn/Abca1/Il6",8,"HPPvsSTR","H3K27me3"
"GO:0010543","BP","GO:0010543","regulation of platelet activation","4/100","49/28943",2.52227171830273e-05,0.00179009227093257,0.00125848083628999,"Adrb2/Lyn/Il6/Ubash3b",4,"HPPvsSTR","H3K27me3"
"GO:0046651","BP","GO:0046651","lymphocyte proliferation","8/100","344/28943",2.64309301715566e-05,0.00180359334241805,0.00126797243625373,"Dock2/Mef2c/Nckap1l/Cd86/Malt1/Lyn/Il6/Msn",8,"HPPvsSTR","H3K27me3"
"GO:0010563","BP","GO:0010563","negative regulation of phosphorus metabolic process","9/100","453/28943",2.81473131532925e-05,0.00180359334241805,0.00126797243625373,"Trib1/Nckap1l/Parp14/Samsn1/Lyn/Jun/Il6/Cbfa2t3/Ubash3b",9,"HPPvsSTR","H3K27me3"
"GO:0045936","BP","GO:0045936","negative regulation of phosphate metabolic process","9/100","453/28943",2.81473131532925e-05,0.00180359334241805,0.00126797243625373,"Trib1/Nckap1l/Parp14/Samsn1/Lyn/Jun/Il6/Cbfa2t3/Ubash3b",9,"HPPvsSTR","H3K27me3"
