"","Dataset","Region","Comparison","ontology","parent","score","parentTerm"
"1","CTX vs HPP","CTX","HPP","MF","GO:0030246",1.68795085930957,"carbohydrate binding"
"2","CTX vs STR","CTX","STR","BP","GO:0001696",2.51334488317633,"gastric acid secretion"
"3","CTX vs STR","CTX","STR","BP","GO:0002526",1.65179216523677,"acute inflammatory response"
"4","CTX vs STR","CTX","STR","BP","GO:0002691",1.92354466900391,"regulation of cellular extravasation"
"5","CTX vs STR","CTX","STR","BP","GO:0015701",2.42173663570145,"bicarbonate transport"
"6","CTX vs STR","CTX","STR","BP","GO:0022600",1.65179216523677,"digestive system process"
"7","CTX vs STR","CTX","STR","MF","GO:0002020",1.38487563193233,"protease binding"
"8","CTX vs STR","CTX","STR","MF","GO:0003712",1.37172246751742,"transcription coregulator activity"
"9","CTX vs STR","CTX","STR","MF","GO:0004955",1.38487563193233,"prostaglandin receptor activity"
"10","CTX vs STR","CTX","STR","MF","GO:0005310",1.37172246751742,"dicarboxylic acid transmembrane transporter activity"
"11","CTX vs STR","CTX","STR","MF","GO:0005537",1.37172246751742,"mannose binding"
"12","CTX vs STR","CTX","STR","MF","GO:0008195",1.38487563193233,"phosphatidate phosphatase activity"
"13","CTX vs STR","CTX","STR","MF","GO:0015116",1.38487563193233,"sulfate transmembrane transporter activity"
"14","CTX vs STR","CTX","STR","MF","GO:0140272",1.37172246751742,"exogenous protein binding"
"15","CTX vs VTA","CTX","VTA","BP","GO:0001505",1.35651957166579,"regulation of neurotransmitter levels"
"16","CTX vs VTA","CTX","VTA","BP","GO:0006836",2.08023973413733,"neurotransmitter transport"
"17","CTX vs VTA","CTX","VTA","BP","GO:0035115",2.43682268028913,"embryonic forelimb morphogenesis"
"18","CTX vs VTA","CTX","VTA","BP","GO:0035809",1.64502425545271,"regulation of urine volume"
"19","CTX vs VTA","CTX","VTA","BP","GO:0048520",2.43682268028913,"positive regulation of behavior"
"20","CTX vs VTA","CTX","VTA","BP","GO:1900273",1.35651957166579,"positive regulation of long-term synaptic potentiation"
"21","CTX vs VTA","CTX","VTA","CC","GO:0005581",2.04453111095807,"collagen trimer"
"22","CTX vs VTA","CTX","VTA","CC","GO:0030285",1.72003944683483,"integral component of synaptic vesicle membrane"
"23","CTX vs VTA","CTX","VTA","CC","GO:0098686",1.58008007780804,"hippocampal mossy fiber to CA3 synapse"
"24","CTX vs VTA","CTX","VTA","CC","GO:0098978",2.04453111095807,"glutamatergic synapse"
"25","CTX vs VTA","CTX","VTA","CC","GO:0098992",1.56795733533237,"neuronal dense core vesicle"
"26","HPP vs CTX","HPP","CTX","BP","GO:0001539",12.8147110562157,"cilium or flagellum-dependent cell motility"
"27","HPP vs CTX","HPP","CTX","BP","GO:0001738",1.9961522213295,"morphogenesis of a polarized epithelium"
"28","HPP vs CTX","HPP","CTX","BP","GO:0001822",3.20910433052535,"kidney development"
"29","HPP vs CTX","HPP","CTX","BP","GO:0003351",7.97301365297599,"epithelial cilium movement involved in extracellular fluid movement"
"30","HPP vs CTX","HPP","CTX","BP","GO:0006575",3.20910433052535,"cellular modified amino acid metabolic process"
"31","HPP vs CTX","HPP","CTX","BP","GO:0006631",2.27579988638139,"fatty acid metabolic process"
"32","HPP vs CTX","HPP","CTX","BP","GO:0006730",2.01501555254315,"one-carbon metabolic process"
"33","HPP vs CTX","HPP","CTX","BP","GO:0006790",1.93017804252976,"sulfur compound metabolic process"
"34","HPP vs CTX","HPP","CTX","BP","GO:0006814",2.19663655081551,"sodium ion transport"
"35","HPP vs CTX","HPP","CTX","BP","GO:0007018",20.6448133922692,"microtubule-based movement"
"36","HPP vs CTX","HPP","CTX","BP","GO:0007163",1.76397571506324,"establishment or maintenance of cell polarity"
"37","HPP vs CTX","HPP","CTX","BP","GO:0007164",1.85634015099412,"establishment of tissue polarity"
"38","HPP vs CTX","HPP","CTX","BP","GO:0007224",3.30927758177827,"smoothened signaling pathway"
"39","HPP vs CTX","HPP","CTX","BP","GO:0007389",2.41658680103025,"pattern specification process"
"40","HPP vs CTX","HPP","CTX","BP","GO:0007589",2.41658680103025,"body fluid secretion"
"41","HPP vs CTX","HPP","CTX","BP","GO:0007601",1.53758564014286,"visual perception"
"42","HPP vs CTX","HPP","CTX","BP","GO:0007626",2.01157406349743,"locomotory behavior"
"43","HPP vs CTX","HPP","CTX","BP","GO:0008202",1.75708194596793,"steroid metabolic process"
"44","HPP vs CTX","HPP","CTX","BP","GO:0009410",1.3830655567083,"response to xenobiotic stimulus"
"45","HPP vs CTX","HPP","CTX","BP","GO:0015669",1.4240901656345,"gas transport"
"46","HPP vs CTX","HPP","CTX","BP","GO:0015850",1.52443371420325,"organic hydroxy compound transport"
"47","HPP vs CTX","HPP","CTX","BP","GO:0016331",1.37217124953955,"morphogenesis of embryonic epithelium"
"48","HPP vs CTX","HPP","CTX","BP","GO:0021591",2.23927565214092,"ventricular system development"
"49","HPP vs CTX","HPP","CTX","BP","GO:0022010",1.9961522213295,"central nervous system myelination"
"50","HPP vs CTX","HPP","CTX","BP","GO:0030048",2.75001986463398,"actin filament-based movement"
"51","HPP vs CTX","HPP","CTX","BP","GO:0030198",3.20910433052535,"extracellular matrix organization"
"52","HPP vs CTX","HPP","CTX","BP","GO:0031503",4.13990495268882,"protein-containing complex localization"
"53","HPP vs CTX","HPP","CTX","BP","GO:0032330",3.07194353892187,"regulation of chondrocyte differentiation"
"54","HPP vs CTX","HPP","CTX","BP","GO:0034329",3.14906186167422,"cell junction assembly"
"55","HPP vs CTX","HPP","CTX","BP","GO:0035082",13.9752942751801,"axoneme assembly"
"56","HPP vs CTX","HPP","CTX","BP","GO:0035148",1.30469232984317,"tube formation"
"57","HPP vs CTX","HPP","CTX","BP","GO:0035461",1.61292821149041,"vitamin transmembrane transport"
"58","HPP vs CTX","HPP","CTX","BP","GO:0040037",2.39766235040994,"negative regulation of fibroblast growth factor receptor signaling pathway"
"59","HPP vs CTX","HPP","CTX","BP","GO:0042044",1.36230952180472,"fluid transport"
"60","HPP vs CTX","HPP","CTX","BP","GO:0042073",9.23709227347501,"intraciliary transport"
"61","HPP vs CTX","HPP","CTX","BP","GO:0042445",1.52443371420325,"hormone metabolic process"
"62","HPP vs CTX","HPP","CTX","BP","GO:0043010",4.99255792466868,"camera-type eye development"
"63","HPP vs CTX","HPP","CTX","BP","GO:0044782",30.8351058306378,"cilium organization"
"64","HPP vs CTX","HPP","CTX","BP","GO:0045109",1.83383720589487,"intermediate filament organization"
"65","HPP vs CTX","HPP","CTX","BP","GO:0045229",3.20229396712243,"external encapsulating structure organization"
"66","HPP vs CTX","HPP","CTX","BP","GO:0046530",3.00683808888639,"photoreceptor cell differentiation"
"67","HPP vs CTX","HPP","CTX","BP","GO:0048015",1.39030470316627,"phosphatidylinositol-mediated signaling"
"68","HPP vs CTX","HPP","CTX","BP","GO:0048709",3.15392816927259,"oligodendrocyte differentiation"
"69","HPP vs CTX","HPP","CTX","BP","GO:0048871",1.83989575423942,"multicellular organismal homeostasis"
"70","HPP vs CTX","HPP","CTX","BP","GO:0055123",1.88197114667385,"digestive system development"
"71","HPP vs CTX","HPP","CTX","BP","GO:0060560",1.90882034392246,"developmental growth involved in morphogenesis"
"72","HPP vs CTX","HPP","CTX","BP","GO:0061512",5.69467977728522,"protein localization to cilium"
"73","HPP vs CTX","HPP","CTX","BP","GO:0070633",1.33219561466558,"transepithelial transport"
"74","HPP vs CTX","HPP","CTX","BP","GO:0072497",1.63200365848209,"mesenchymal stem cell differentiation"
"75","HPP vs CTX","HPP","CTX","BP","GO:0090596",3.45109762835165,"sensory organ morphogenesis"
