"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","geneID","Dataset","Region","Comparison"
"1","BP","GO:0000070","mitotic sister chromatid segregation","18/224","180/16153",6.37468690709203e-11,1.39393153701746e-08,1.09018329772514e-08,18,"Nuf2/Nek2/Birc5/Ccnb1/Esco2/Cdca5/Kif11/Spc25/Nusap1/Bub1/Ube2c/Cenpe/Kif2c/Cdc20/Cdca8/Prc1/Plk1/Ttk","VTA vs CTX","VTA","CTX"
"2","BP","GO:0000070","mitotic sister chromatid segregation","3/17","180/16153",0.0008248174044643,0.0187833074656385,0.0125760060725901,3,"Ccnb1/Kif11/Plk1","STR vs CTX","STR","CTX"
"3","BP","GO:0000075","cell cycle checkpoint signaling","14/436","178/16153",0.000344226219836959,0.0271331255636191,0.0244830454810766,14,"Nabp1/Nuf2/Dna2/Aurkb/Birc5/Ccnb1/Pbk/Cdkn1a/Ppp1r10/Spc25/Aurka/Plk3/Cdc20/Chek1","VTA vs PFC","VTA","PFC"
"4","BP","GO:0000075","cell cycle checkpoint signaling","20/224","178/16153",5.92802647365246e-13,3.68320578822546e-10,2.8806073510608e-10,20,"Nabp1/Nuf2/Dtl/Dna2/Birc5/Ccnb1/Pbk/Cdkn1a/Ppp1r10/Spc25/Bub1/Aurka/Cenpe/Stil/Plk3/Cdc20/Cdca8/Clspn/Plk1/Ttk","VTA vs CTX","VTA","CTX"
"5","BP","GO:0000075","cell cycle checkpoint signaling","3/17","178/16153",0.000798515996482771,0.0187833074656385,0.0125760060725901,3,"Nabp1/Ccnb1/Plk1","STR vs CTX","STR","CTX"
"6","BP","GO:0000077","DNA damage checkpoint signaling","6/224","107/16153",0.00375759099732372,0.0406297079529447,0.0317761868682048,6,"Dtl/Pbk/Cdkn1a/Ppp1r10/Clspn/Plk1","VTA vs CTX","VTA","CTX"
"7","BP","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","2/17","67/16153",0.00221417576734034,0.0265701092080841,0.0177895109986098,2,"Ccnb1/Plk1","STR vs CTX","STR","CTX"
"8","BP","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","7/224","67/16153",3.85310542161174e-05,0.00139735789108994,0.00109286302329467,7,"Ccnb1/Cdkn1a/Ccna2/Ccne2/Stil/Plk1/Ccnb2","VTA vs CTX","VTA","CTX"
"9","BP","GO:0000086","G2/M transition of mitotic cell cycle","3/17","130/16153",0.000318925347313403,0.0163797681544431,0.0109667620654524,3,"Nabp1/Ccnb1/Plk1","STR vs CTX","STR","CTX"
"10","BP","GO:0000086","G2/M transition of mitotic cell cycle","8/224","130/16153",0.00046001078998817,0.00992654862606051,0.00776347849862306,8,"Nabp1/Dtl/Birc5/Ccnb1/Cdkn1a/Ccna2/Clspn/Plk1","VTA vs CTX","VTA","CTX"
"11","BP","GO:0000096","sulfur amino acid metabolic process","1/4","28/16153",0.00691632942355369,0.0458078100958439,0.0164820445895094,1,"Nox4","PFC vs CTX","PFC","CTX"
"12","BP","GO:0000212","meiotic spindle organization","3/224","15/16153",0.00105844357498022,0.0170181123820349,0.0133097368019959,3,"Aurka/Cenpe/Ccnb2","VTA vs CTX","VTA","CTX"
"13","BP","GO:0000280","nuclear division","26/436","410/16153",5.25336619812224e-05,0.0105592660582257,0.00952794732564697,26,"Nuf2/Nek2/Fignl1/Aurkb/Top2a/Birc5/Hspa2/Cks2/Ccnb1/Cdca2/Kif11/Mastl/Spc25/Il1a/Ube2c/Aurka/Ccne2/Cdc20/Stag3/Rad51ap1/Prc1/Cpeb1/Fgfr2/Chek1/Kif23/Ccnb2","VTA vs PFC","VTA","PFC"
"14","BP","GO:0000280","nuclear division","31/224","410/16153",1.28048121973066e-14,4.19997840071657e-11,3.28477129735118e-11,31,"Nuf2/Nek2/Fignl1/Brip1/Top2a/Birc5/Cks2/Ccnb1/Esco2/Cdca5/Kif11/Spc25/Nusap1/Bub1/Il1b/Il1a/Tpx2/Ube2c/Aurka/Cenpe/Ccne2/Kif2c/Cdc20/Cdca8/Rad51ap1/Prc1/Cpeb1/Plk1/Mki67/Ccnb2/Ttk","VTA vs CTX","VTA","CTX"
"15","BP","GO:0000280","nuclear division","4/17","410/16153",0.000748765778024508,0.0187833074656385,0.0125760060725901,4,"Top2a/Ccnb1/Kif11/Plk1","STR vs CTX","STR","CTX"
"16","BP","GO:0000281","mitotic cytokinesis","7/224","74/16153",7.34536041513275e-05,0.00243361435976115,0.00190331135903014,7,"Birc5/Kif20a/Cep55/Nusap1/Cdca8/Plk1/Anln","VTA vs CTX","VTA","CTX"
"17","BP","GO:0000819","sister chromatid segregation","19/224","207/16153",8.23873218213264e-11,1.63351792268228e-08,1.27756199537122e-08,19,"Nuf2/Nek2/Top2a/Birc5/Ccnb1/Esco2/Cdca5/Kif11/Spc25/Nusap1/Bub1/Ube2c/Cenpe/Kif2c/Cdc20/Cdca8/Prc1/Plk1/Ttk","VTA vs CTX","VTA","CTX"
"18","BP","GO:0000819","sister chromatid segregation","4/17","207/16153",5.4703172113243e-05,0.0163797681544431,0.0109667620654524,4,"Top2a/Ccnb1/Kif11/Plk1","STR vs CTX","STR","CTX"
"19","BP","GO:0000910","cytokinesis","10/224","150/16153",4.63772770689951e-05,0.00163567170737961,0.00127924645407064,10,"Birc5/Kif20a/Cep55/Nusap1/Aurka/Plk3/Cdca8/Prc1/Plk1/Anln","VTA vs CTX","VTA","CTX"
"20","BP","GO:0001501","skeletal system development","77/1792","467/16153",0.000231770479065183,0.0134796724366952,0.0123334077997508,77,"Sulf1/Rdh10/Rabgap1l/Ddr2/Tgfb2/Gdf11/Fgf18/Wnt9a/Tmem107/Wfikkn2/Pcgf2/Axin2/Sox9/Mboat2/Six4/Ttc9/Gpr68/Itgb8/Gpld1/Bmp6/Ogn/Msx2/Thrb/Bmp4/Lgals3/Loxl2/Ptger4/Spef2/Npr3/Trps1/Chadl/Thpo/Vegfa/Bbs1/Ltbp3/Ucma/Etl4/Itgb6/Mdk/Fbn1/Gdf5/Bmp7/Ift80/Schip1/Pdgfc/Hapln2/Thbs3/Ctsk/Bmpr1b/Nfib/Frem1/Lepr/Hspg2/Evc/Msx1/Wdr19/Pdgfra/Kit/Fgfrl1/Trpv4/Col1a2/Tulp3/Sox5/Fuz/Serpinh1/Sox6/Fgfr2/Cdkn1c/Sfrp1/Fgfr1/Csgalnact1/Acp5/Zic1/Hyal1/Plxnb1/Clec3b/Gsc","HPP vs CTX","HPP","CTX"
"21","BP","GO:0001501","skeletal system development","78/1771","467/16153",9.49041726270628e-05,0.00563903736124575,0.0051278965477995,78,"Sulf1/Rdh10/Nppc/Rabgap1l/Ddr2/Tgfb2/Gdf11/Fgf18/Wnt9a/Tmem107/Wfikkn2/Pcgf2/Rara/Axin2/Sox9/Mboat2/Six4/Ttc9/Tgfb3/Fbln5/Itgb8/Bmp6/Ogn/Msx2/Thrb/Bmp4/Loxl2/Spef2/Npr3/Trps1/Snai2/Vegfa/Twsg1/Bbs1/Ltbp3/Ucma/Etl4/Itgb6/Mdk/Alx4/Fbn1/Gdf5/Bmp7/Ift80/Pdgfc/Thbs3/Alx3/Npr2/Nfib/Frem1/Lepr/Hspg2/Evc/Msx1/Wdr19/Kit/Fgfrl1/Trpv4/Col1a2/Tulp3/Sox5/Pthlh/Megf8/Fuz/Serpinh1/Fgfr2/Cdkn1c/Sfrp1/Fgfr1/Csgalnact1/Acp5/Zic1/Hyal1/Plxnb1/Clec3b/Zic3/Gsc/Rspo2","HPP vs VTA","HPP","VTA"
"22","BP","GO:0001501","skeletal system development","81/1861","467/16153",0.000101275314028942,0.00668911098513109,0.00622212648193217,81,"Sulf1/Rdh10/Rabgap1l/Ddr2/Tgfb2/Fgf18/Wnt9a/Tmem107/Wfikkn2/Pcgf2/Rara/Axin2/Sox9/Osr1/Mboat2/Ttc9/Tgfb3/Fbln5/Itgb8/Bmp6/Ogn/Msx2/Thrb/Bmp4/Lgals3/Loxl2/Spef2/Npr3/Trps1/Chadl/Chrd/Vegfa/Twsg1/Mkx/Bbs1/Ltbp3/Ucma/Etl4/Itgb6/Mdk/Fbn1/Gdf5/Bmp7/Smad9/Ift80/Pdgfc/Thbs3/Ctsk/Nfib/Frem1/Lepr/Hspg2/Evc/Msx1/Wdr19/Kit/Fgfrl1/Trpv4/Col1a2/Tulp3/Sox5/Pthlh/Fuz/Serpinh1/Sox6/Fgfr2/Cdkn1c/Sfrp1/Fgfr1/Csgalnact1/Acp5/Bmp5/Zic1/Hyal1/Plxnb1/Clec3b/Zic3/Gsc/Rspo2/Trp63/Gdf3","HPP vs STR","HPP","STR"
"23","BP","GO:0001505","regulation of neurotransmitter levels","4/26","233/16153",0.000491434557998723,0.02116240065382,0.015486654821144,4,"Cplx2/Camk2a/Rims3/Prkcg","STR vs VTA","STR","VTA"
"24","BP","GO:0001505","regulation of neurotransmitter levels","6/63","233/16153",0.000288858720350964,0.0440028117334635,0.0366225558901105,6,"Adcy1/Stxbp5l/Camk2a/Slc1a2/Rims3/Slc17a7","CTX vs VTA","CTX","VTA"
"25","BP","GO:0001516","prostaglandin biosynthetic process","2/57","25/16153",0.00348386866532647,0.0426204119898351,0.0336562619709847,2,"Cd74/Anxa1","VTA vs STR","VTA","STR"
"26","BP","GO:0001525","angiogenesis","17/214","487/16153",0.000273136830422989,0.00617499342010127,0.00501819812331792,17,"Cxcr2/Ptgs2/Serpinf1/Ccl2/Tnfaip2/Egr3/Tnf/Hbegf/Anxa1/Il1a/Mmp9/Hpse/Ppp1r15a/Adam8/Camp/Ngp/Ccr2","VTA vs HPP","VTA","HPP"
"27","BP","GO:0001525","angiogenesis","18/224","487/16153",0.000157818504708766,0.00450125822125871,0.0035203999631603,18,"Chil1/Ptgs2/Akt3/Il12b/Ccl2/Egr3/Nr4a1/Adamts1/Tnf/Hbegf/Creb3l1/Il1b/Il1a/Klf4/Zc3h12a/Cxcl10/Epha1/Ppp1r15a","VTA vs CTX","VTA","CTX"
"28","BP","GO:0001539","cilium or flagellum-dependent cell motility","48/1792","121/16153",3.36295546398981e-16,1.53210646013602e-13,1.40182143551575e-13,48,"Efhc1/Spag16/Cfap45/Rsph4a/Armc2/Cfap54/Pla2g3/Cfap52/Dnah2/Tekt1/Gas2l2/Ccdc40/Ttll5/Dnah11/Dzip1/Spef2/Lrrc6/Tekt5/Efcab1/Spag6l/Iqcg/Cfap44/Tekt4/Rsph9/Cfap53/Bbs1/Dpcd/Cfap43/Eno4/Meig1/Enkur/Cfap157/Ttll9/Pltp/Ccdc39/Cfap206/Nphp4/Cfap69/Nsun7/Ift81/Klc3/Drc7/Spata33/Ttc12/Mns1/Kif9/Ttc21a/Efhc2","HPP vs CTX","HPP","CTX"
"29","BP","GO:0001539","cilium or flagellum-dependent cell motility","51/1861","121/16153",9.0568338538118e-18,4.45925565020407e-15,4.14794323677926e-15,51,"Efhc1/Spag16/Cfap221/Cfap45/Rsph4a/Armc2/Cfap54/Cfap52/Dnah2/Tekt1/Gas2l2/Ccdc40/Ttll5/Dnah11/Dzip1/Spef2/Lrrc6/Ttll8/Ccdc65/Tekt5/Efcab1/Spag6l/Iqcg/Cfap44/Tekt4/Rsph9/Cfap53/Bbs1/Dpcd/Cfap43/Eno4/Meig1/Enkur/Cfap157/Ttll9/Pltp/Ccdc39/Cfap206/Nphp4/Cfap69/Drc1/Ift81/Wdr66/Klc3/Drc7/Spata33/Ttc12/Mns1/Kif9/Ttc21a/Efhc2","HPP vs STR","HPP","STR"
"30","BP","GO:0001539","cilium or flagellum-dependent cell motility","53/1771","121/16153",2.67694797279998e-20,1.44555190531199e-17,1.31452234664336e-17,53,"Efhc1/Spag16/Cfap221/Atp2b4/Cfap45/Rsph4a/Armc2/Cfap54/Cfap52/Dnah2/Tekt1/Gas2l2/Ccdc40/Ttll5/Dnah11/Catsper3/Dzip1/Spef2/Lrrc6/Tekt5/Efcab1/Spag6l/Iqcg/Cfap44/Tekt4/Rsph9/Cfap53/Bbs1/Dpcd/Cfap43/Cfap58/Eno4/Meig1/Enkur/Cfap157/Ttll9/Pltp/Ccdc39/Cfap206/Tekt2/Nphp4/Cfap69/Drc1/Nsun7/Ift81/Klc3/Drc7/Spata33/Ttc12/Mns1/Kif9/Ttc21a/Efhc2","HPP vs VTA","HPP","VTA"
"31","BP","GO:0001539","cilium or flagellum-dependent cell motility","57/2188","121/16153",3.60525942284179e-19,1.81147898454969e-16,1.66497435163966e-16,57,"Efhc1/Spag16/Cfap221/Cfap45/Rsph4a/Armc2/Cfap54/Cfap52/Dnah2/Tekt1/Gas2l2/Ccdc40/Ttll5/Dnah11/Dnah1/Dzip1/Spef2/Dnah5/Lrrc6/Ttll8/Ccdc65/Tekt5/Efcab1/Spag6l/Iqcg/Cfap44/Tekt4/Tcte1/Rsph9/Cfap53/Bbs1/Dpcd/Cfap43/Cfap58/Eno4/Meig1/Enkur/Cfap157/Ttll9/Pltp/Ccdc39/Cfap206/Tekt2/Nphp4/Cfap69/Drc1/Nsun7/Ift81/Wdr66/Klc3/Drc7/Spata33/Ttc12/Mns1/Kif9/Ttc21a/Efhc2","HPP vs PFC","HPP","PFC"
"32","BP","GO:0001578","microtubule bundle formation","45/1792","103/16153",3.42959295441632e-17,1.8749584681794e-14,1.71551849677751e-14,45,"Dnah7c/Spag16/Daw1/Nckap5/Rsph4a/Armc2/Pla2g3/Dnah2/Gas2l2/Ccdc103/Foxj1/Ccdc40/Dnal1/Ttll5/Ak7/Map1b/Spef2/Lrrc6/Spag6l/Iqcg/Cfap44/Rsph1/Rsph9/Mtcl1/Cfap43/Meig1/Cfap157/Spef1/Ccdc39/Cfap206/Cfap69/Ttc26/Dnaaf3/Prc1/Dnajb13/Plk1/Drc7/Tppp3/Dnaaf1/Jhy/Ttc12/Mns1/Zmynd10/Ulk4/Capn6","HPP vs CTX","HPP","CTX"
"33","BP","GO:0001578","microtubule bundle formation","47/1771","103/16153",4.76529735161971e-19,2.33932779079513e-16,2.12728345888095e-16,47,"Dnah7c/Dnah7a/Spag16/Daw1/Nckap5/Rsph4a/Armc2/Dnah2/Gas2l2/Ccdc103/Foxj1/Ccdc40/Dnal1/Ttll5/Ak7/Map1b/Spef2/Lrrc6/Spag6l/Iqcg/Cfap44/Rsph1/Rsph9/Mtcl1/Cfap43/Cfap58/Meig1/Cfap157/Spef1/Ccdc39/Spag17/Cfap206/Tekt2/Cfap69/Drc1/Cc2d2a/Ttc26/Drc7/Tppp3/Dnaaf1/Jhy/Ttc12/Lrrc49/Mns1/Zmynd10/Ulk4/Capn6","HPP vs VTA","HPP","VTA"
