"","ontology","parent","score","parentTerm","Dataset","Region","Comparison","log_pvalue","log_adjpvalue"
"1","BP","GO:0000280",10.3767529430482,"nuclear division","VTA vs CTX","VTA","CTX",10.3767529430482,10.3767529430482
"2","BP","GO:0001696",2.51334488317633,"gastric acid secretion","CTX vs STR","CTX","STR",2.51334488317633,2.51334488317633
"3","BP","GO:0002691",1.92354466900391,"regulation of cellular
extravasation","CTX vs STR","CTX","STR",1.92354466900391,1.92354466900391
"4","BP","GO:0003341",23.324511249965,"cilium movement","HPP vs STR","HPP","STR",23.324511249965,23.324511249965
"5","BP","GO:0003341",25.4347264012499,"cilium movement","HPP vs VTA","HPP","VTA",25.4347264012499,25.4347264012499
"6","BP","GO:0003341",26.8982221593577,"cilium movement","HPP vs PFC","HPP","PFC",26.8982221593577,26.8982221593577
"7","BP","GO:0006836",2.08023973413733,"neurotransmitter
transport","CTX vs VTA","CTX","VTA",2.08023973413733,2.08023973413733
"8","BP","GO:0006959",5.7902562194584,"humoral immune response","PFC vs HPP","PFC","HPP",5.7902562194584,5.7902562194584
"9","BP","GO:0007052",7.12444561581816,"mitotic spindle
organization","VTA vs CTX","VTA","CTX",7.12444561581816,7.12444561581816
"10","BP","GO:0007346",9.85344890061204,"regulation of mitotic
cell cycle","VTA vs CTX","VTA","CTX",9.85344890061204,9.85344890061204
"11","BP","GO:0015701",2.42173663570145,"bicarbonate transport","CTX vs STR","CTX","STR",2.42173663570145,2.42173663570145
"12","BP","GO:0032103",3.97538215089676,"positive regulation of
response to external
stimulus","PFC vs HPP","PFC","HPP",3.97538215089676,3.97538215089676
"13","BP","GO:0035115",2.43682268028913,"embryonic forelimb
morphogenesis","CTX vs VTA","CTX","VTA",2.43682268028913,2.43682268028913
"14","BP","GO:0042552",3.47717629965247,"myelination","STR vs PFC","STR","PFC",3.47717629965247,3.47717629965247
"15","BP","GO:0044782",30.8351058306378,"cilium organization","HPP vs CTX","HPP","CTX",30.8351058306378,30.8351058306378
"16","BP","GO:0044782",33.4186607213899,"cilium organization","HPP vs PFC","HPP","PFC",33.4186607213899,33.4186607213899
"17","BP","GO:0044782",35.6747142620783,"cilium organization","HPP vs VTA","HPP","VTA",35.6747142620783,35.6747142620783
"18","BP","GO:0044782",37.0201803675909,"cilium organization","HPP vs STR","HPP","STR",37.0201803675909,37.0201803675909
"19","BP","GO:0048167",4.23339847631295,"regulation of synaptic
plasticity","STR vs VTA","STR","VTA",4.23339847631295,4.23339847631295
"20","BP","GO:0048520",2.43682268028913,"positive regulation of
behavior","CTX vs VTA","CTX","VTA",2.43682268028913,2.43682268028913
"21","BP","GO:0048709",3.47717629965247,"oligodendrocyte
differentiation","STR vs PFC","STR","PFC",3.47717629965247,3.47717629965247
"22","BP","GO:0048709",8.7885624141819,"oligodendrocyte
differentiation","VTA vs PFC","VTA","PFC",8.7885624141819,8.7885624141819
"23","BP","GO:0050900",9.1993579263181,"leukocyte migration","PFC vs HPP","PFC","HPP",9.1993579263181,9.1993579263181
"24","BP","GO:0051276",6.79295786965907,"chromosome organization","VTA vs CTX","VTA","CTX",6.79295786965907,6.79295786965907
"25","BP","GO:0098813",8.88946187844796,"nuclear chromosome
segregation","VTA vs CTX","VTA","CTX",8.88946187844796,8.88946187844796
"26","BP","GO:0140013",7.14654438051732,"meiotic nuclear division","VTA vs CTX","VTA","CTX",7.14654438051732,7.14654438051732
"27","CC","GO:0005581",2.04453111095807,"collagen trimer","CTX vs VTA","CTX","VTA",2.04453111095807,2.04453111095807
"28","CC","GO:0005930",25.0498271565151,"axoneme","HPP vs PFC","HPP","PFC",25.0498271565151,25.0498271565151
"29","CC","GO:0009897",5.46554321696796,"external side of plasma
membrane","PFC vs STR","PFC","STR",5.46554321696796,5.46554321696796
"30","CC","GO:0009897",9.08220400370408,"external side of plasma
membrane","VTA vs STR","VTA","STR",9.08220400370408,9.08220400370408
"31","CC","GO:0009897",10.0728029020261,"external side of plasma
membrane","VTA vs HPP","VTA","HPP",10.0728029020261,10.0728029020261
"32","CC","GO:0009897",10.7100161658553,"external side of plasma
membrane","PFC vs HPP","PFC","HPP",10.7100161658553,10.7100161658553
"33","CC","GO:0030285",1.72003944683483,"integral component of
synaptic vesicle membrane","CTX vs VTA","CTX","VTA",1.72003944683483,1.72003944683483
"34","CC","GO:0031514",25.9680192432145,"motile cilium","HPP vs STR","HPP","STR",25.9680192432145,25.9680192432145
"35","CC","GO:0031514",26.3579986280736,"motile cilium","HPP vs PFC","HPP","PFC",26.3579986280736,26.3579986280736
"36","CC","GO:0032590",3.50547481676592,"dendrite membrane","STR vs VTA","STR","VTA",3.50547481676592,3.50547481676592
"37","CC","GO:0032839",3.853154157506,"dendrite cytoplasm","STR vs VTA","STR","VTA",3.853154157506,3.853154157506
"38","CC","GO:0043209",4.9421646529521,"myelin sheath","STR vs PFC","STR","PFC",4.9421646529521,4.9421646529521
"39","CC","GO:0044309",3.853154157506,"neuron spine","STR vs VTA","STR","VTA",3.853154157506,3.853154157506
"40","CC","GO:0097060",4.85840447227745,"synaptic membrane","STR vs VTA","STR","VTA",4.85840447227745,4.85840447227745
"41","CC","GO:0098978",2.04453111095807,"glutamatergic synapse","CTX vs VTA","CTX","VTA",2.04453111095807,2.04453111095807
"42","CC","GO:0098978",4.68414824823889,"glutamatergic synapse","STR vs VTA","STR","VTA",4.68414824823889,4.68414824823889
"43","CC","GO:0099522",3.54421424534852,"cytosolic region","STR vs VTA","STR","VTA",3.54421424534852,3.54421424534852
"44","MF","GO:0001664",3.96680701143427,"G protein-coupled
receptor binding","PFC vs STR","PFC","STR",3.96680701143427,3.96680701143427
