baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,description,entrez,ensembl
5329.477016606185,0.43906550912869013,0.12707937917718276,3.4550492138973623,5.501923842488513e-4,0.012377808777134378,Ncoa2,nuclear receptor coactivator 2,17978,
5748.563946483468,-0.29516233708075057,0.07687032337338094,-3.839743663455967,1.2316283843703815e-4,0.004084961717063297,Lactb2,"lactamase, beta 2",212442,
13784.263034554124,-0.32378590224492376,0.09101993342098964,-3.557307614666494,3.7467531383546455e-4,0.009306646248525998,Ptp4a1,protein tyrosine phosphatase 4a1,19243,
169.42711585238962,-0.5659864105491674,0.16546518219361978,-3.4205770848327237,6.248842371122366e-4,0.013480946296800144,4930568A12Rik,RIKEN cDNA 4930568A12 gene,75883,
29142.229289516737,-0.31239190331457656,0.10519331806660585,-2.9696934088225793,0.0029809709590584493,0.03999510294987152,Plekhb2,"pleckstrin homology domain containing, family B (evectins) member 2",226971,
11389.230873054483,-0.3097432917819467,0.08830665475216405,-3.507587198849882,4.5219012995410416e-4,0.01079952028840535,Neurl3,neuralized E3 ubiquitin protein ligase 3,214854,
7901.1669215531465,-0.2563640075497938,0.08373343203563988,-3.061668455685375,0.002201071009361922,0.03255998423000326,Txndc9,thioredoxin domain containing 9,98258,
8797.466360324072,-0.5341374547594082,0.12243970605246422,-4.36245293279727,1.2861226101280545e-5,7.589987345567301e-4,Il1rl2,interleukin 1 receptor-like 2,107527,
3667.036139456635,0.39293009055941913,0.09399577505666448,4.180295234786296,2.911308656369568e-5,0.0014413190089649702,Uxs1,UDP-glucuronate decarboxylase 1,67883,
1616.0818208727833,-1.0315787371183212,0.23136594534828733,-4.4586455260969,8.247919049104587e-6,5.352275118399024e-4,Tex30,testis expressed 30,75623,
2299.518593748185,-1.7889306474207458,0.24328560619187448,-7.353212035116669,1.934996148590756e-13,2.6264347723538525e-10,Nabp1,nucleic acid binding protein 1,109019,
60146.95390390632,0.5567327888384318,0.12088508732138822,4.605471205544879,4.115329298183471e-6,3.222619404269826e-4,Slc40a1,"solute carrier family 40 (iron-regulated transporter), member 1",53945,
1594.855900389544,-1.0371202412896077,0.1530478178621666,-6.776445791756589,1.2316824377950048e-11,8.72245371600219e-9,Gls,glutaminase,14660,
10186.842962168788,-0.5651006373992983,0.15505407686672842,-3.644539046109776,2.678714674107111e-4,0.007370085238489294,Stk17b,serine/threonine kinase 17b (apoptosis-inducing),98267,
3317.268154807156,-0.5693154160928461,0.18038350344946177,-3.156139032704572,0.0015987263465678467,0.026389639848734377,Coq10b,coenzyme Q10B,67876,
15675.419082206936,-0.7880099886280659,0.23316577792093926,-3.379612547152012,7.258808052634319e-4,0.014778933195163473,Clk1,CDC-like kinase 1,12747,
3735.2583667653803,-0.46858531576646434,0.10439172546037877,-4.488720860776585,7.165211247164354e-6,4.883136434887573e-4,Nop58,NOP58 ribonucleoprotein,55989,
