baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,description,entrez,ensembl
8600.795345098104,0.3090001317683146,0.08705973871140577,3.5492885269575503,3.862735861662321e-4,0.0025239842446502943,Atp6v1h,"ATPase, H+ transporting, lysosomal V1 subunit H",108664,
11475.181118365226,0.1711783726349404,0.06483536583617769,2.6402006131570874,0.008285696411222091,0.03372819733071094,Lypla1,lysophospholipase 1,18777,
427.7329373867055,1.6161248646346034,0.20349265498165403,7.941932178241548,1.9905577868410374e-15,8.490625993356073e-14,Adhfe1,"alcohol dehydrogenase, iron containing, 1",76187,
3291.215569524845,-0.27916336762963645,0.08775744961078383,-3.1810788584645953,0.0014672768365824027,0.007895252214604338,2610203C22Rik,RIKEN cDNA 2610203C22 gene,72481,
10473.116510826963,-0.41229504202811007,0.08491731485770367,-4.8552529330325,1.2023317719480826e-6,1.4797986768428505e-5,Vcpip1,valosin containing protein (p97)/p47 complex interacting protein 1,70675,
67.0442268088487,10.535912430662798,1.4939973509620343,7.052162725642301,1.761580158571164e-12,5.3457906583082485e-11,Ppp1r42,"protein phosphatase 1, regulatory subunit 42",69312,
3884.4820836531258,0.26073792070705215,0.07755518440203506,3.361966356180959,7.738955215175397e-4,0.004579553819947644,Cops5,COP9 signalosome subunit 5,26754,
129.91396516958488,4.436613627875189,0.9643379632144132,4.6006833673608485,4.211071312804477e-6,4.609221612588909e-5,A830018L16Rik,RIKEN cDNA A830018L16 gene,320492,
6090.24856600087,8.803033980930199,1.131419823046462,7.780519486769412,7.222733957733052e-15,2.9299241403644873e-13,Sulf1,sulfatase 1,240725,
2768.448508088442,-0.30524203512346504,0.11429566459674649,-2.6706352878773494,0.007570785613075377,0.031298774049729465,Terf1,telomeric repeat binding factor 1,21749,
24.5234475888136,5.515579020564898,1.862146333479428,2.9619471474398127,0.0030570025391552487,0.014705721072310959,4930444P10Rik,RIKEN cDNA 4930444P10 gene,75799,
354.2527230159176,3.635056470601661,0.615240322920081,5.908352127098552,3.4554678932979395e-9,6.694379660339487e-8,Sbspon,"somatomedin B and thrombospondin, type 1 domain containing",226866,
2244.3029417602165,1.3656450753397005,0.17782787697415442,7.679589379218557,1.5959933019418513e-14,6.196007590370738e-13,Rdh10,retinol dehydrogenase 10 (all-trans),98711,
1513.1061235388956,0.35906982459532594,0.11677855510817871,3.0747924930454813,0.002106490573101399,0.010741588794647643,Stau2,staufen double-stranded RNA binding protein 2,29819,
382.7128377184995,3.6755320445238095,0.31829372842352005,11.547610638539396,7.590129836598924e-31,1.2785509386616678e-28,Efhc1,EF-hand domain (C-terminal) containing 1,71877,
9425.423479389256,-0.24338490792955103,0.09740023203962041,-2.4988124035530745,0.01246102560187264,0.047241618517723155,Mcm3,minichromosome maintenance complex component 3,17215,
291.3020375773211,1.371017094564866,0.19585200739413172,7.000270831055805,2.5546818431119156e-12,7.522875703042304e-11,Tmem14a,transmembrane protein 14A,75712,
8.086556761740349,7.404861230273427,1.9219683211793872,3.852748845376153,1.1679917710067526e-4,9.054669435374892e-4,Gsta3,"glutathione S-transferase, alpha 3",14859,
2838.2211742060613,0.39084250837305584,0.1158707560890989,3.3730901701592177,7.432960680050032e-4,0.00443146249062251,Sdhaf4,succinate dehydrogenase complex assembly factor 4,68002,
23064.767220362595,0.25423177658432433,0.07357369159882075,3.4554712569078045,5.493317586290431e-4,0.0034293553286022264,Lmbrd1,LMBR1 domain containing 1,68421,
485.22009251188996,0.8944601433368469,0.27208070246824007,3.287481012885348,0.001010880055627583,0.0057639882001461465,Bag2,BCL2-associated athanogene 2,213539,
933.7287727285519,-0.38049223901240087,0.12235023931236409,-3.1098610117221916,0.0018717539652032104,0.009726759102312212,Prim2,"DNA primase, p58 subunit",19076,
5767.2516524942375,-0.33806692650272485,0.07484143022957028,-4.5171093800015685,6.268952724113318e-6,6.565225147376209e-5,Zfp451,zinc finger protein 451,98403,
6627.44196985723,-0.23466802814201093,0.08095504917035544,-2.8987448040232056,0.003746597016468822,0.017469178723047332,Ccdc115,coiled-coil domain containing 115,69668,
9617.245419719746,-0.23683007320747157,0.06994394039829063,-3.3859984418787406,7.091978630444349e-4,0.004255517088883452,Imp4,"IMP4, U3 small nucleolar ribonucleoprotein",27993,
6575.532436022966,-0.3822918946597154,0.08666075355571881,-4.4113613022522316,1.027227455545026e-5,1.0291431519086937e-4,Ptpn18,"protein tyrosine phosphatase, non-receptor type 18",19253,
169.42711585238962,-0.5819307729480007,0.1519752608667922,-3.829115144326475,1.286048287940903e-4,9.835622092882388e-4,4930568A12Rik,RIKEN cDNA 4930568A12 gene,75883,
8774.241808276502,-0.2926629867358739,0.11192711796075393,-2.614763893397962,0.008928915483372843,0.03597082550932347,Fam168b,"family with sequence similarity 168, member B",214469,
29142.229289516737,0.36753876832064797,0.09493990969890531,3.871277837595055,1.0826630423281092e-4,8.485841203610342e-4,Plekhb2,"pleckstrin homology domain containing, family B (evectins) member 2",226971,
