baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,description,entrez,ensembl
11371.159062449797,-0.41337100497908236,0.1092250659019888,-3.7845800463971666,1.5396834689875336e-4,0.04531416311976432,Uggt1,UDP-glucose glycoprotein glucosyltransferase 1,320011,
2299.518593748185,1.1172921340669029,0.24340683200458946,4.590225035449441,4.427683847529046e-6,0.007919739847937611,Nabp1,nucleic acid binding protein 1,109019,
1594.855900389544,0.5916421451807111,0.15326333844746143,3.860297910602578,1.1324886921111023e-4,0.04147231666854042,Gls,glutaminase,14660,
342.09114204074933,0.7268563249119663,0.18579581095071265,3.912124397168376,9.148776215852508e-5,0.0362952283096682,Gm38609,"predicted gene, 38609",102642389,
439117.42069541477,0.8075447351522388,0.1992419470462514,4.053085944621781,5.054642237841856e-5,0.030684927959644146,Btg2,BTG anti-proliferation factor 2,12227,
21588.69825560839,0.5645565839073444,0.14838639427074457,3.8046384689236348,1.420114534664642e-4,0.045071279520178704,Tbpl1,TATA box binding protein-like 1,237336,
106399.01256559452,1.0258287844593568,0.2729773017628308,3.7579270431452256,1.7132681462143974e-4,0.04531416311976432,Egr2,early growth response 2,13654,
83.10367751893493,1.5057994988635035,0.3623668845892817,4.155455597357427,3.246399899852147e-5,0.025880906817208376,Gm35235,"predicted gene, 35235",102638743,
164941.59202949985,0.5157980154986029,0.11237861440194123,4.589823590934869,4.436207728854565e-6,0.007919739847937611,Plek,pleckstrin,56193,
14750.985281318628,1.1515361630442071,0.30323385378763645,3.7975184784303853,1.4615188468253694e-4,0.04531416311976432,Kdm6b,KDM1 lysine (K)-specific demethylase 6B,216850,
5476.403298911225,0.5973933194782048,0.13747514111025327,4.3454643119740695,1.3898136757963035e-5,0.01654109909810234,Gm21975,NA,NA,
31528.05537176128,0.9593475730941605,0.2552868980275924,3.757919346845879,1.7133208293427206e-4,0.04531416311976432,Ccl3,chemokine (C-C motif) ligand 3,20302,
643.6601576692443,1.3295669809591675,0.3470327147445477,3.8312439273567263,1.2749702516968225e-4,0.044095789410972495,Top2a,topoisomerase (DNA) II alpha,21973,
518.8409814470269,1.371415926353353,0.34892961835624065,3.9303511487901326,8.482189227000715e-5,0.0362952283096682,Rrm2,ribonucleotide reductase M2,20135,
2551.5283397099956,0.4969747451225477,0.1313071890799049,3.7848251006281277,1.5381671487162894e-4,0.04531416311976432,Hdac9,histone deacetylase 9,79221,
823.9491819274226,0.8273490141916882,0.21340501642902218,3.8768958107733225,1.0579763571867405e-4,0.03976320614037113,Gm19327,"predicted gene, 19327",100502697,
318.64144401985294,1.5879871000054258,0.29142547244425643,5.4490332869209785,5.064433520054209e-8,2.4110079844471405e-4,Ccnb1,cyclin B1,268697,
1195.1834613616627,1.1205047419047607,0.3004068046775812,3.7299579252452997,1.9151174828648695e-4,0.04829705514456227,Gm41077,"predicted gene, 41077",105245650,
