"module" "metadata.time_pointCTX" "metadata.time_pointHPP" "metadata.time_pointPFC" "metadata.time_pointSTR" "metadata.time_pointVTA" "AveExpr" "F" "P.Value" "adj.P.Val"
"1" "MEblack" -0.101833025318867 0.334649941132716 -0.130870812184584 -0.11681455253919 -0.0905351804754904 -4.5102810375397e-17 13.5507046482181 5.34228785732443e-07 1.76295499291706e-05
"2" "MEblue" -0.145554379860013 -0.14997178394419 -0.114226646169422 0.182856801970311 0.284724361025187 8.44232091642046e-17 8.95704705350239 2.54167762829431e-05 0.000345271607902383
"3" "MEdarkgreen" -0.206362265227324 0.0892711883023504 -0.155417514961637 -0.0456034739397295 0.323731718900506 -2.48643698223342e-17 8.73692334893207 3.13883279911258e-05 0.000345271607902383
"4" "MEantiquewhite4" 0.174477141781552 -0.224302084876441 0.212035051731284 0.0414190250885265 -0.154841610491653 2.89120579329468e-18 8.31735130303083 4.73004164974484e-05 0.000390228436103949
"5" "MEsalmon4" 0.151413229628168 -0.299744211501883 0.0910045057877276 0.110278087445612 0.0465998460829816 7.66892336671414e-17 8.03018914303654 6.30120596918669e-05 0.000415879593966322
"6" "MEcyan" 0.0532498869442487 -0.286690846594724 0.0607294499778944 0.0768833455481022 0.204770388540341 5.47883497829342e-17 7.51168109227836 0.000107168924159951 0.000589429082879733
"7" "MElightcyan" -0.0743634099511896 -0.0928692334247545 -0.120660390801139 -0.00320092941486955 0.368493910358332 8.84708972748172e-17 6.84059136177493 0.000218855385386544 0.00103174681682228
"8" "MEyellowgreen" -0.0727994632440537 -0.125495620598429 0.254376958055782 -0.165986134839689 0.150554365121582 4.38017677684144e-17 6.389910368023 0.000359891426542781 0.00148455213448897
"9" "MElightgreen" -0.00237720057231459 0.243940916082356 0.0304745521885152 -0.144834673894073 -0.220584021419272 5.8113236445223e-17 6.26519309752074 0.000414095838977609 0.00151835140958457
"10" "MEskyblue1" -0.145989654756724 -0.0980098183996355 0.0449361108228202 -0.0832622982544592 0.340912116645725 -4.91504984860095e-17 6.10053890777317 0.000499257858725012 0.00164755093379254
"11" "MEgreen" -0.105571963338018 0.194870949894224 -0.232265931312931 0.01533545583729 0.0844286328412329 -2.13226427255483e-17 4.75852301835671 0.00248504901185552 0.00745514703556655
"12" "MEpalevioletred3" 0.126081477310451 0.105716210945082 0.0710954459101419 -0.0664645475995035 -0.290444416616372 -2.6599093298311e-17 3.98278999689502 0.00673394877555022 0.0185183591327631
"13" "MEmediumpurple3" -0.0986108942815008 0.22034308464257 -0.0550482196235248 -0.166305563895831 0.0447884967168405 4.71989345755356e-17 3.68820316303136 0.00996779584766215 0.025302866382527
"14" "MEsteelblue" 0.00630689183431366 -0.0948703138179149 -0.0304656003752725 0.234746016046908 -0.119351940696986 3.96817995129695e-17 2.61320934722655 0.044252769749585 0.104310100124022
"15" "MEskyblue" 0.0905129443628018 0.174333426967979 -0.105498993630463 -0.102845853611626 -0.0915820257621585 -8.5290570902193e-18 2.29970804680635 0.0693262052873104 0.152517651632083
"16" "MEcoral2" -0.103635663876189 0.202314396310388 -0.035873744921301 -0.0385478479388703 -0.106808939514179 8.67361737988404e-18 2.21926891465224 0.0778375857522439 0.160540020614003
"17" "MEplum2" 0.00966063426147434 -0.16978851613226 0.168179055756179 -0.0299748364345646 0.0722668657848967 -3.12611626399987e-17 2.15115412526231 0.0858679852518668 0.166684912547742
