"","x"
"1","100009600"
"2","100009664"
"3","100017"
"4","100019"
"5","100034251"
"6","100034361"
"7","100034363"
"8","100034675"
"9","100034726"
"10","100034739"
"11","100034748"
"12","100036521"
"13","100036568"
"14","100036768"
"15","100037258"
"16","100037260"
"17","100037262"
"18","100037282"
"19","100037283"
"20","100037396"
"21","100037413"
"22","100038347"
"23","100038353"
"24","100038363"
"25","100038374"
"26","100038388"
"27","100038392"
"28","100038410"
"29","100038429"
"30","100038454"
"31","100038460"
"32","100038464"
"33","100038492"
"34","100038504"
"35","100038514"
"36","100038538"
"37","100038554"
"38","100038555"
"39","100038560"
"40","100038566"
"41","100038577"
"42","100038591"
"43","100038595"
"44","100038608"
"45","100038627"
"46","100038636"
"47","100038654"
"48","100038659"
"49","100038693"
"50","100038700"
"51","100038709"
"52","100038712"
"53","100038725"
"54","100038732"
"55","100038735"
"56","100038746"
"57","100038761"
"58","100038882"
"59","100038999"
"60","100039027"
"61","100039062"
"62","100039078"
"63","100039123"
"64","100039139"
"65","100039184"
"66","100039210"
"67","100039252"
"68","100039284"
"69","100039422"
"70","100039440"
"71","100039441"
"72","100039495"
"73","100039596"
"74","100039636"
"75","100039684"
"76","100039707"
"77","100039731"
"78","100039781"
"79","100039786"
"80","100039794"
"81","100039795"
"82","100039796"
"83","100039805"
"84","100039864"
"85","100039895"
"86","100039901"
"87","100039957"
"88","100039964"
"89","100040052"
"90","100040294"
"91","100040416"
"92","100040462"
"93","100040500"
"94","100040507"
"95","100040531"
"96","100040563"
"97","100040567"
"98","100040591"
"99","100040608"
"100","100040671"
"101","100040724"
"102","100040769"
"103","100040822"
"104","100040846"
"105","100040870"
"106","100040970"
"107","100040999"
"108","100041089"
"109","100041099"
"110","100041151"
"111","100041244"
"112","100041279"
"113","100041283"
"114","100041286"
"115","100041289"
"116","100041306"
"117","100041311"
"118","100041420"
"119","100041450"
"120","100041546"
"121","100041562"
"122","100041574"
"123","100041581"
"124","100041585"
"125","100041655"
"126","100041694"
"127","100041697"
"128","100041708"
"129","100041734"
"130","100041735"
"131","100041879"
"132","100041925"
"133","100041951"
"134","100041953"
"135","100041965"
"136","100041979"
"137","100042008"
"138","100042024"
"139","100042049"
"140","100042054"
"141","100042056"
"142","100042100"
"143","100042150"
"144","100042166"
"145","100042194"
"146","100042202"
"147","100042235"
"148","100042277"
"149","100042335"
"150","100042355"
"151","100042480"
"152","100042484"
"153","100042498"
"154","100042577"
"155","100042605"
"156","100042678"
"157","100042679"
"158","100042757"
"159","100042802"
"160","100042807"
"161","100042875"
"162","100042880"
"163","100042889"
"164","100042926"
"165","100042948"
"166","100042951"
"167","100043002"
"168","100043039"
"169","100043040"
"170","100043089"
"171","100043123"
"172","100043133"
"173","100043143"
"174","100043147"
"175","100043172"
"176","100043176"
"177","100043189"
"178","100043213"
"179","100043272"
"180","100043332"
"181","100043335"
"182","100043407"
"183","100043434"
"184","100043450"
"185","100043462"
"186","100043468"
"187","100043489"
"188","100043580"
"189","100043597"
"190","100043600"
"191","100043636"
"192","100043682"
"193","100043726"
"194","100043729"
"195","100043767"
"196","100043772"
"197","100043813"
"198","100043817"
"199","100043876"
"200","100043902"
"201","100043911"
"202","100044193"
"203","100045469"
"204","100045778"
"205","100045792"
"206","100047123"
"207","100047133"
"208","100048534"
"209","100048644"
"210","100048658"
"211","100048895"
"212","100048985"
"213","100049166"
"214","100072"
"215","100073351"
"216","100087"
"217","100088"
"218","100101457"
"219","100101806"
"220","100101919"
