"Cluster" "ONTOLOGY" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"1" "black" "BP" "GO:0044782" "cilium organization" "145/2186" "303/14705" 3.69752977527693e-43 2.02106977516637e-39 1.93400267930011e-39 "Dnah7b/Dnah7c/Dnah7a/Tmem237/Spag16/Catip/Stk36/Daw1/Armc9/Traf3ip1/Cfap221/Nme7/Cfap126/Syne1/Ahi1/Rsph4a/Armc2/Cfap54/Cep83/Cep290/Rab3ip/Limk2/Tmem17/Wdpcp/Fam161a/Kif3a/B9d1/Cfap52/Tmem107/Dnah2/Tekt1/Rilp/Ift20/Hap1/Ccdc103/Foxj1/Ccdc40/Wdr35/Syne2/Atp6v1d/Dnal1/Fam161b/Ift43/Ttll5/Ttc8/Ak7/Dcdc2a/Mak/Kif27/Cdc14b/Ift88/Dzip1/Abcc4/Zic2/Lrrc6/Mapk15/Ift27/Cby1/Rabl2/Ccdc65/Tekt5/Spag6l/Gmnc/Cep19/Arl6/Tekt4/Wdr90/Rsph1/Rfx2/Dync2li1/Nme5/Cfap53/Bbs1/Tmem216/Tmem138/Tctn3/Arl3/Cfap43/Cfap58/Eno4/Meig1/Cfap157/Gsn/Bbs5/Ttc30b/Spef1/Mkks/Lama5/Intu/Ift80/Spag17/Pifo/Celsr2/Fnbp1l/Odf2l/Ssx2ip/Tmem67/Spata6/Tekt2/Ubxn10/Cfap69/Drc1/Ccdc96/Cc2d2a/Wdr19/Unc119b/Dynll1/Ift81/Tctn2/Ift22/Iqub/Ttc26/Ift122/Dnaaf3/Arhgap35/Cep89/Fuz/Cfap161/Parva/Ccp110/Zfp423/Rpgrip1l/Drc7/Ccdc113/Hydin/Tmem231/Dnaaf1/Gas8/Dync2h1/Yap1/Cep126/Jhy/Ttc12/Bbs4/Lrrc49/Mns1/Lca5/Cep162/Dzip1l/Zmynd10/Ttc21a/Ulk4/Ccdc13/Rpgr/Ttc29" 145
"2" "black" "BP" "GO:0060271" "cilium assembly" "135/2186" "276/14705" 1.43761669265709e-41 3.92900642103184e-38 3.75974597148058e-38 "Dnah7b/Dnah7c/Dnah7a/Tmem237/Spag16/Stk36/Daw1/Armc9/Traf3ip1/Cfap221/Syne1/Ahi1/Rsph4a/Armc2/Cfap54/Cep83/Cep290/Rab3ip/Limk2/Tmem17/Wdpcp/Fam161a/Kif3a/B9d1/Cfap52/Tmem107/Dnah2/Tekt1/Rilp/Ift20/Hap1/Ccdc103/Foxj1/Ccdc40/Wdr35/Syne2/Atp6v1d/Dnal1/Ift43/Ttll5/Ttc8/Ak7/Dcdc2a/Mak/Kif27/Cdc14b/Ift88/Dzip1/Abcc4/Lrrc6/Mapk15/Ift27/Cby1/Rabl2/Ccdc65/Tekt5/Spag6l/Gmnc/Cep19/Arl6/Tekt4/Wdr90/Rsph1/Rfx2/Dync2li1/Nme5/Cfap53/Bbs1/Tmem216/Tmem138/Tctn3/Arl3/Cfap43/Cfap58/Meig1/Cfap157/Gsn/Bbs5/Ttc30b/Spef1/Mkks/Lama5/Intu/Ift80/Spag17/Celsr2/Fnbp1l/Odf2l/Ssx2ip/Tmem67/Spata6/Tekt2/Ubxn10/Cfap69/Drc1/Ccdc96/Cc2d2a/Wdr19/Unc119b/Dynll1/Ift81/Tctn2/Ift22/Iqub/Ttc26/Ift122/Dnaaf3/Arhgap35/Cep89/Fuz/Cfap161/Parva/Ccp110/Zfp423/Rpgrip1l/Drc7/Ccdc113/Hydin/Tmem231/Dnaaf1/Gas8/Dync2h1/Yap1/Cep126/Jhy/Ttc12/Bbs4/Lrrc49/Mns1/Cep162/Dzip1l/Zmynd10/Ulk4/Ccdc13/Rpgr" 135
"3" "black" "BP" "GO:0006091" "generation of precursor metabolites and energy" "144/2186" "394/14705" 3.56300819409389e-27 6.49180092963906e-24 6.21213604086053e-24 "Cox5b/Mdh1b/Ndufs1/Idh1/Irs1/Sdhc/Ndufs2/Fh1/Ak9/Hkdc1/Hk1/Cisd1/Chchd10/Atp5d/Ndufs7/Uqcr11/Ndufa12/Atp5b/Bloc1s1/Uqcr10/Ogdh/Grb10/Mdh1/Uqcrq/Lyrm7/Cyb561/Atp5h/Acox1/Gaa/Dld/Dlst/Esrrb/Pfkp/Uqcrfs1/Ppp1r3g/Uqcrb/Ndufs6/Sdha/Cox7c/Nnt/Pdhb/Ppif/Tkt/Ogdhl/Sucla2/Dnajc15/Ndufb9/Cyc1/Aco2/Ndufa6/Ppara/Pfkm/Zbtb20/Atp5j/App/Atp5o/Sod2/Ndufb10/Jmjd8/Ndufv3/Gnmt/Ndufa11/Ndufv2/Atp5a1/Ndufv1/Arl2/Pygm/Fxn/Pgam1/Ndufb8/Eno4/Ndufa8/Slc25a12/Mtch2/Ndufs3/Pygb/Atp5e/Mtfr1/Ndufb5/Ndufc1/Etfdh/Acadm/Ndufb6/Pgm2/Lepr/Prkaa2/Ndufs5/Gale/Mfn2/Eno1/Ppargc1a/Atp5k/Trpv4/Cox6a1/Chchd2/Mdh2/Atp5j2/Kl/Slc25a13/Ndufa4/Aass/Ndufa5/Ndufb2/Cycs/Suclg1/Aldh1l1/Eno2/Tpi1/Gapdh/Gabarapl1/Ndufa3/Akt2/Cox7a1/Gpi1/Etfb/Gys1/Wdr93/Ndufc2/Coq7/Uqcrc2/Ndufab1/Aldoa/Sirt3/Slc25a22/Igf2/Ndufa13/Ndufb7/Phkb/Mt3/Coq9/Cox4i1/Dlat/Fdx1/Idh3a/Etfa/Cox5a/Pkm/Hmgcll1/Cox7a2/Mrap2/Ndufb11/Ndufa1/Pgk1/Pdha1" 144
"4" "black" "BP" "GO:0009060" "aerobic respiration" "83/2186" "165/14705" 5.01123487261807e-27 6.84785245343259e-24 6.55284896895768e-24 "Cox5b/Mdh1b/Ndufs1/Idh1/Sdhc/Ndufs2/Fh1/Chchd10/Atp5d/Ndufs7/Uqcr11/Ndufa12/Atp5b/Bloc1s1/Uqcr10/Ogdh/Mdh1/Uqcrq/Atp5h/Dld/Dlst/Uqcrfs1/Uqcrb/Ndufs6/Sdha/Cox7c/Pdhb/Ppif/Ogdhl/Sucla2/Dnajc15/Ndufb9/Cyc1/Aco2/Ndufa6/Atp5j/Atp5o/Ndufb10/Ndufv3/Ndufa11/Ndufv2/Atp5a1/Ndufv1/Arl2/Fxn/Ndufb8/Ndufa8/Mtch2/Ndufs3/Atp5e/Mtfr1/Ndufb5/Ndufc1/Ndufb6/Ndufs5/Atp5k/Trpv4/Cox6a1/Chchd2/Mdh2/Atp5j2/Ndufa5/Ndufb2/Cycs/Suclg1/Ndufa3/Cox7a1/Ndufc2/Coq7/Uqcrc2/Ndufab1/Sirt3/Ndufa13/Ndufb7/Coq9/Cox4i1/Dlat/Idh3a/Cox5a/Cox7a2/Ndufb11/Ndufa1/Pdha1" 83
"5" "black" "BP" "GO:0003341" "cilium movement" "74/2186" "137/14705" 8.98190852178075e-27 9.81902239601072e-24 9.39602177783759e-24 "Dnah7b/Dnah7c/Dnah7a/Spag16/Stk36/Daw1/Cfap221/Nme7/Cfap45/Rsph4a/Armc2/Cfap54/Kif3a/Dnah9/Cfap52/Dnah2/Tekt1/Gas2l2/Ccdc103/Ccdc40/Ttll5/Ak7/Dnah11/Kif27/Nek10/Ift88/Dzip1/Lrrc6/Rabl2/Ccdc65/Tekt5/Efcab1/Spag6l/Tekt4/Tcte1/Nme5/Cfap53/Bbs1/Dpcd/Cfap43/Cfap58/Eno4/Meig1/Enkur/Cfap157/Spef1/Mkks/Ttll9/Pltp/Zbbx/Spag17/Celsr2/Dnali1/Tekt2/Nphp4/Cfap69/Drc1/Ift81/Dnah6/Camsap3/Drc7/Hydin/Dnaaf1/Spata33/Gas8/Jhy/Ttc12/Bbs4/Mns1/Zmynd10/Kif9/Ttc21a/Ulk4/Ttc29" 74
"6" "black" "BP" "GO:0120031" "plasma membrane bounded cell projection assembly" "156/2186" "451/14705" 2.28516450766669e-26 2.08178486648436e-23 1.99210218220979e-23 "Dnah7b/Dnah7c/Dnah7a/Tmem237/Spag16/Stk36/Daw1/Armc9/Traf3ip1/Cfap221/Prdx6/Syne1/Ahi1/Rsph4a/Armc2/Cfap54/Cep83/Cep290/Rab3ip/Limk2/Cobl/Tmem17/Wdpcp/Fam161a/Kif3a/B9d1/Arhgap44/Cfap52/Tmem107/Dnah2/Tekt1/Rilp/Ift20/Hap1/Ccdc103/Foxj1/Ccdc40/Wdr35/Syne2/Atp6v1d/Plek2/Dnal1/Ift43/Ttll5/Ttc8/Ak7/Dcdc2a/Mak/Dbn1/Kif27/Cdc14b/Ift88/Dmtn/Dzip1/Abcc4/Myo10/Lrrc6/Mapk15/Ift27/Cby1/Rabl2/Ccdc65/Tekt5/Emp2/Spag6l/Gmnc/Cep19/Arl6/Tekt4/Wdr90/Rsph1/Rfx2/Dync2li1/Nme5/Cfap53/Rhod/Bbs1/Tmem216/Tmem138/Kank1/Plce1/Tctn3/Arl3/Cfap43/Cfap58/Shtn1/Meig1/Prkcq/Cfap157/Gsn/Bbs5/Ttc30b/Spef1/Mkks/Lama5/Intu/Pfn2/Arhgef26/Ift80/Spag17/Celsr2/Fnbp1l/Odf2l/Ssx2ip/Tmem67/Spata6/Tekt2/Ubxn10/Cfap69/Drc1/Ccdc96/Cc2d2a/Slit2/Wdr19/Kit/Unc119b/Dynll1/Ift81/Tctn2/Ift22/Wasf3/Iqub/Ttc26/Ift122/Dnaaf3/Arhgap35/Cep89/Fuz/Cfap161/Parva/Ccp110/Eps8l2/Cttn/Gpm6a/Zfp423/Rpgrip1l/Drc7/Ccdc113/Hydin/Tmem231/Dnaaf1/Gas8/Dync2h1/Yap1/Cep126/Jhy/Ttc12/Bbs4/Lrrc49/Mns1/Cep162/Dzip1l/Zmynd10/Ulk4/Ccdc13/Rpgr" 156
"7" "black" "BP" "GO:0030031" "cell projection assembly" "158/2186" "463/14705" 5.68597653402164e-26 4.4399353907089e-23 4.24866427030881e-23 "Dnah7b/Dnah7c/Dnah7a/Tmem237/Spag16/Stk36/Daw1/Armc9/Traf3ip1/Cfap221/Prdx6/Syne1/Ahi1/Rsph4a/Armc2/Cfap54/Cep83/Cep290/Rab3ip/Limk2/Cobl/Tmem17/Wdpcp/Fam161a/Kif3a/B9d1/Arhgap44/Cfap52/Tmem107/Dnah2/Tekt1/Rilp/Ift20/Hap1/Ccdc103/Foxj1/Ccdc40/Wdr35/Scin/Syne2/Atp6v1d/Plek2/Dnal1/Ift43/Ttll5/Ttc8/Ak7/Dcdc2a/Mak/Dbn1/Kif27/Cdc14b/Ift88/Dmtn/Dzip1/Abcc4/Myo10/Lrrc6/Mapk15/Ift27/Cby1/Rabl2/Ccdc65/Tekt5/Emp2/Spag6l/Gmnc/Cep19/Arl6/Tekt4/Wdr90/Rsph1/Rfx2/Dync2li1/Nme5/Cfap53/Rhod/Bbs1/Tmem216/Tmem138/Kank1/Plce1/Tctn3/Arl3/Cfap43/Cfap58/Shtn1/Meig1/Prkcq/Cfap157/Gsn/Bbs5/Ttc30b/Spef1/Mkks/Lama5/Intu/Pfn2/Arhgef26/Ift80/Spag17/Celsr2/Fnbp1l/Odf2l/Ssx2ip/Tmem67/Spata6/Tekt2/Ubxn10/Cfap69/Drc1/Ccdc96/Cc2d2a/Slit2/Wdr19/Kit/Unc119b/Dynll1/Ift81/Tctn2/Ift22/Pdgfa/Wasf3/Iqub/Ttc26/Ift122/Dnaaf3/Arhgap35/Cep89/Fuz/Cfap161/Parva/Ccp110/Eps8l2/Cttn/Gpm6a/Zfp423/Rpgrip1l/Drc7/Ccdc113/Hydin/Tmem231/Dnaaf1/Gas8/Dync2h1/Yap1/Cep126/Jhy/Ttc12/Bbs4/Lrrc49/Mns1/Cep162/Dzip1l/Zmynd10/Ulk4/Ccdc13/Rpgr" 158
"8" "black" "BP" "GO:0045333" "cellular respiration" "93/2186" "212/14705" 1.66890752734285e-24 1.140281068057e-21 1.09115809254824e-21 "Cox5b/Mdh1b/Ndufs1/Idh1/Sdhc/Ndufs2/Fh1/Cisd1/Chchd10/Atp5d/Ndufs7/Uqcr11/Ndufa12/Atp5b/Bloc1s1/Uqcr10/Ogdh/Mdh1/Uqcrq/Lyrm7/Atp5h/Dld/Dlst/Uqcrfs1/Uqcrb/Ndufs6/Sdha/Cox7c/Pdhb/Ppif/Ogdhl/Sucla2/Dnajc15/Ndufb9/Cyc1/Aco2/Ndufa6/Atp5j/Atp5o/Sod2/Ndufb10/Ndufv3/Ndufa11/Ndufv2/Atp5a1/Ndufv1/Arl2/Fxn/Ndufb8/Ndufa8/Slc25a12/Mtch2/Ndufs3/Atp5e/Mtfr1/Ndufb5/Ndufc1/Ndufb6/Ndufs5/Mfn2/Ppargc1a/Atp5k/Trpv4/Cox6a1/Chchd2/Mdh2/Atp5j2/Slc25a13/Ndufa5/Ndufb2/Cycs/Suclg1/Ndufa3/Cox7a1/Etfb/Ndufc2/Coq7/Uqcrc2/Ndufab1/Sirt3/Slc25a22/Ndufa13/Ndufb7/Coq9/Cox4i1/Dlat/Idh3a/Etfa/Cox5a/Cox7a2/Ndufb11/Ndufa1/Pdha1" 93
"9" "black" "BP" "GO:0015980" "energy derivation by oxidation of organic compounds" "113/2186" "292/14705" 6.60390680259834e-24 4.01077273144472e-21 3.83798981311241e-21 "Cox5b/Mdh1b/Ndufs1/Idh1/Irs1/Sdhc/Ndufs2/Fh1/Cisd1/Chchd10/Atp5d/Ndufs7/Uqcr11/Ndufa12/Atp5b/Bloc1s1/Uqcr10/Ogdh/Grb10/Mdh1/Uqcrq/Lyrm7/Atp5h/Gaa/Dld/Dlst/Esrrb/Uqcrfs1/Ppp1r3g/Uqcrb/Ndufs6/Sdha/Cox7c/Pdhb/Ppif/Ogdhl/Sucla2/Dnajc15/Ndufb9/Cyc1/Aco2/Ndufa6/Pfkm/Atp5j/Atp5o/Sod2/Ndufb10/Ndufv3/Gnmt/Ndufa11/Ndufv2/Atp5a1/Ndufv1/Arl2/Pygm/Fxn/Ndufb8/Ndufa8/Slc25a12/Mtch2/Ndufs3/Pygb/Atp5e/Mtfr1/Ndufb5/Ndufc1/Acadm/Ndufb6/Pgm2/Lepr/Ndufs5/Mfn2/Ppargc1a/Atp5k/Trpv4/Cox6a1/Chchd2/Mdh2/Atp5j2/Kl/Slc25a13/Ndufa5/Ndufb2/Cycs/Suclg1/Gabarapl1/Ndufa3/Akt2/Cox7a1/Etfb/Gys1/Ndufc2/Coq7/Uqcrc2/Ndufab1/Sirt3/Slc25a22/Igf2/Ndufa13/Ndufb7/Phkb/Mt3/Coq9/Cox4i1/Dlat/Idh3a/Etfa/Cox5a/Cox7a2/Mrap2/Ndufb11/Ndufa1/Pdha1" 113
"10" "black" "BP" "GO:0007018" "microtubule-based movement" "119/2186" "333/14705" 1.1197890817267e-21 6.12076712071814e-19 5.85708626010523e-19 "Dnah7b/Dnah7c/Dnah7a/Spag16/Stk36/Daw1/Traf3ip1/Kif1a/Cfap221/Nme7/Cfap45/Rsph4a/Armc2/Cfap54/Bloc1s1/Nefh/Wdpcp/Kif3a/Dnah9/Cfap52/Dnah2/Kif1c/Tekt1/Ift20/Gas2l2/Hap1/Ccdc103/Ccdc40/Wdr35/Syne2/Ift43/Ttll5/Ak7/Dnah11/Mak/Kif27/Map1b/Nek10/Ift88/Dzip1/Lrrc6/Ift27/Rabl2/Kif21a/Ccdc65/Tekt5/Efcab1/Spag6l/App/Sod1/Tekt4/Rhot2/Tcte1/Kif6/Dync2li1/Nme5/Cfap53/Bbs1/Dpcd/Arl3/Cfap43/Cfap58/Eno4/Meig1/Enkur/Cfap157/Ttc30b/Spef1/Mkks/Kif16b/Ttll9/Pltp/Intu/Ift80/Zbbx/Spag17/Celsr2/Ssx2ip/Agbl4/Dnali1/Tekt2/Nphp4/Prkcz/Cfap69/Drc1/Wdr19/Dynll1/Ift81/Ift22/Sun1/Dync1i1/Ttc26/Dnah6/Ift122/Casc1/Bicd1/Fuz/Camsap3/Drc7/Kifc3/Hydin/Dynlrb2/Dnaaf1/Spata33/Gas8/Dync2h1/Jhy/Ttc12/Bbs4/Mns1/Lca5/Tmem108/Zmynd10/Kif9/Ttc21a/Ulk4/Dynlt3/Rpgr/Ttc29" 119
