"Cluster" "ONTOLOGY" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"1" "black" "BP" "GO:0044782" "cilium organization" "145/2186" "303/14705" 3.69752977527693e-43 2.02106977516637e-39 1.93400267930011e-39 "Dnah7b/Dnah7c/Dnah7a/Tmem237/Spag16/Catip/Stk36/Daw1/Armc9/Traf3ip1/Cfap221/Nme7/Cfap126/Syne1/Ahi1/Rsph4a/Armc2/Cfap54/Cep83/Cep290/Rab3ip/Limk2/Tmem17/Wdpcp/Fam161a/Kif3a/B9d1/Cfap52/Tmem107/Dnah2/Tekt1/Rilp/Ift20/Hap1/Ccdc103/Foxj1/Ccdc40/Wdr35/Syne2/Atp6v1d/Dnal1/Fam161b/Ift43/Ttll5/Ttc8/Ak7/Dcdc2a/Mak/Kif27/Cdc14b/Ift88/Dzip1/Abcc4/Zic2/Lrrc6/Mapk15/Ift27/Cby1/Rabl2/Ccdc65/Tekt5/Spag6l/Gmnc/Cep19/Arl6/Tekt4/Wdr90/Rsph1/Rfx2/Dync2li1/Nme5/Cfap53/Bbs1/Tmem216/Tmem138/Tctn3/Arl3/Cfap43/Cfap58/Eno4/Meig1/Cfap157/Gsn/Bbs5/Ttc30b/Spef1/Mkks/Lama5/Intu/Ift80/Spag17/Pifo/Celsr2/Fnbp1l/Odf2l/Ssx2ip/Tmem67/Spata6/Tekt2/Ubxn10/Cfap69/Drc1/Ccdc96/Cc2d2a/Wdr19/Unc119b/Dynll1/Ift81/Tctn2/Ift22/Iqub/Ttc26/Ift122/Dnaaf3/Arhgap35/Cep89/Fuz/Cfap161/Parva/Ccp110/Zfp423/Rpgrip1l/Drc7/Ccdc113/Hydin/Tmem231/Dnaaf1/Gas8/Dync2h1/Yap1/Cep126/Jhy/Ttc12/Bbs4/Lrrc49/Mns1/Lca5/Cep162/Dzip1l/Zmynd10/Ttc21a/Ulk4/Ccdc13/Rpgr/Ttc29" 145
"2" "black" "BP" "GO:0060271" "cilium assembly" "135/2186" "276/14705" 1.43761669265709e-41 3.92900642103184e-38 3.75974597148058e-38 "Dnah7b/Dnah7c/Dnah7a/Tmem237/Spag16/Stk36/Daw1/Armc9/Traf3ip1/Cfap221/Syne1/Ahi1/Rsph4a/Armc2/Cfap54/Cep83/Cep290/Rab3ip/Limk2/Tmem17/Wdpcp/Fam161a/Kif3a/B9d1/Cfap52/Tmem107/Dnah2/Tekt1/Rilp/Ift20/Hap1/Ccdc103/Foxj1/Ccdc40/Wdr35/Syne2/Atp6v1d/Dnal1/Ift43/Ttll5/Ttc8/Ak7/Dcdc2a/Mak/Kif27/Cdc14b/Ift88/Dzip1/Abcc4/Lrrc6/Mapk15/Ift27/Cby1/Rabl2/Ccdc65/Tekt5/Spag6l/Gmnc/Cep19/Arl6/Tekt4/Wdr90/Rsph1/Rfx2/Dync2li1/Nme5/Cfap53/Bbs1/Tmem216/Tmem138/Tctn3/Arl3/Cfap43/Cfap58/Meig1/Cfap157/Gsn/Bbs5/Ttc30b/Spef1/Mkks/Lama5/Intu/Ift80/Spag17/Celsr2/Fnbp1l/Odf2l/Ssx2ip/Tmem67/Spata6/Tekt2/Ubxn10/Cfap69/Drc1/Ccdc96/Cc2d2a/Wdr19/Unc119b/Dynll1/Ift81/Tctn2/Ift22/Iqub/Ttc26/Ift122/Dnaaf3/Arhgap35/Cep89/Fuz/Cfap161/Parva/Ccp110/Zfp423/Rpgrip1l/Drc7/Ccdc113/Hydin/Tmem231/Dnaaf1/Gas8/Dync2h1/Yap1/Cep126/Jhy/Ttc12/Bbs4/Lrrc49/Mns1/Cep162/Dzip1l/Zmynd10/Ulk4/Ccdc13/Rpgr" 135
"3" "black" "BP" "GO:0006091" "generation of precursor metabolites and energy" "144/2186" "394/14705" 3.56300819409389e-27 6.49180092963906e-24 6.21213604086053e-24 "Cox5b/Mdh1b/Ndufs1/Idh1/Irs1/Sdhc/Ndufs2/Fh1/Ak9/Hkdc1/Hk1/Cisd1/Chchd10/Atp5d/Ndufs7/Uqcr11/Ndufa12/Atp5b/Bloc1s1/Uqcr10/Ogdh/Grb10/Mdh1/Uqcrq/Lyrm7/Cyb561/Atp5h/Acox1/Gaa/Dld/Dlst/Esrrb/Pfkp/Uqcrfs1/Ppp1r3g/Uqcrb/Ndufs6/Sdha/Cox7c/Nnt/Pdhb/Ppif/Tkt/Ogdhl/Sucla2/Dnajc15/Ndufb9/Cyc1/Aco2/Ndufa6/Ppara/Pfkm/Zbtb20/Atp5j/App/Atp5o/Sod2/Ndufb10/Jmjd8/Ndufv3/Gnmt/Ndufa11/Ndufv2/Atp5a1/Ndufv1/Arl2/Pygm/Fxn/Pgam1/Ndufb8/Eno4/Ndufa8/Slc25a12/Mtch2/Ndufs3/Pygb/Atp5e/Mtfr1/Ndufb5/Ndufc1/Etfdh/Acadm/Ndufb6/Pgm2/Lepr/Prkaa2/Ndufs5/Gale/Mfn2/Eno1/Ppargc1a/Atp5k/Trpv4/Cox6a1/Chchd2/Mdh2/Atp5j2/Kl/Slc25a13/Ndufa4/Aass/Ndufa5/Ndufb2/Cycs/Suclg1/Aldh1l1/Eno2/Tpi1/Gapdh/Gabarapl1/Ndufa3/Akt2/Cox7a1/Gpi1/Etfb/Gys1/Wdr93/Ndufc2/Coq7/Uqcrc2/Ndufab1/Aldoa/Sirt3/Slc25a22/Igf2/Ndufa13/Ndufb7/Phkb/Mt3/Coq9/Cox4i1/Dlat/Fdx1/Idh3a/Etfa/Cox5a/Pkm/Hmgcll1/Cox7a2/Mrap2/Ndufb11/Ndufa1/Pgk1/Pdha1" 144
"4" "black" "BP" "GO:0009060" "aerobic respiration" "83/2186" "165/14705" 5.01123487261807e-27 6.84785245343259e-24 6.55284896895768e-24 "Cox5b/Mdh1b/Ndufs1/Idh1/Sdhc/Ndufs2/Fh1/Chchd10/Atp5d/Ndufs7/Uqcr11/Ndufa12/Atp5b/Bloc1s1/Uqcr10/Ogdh/Mdh1/Uqcrq/Atp5h/Dld/Dlst/Uqcrfs1/Uqcrb/Ndufs6/Sdha/Cox7c/Pdhb/Ppif/Ogdhl/Sucla2/Dnajc15/Ndufb9/Cyc1/Aco2/Ndufa6/Atp5j/Atp5o/Ndufb10/Ndufv3/Ndufa11/Ndufv2/Atp5a1/Ndufv1/Arl2/Fxn/Ndufb8/Ndufa8/Mtch2/Ndufs3/Atp5e/Mtfr1/Ndufb5/Ndufc1/Ndufb6/Ndufs5/Atp5k/Trpv4/Cox6a1/Chchd2/Mdh2/Atp5j2/Ndufa5/Ndufb2/Cycs/Suclg1/Ndufa3/Cox7a1/Ndufc2/Coq7/Uqcrc2/Ndufab1/Sirt3/Ndufa13/Ndufb7/Coq9/Cox4i1/Dlat/Idh3a/Cox5a/Cox7a2/Ndufb11/Ndufa1/Pdha1" 83
"5" "black" "BP" "GO:0003341" "cilium movement" "74/2186" "137/14705" 8.98190852178075e-27 9.81902239601072e-24 9.39602177783759e-24 "Dnah7b/Dnah7c/Dnah7a/Spag16/Stk36/Daw1/Cfap221/Nme7/Cfap45/Rsph4a/Armc2/Cfap54/Kif3a/Dnah9/Cfap52/Dnah2/Tekt1/Gas2l2/Ccdc103/Ccdc40/Ttll5/Ak7/Dnah11/Kif27/Nek10/Ift88/Dzip1/Lrrc6/Rabl2/Ccdc65/Tekt5/Efcab1/Spag6l/Tekt4/Tcte1/Nme5/Cfap53/Bbs1/Dpcd/Cfap43/Cfap58/Eno4/Meig1/Enkur/Cfap157/Spef1/Mkks/Ttll9/Pltp/Zbbx/Spag17/Celsr2/Dnali1/Tekt2/Nphp4/Cfap69/Drc1/Ift81/Dnah6/Camsap3/Drc7/Hydin/Dnaaf1/Spata33/Gas8/Jhy/Ttc12/Bbs4/Mns1/Zmynd10/Kif9/Ttc21a/Ulk4/Ttc29" 74
"6" "black" "BP" "GO:0120031" "plasma membrane bounded cell projection assembly" "156/2186" "451/14705" 2.28516450766669e-26 2.08178486648436e-23 1.99210218220979e-23 "Dnah7b/Dnah7c/Dnah7a/Tmem237/Spag16/Stk36/Daw1/Armc9/Traf3ip1/Cfap221/Prdx6/Syne1/Ahi1/Rsph4a/Armc2/Cfap54/Cep83/Cep290/Rab3ip/Limk2/Cobl/Tmem17/Wdpcp/Fam161a/Kif3a/B9d1/Arhgap44/Cfap52/Tmem107/Dnah2/Tekt1/Rilp/Ift20/Hap1/Ccdc103/Foxj1/Ccdc40/Wdr35/Syne2/Atp6v1d/Plek2/Dnal1/Ift43/Ttll5/Ttc8/Ak7/Dcdc2a/Mak/Dbn1/Kif27/Cdc14b/Ift88/Dmtn/Dzip1/Abcc4/Myo10/Lrrc6/Mapk15/Ift27/Cby1/Rabl2/Ccdc65/Tekt5/Emp2/Spag6l/Gmnc/Cep19/Arl6/Tekt4/Wdr90/Rsph1/Rfx2/Dync2li1/Nme5/Cfap53/Rhod/Bbs1/Tmem216/Tmem138/Kank1/Plce1/Tctn3/Arl3/Cfap43/Cfap58/Shtn1/Meig1/Prkcq/Cfap157/Gsn/Bbs5/Ttc30b/Spef1/Mkks/Lama5/Intu/Pfn2/Arhgef26/Ift80/Spag17/Celsr2/Fnbp1l/Odf2l/Ssx2ip/Tmem67/Spata6/Tekt2/Ubxn10/Cfap69/Drc1/Ccdc96/Cc2d2a/Slit2/Wdr19/Kit/Unc119b/Dynll1/Ift81/Tctn2/Ift22/Wasf3/Iqub/Ttc26/Ift122/Dnaaf3/Arhgap35/Cep89/Fuz/Cfap161/Parva/Ccp110/Eps8l2/Cttn/Gpm6a/Zfp423/Rpgrip1l/Drc7/Ccdc113/Hydin/Tmem231/Dnaaf1/Gas8/Dync2h1/Yap1/Cep126/Jhy/Ttc12/Bbs4/Lrrc49/Mns1/Cep162/Dzip1l/Zmynd10/Ulk4/Ccdc13/Rpgr" 156
"11" "black" "BP" "GO:0006119" "oxidative phosphorylation" "63/2186" "126/14705" 1.19607240417343e-20 5.94339251019269e-18 5.687352896017e-18 "Cox5b/Ndufs1/Sdhc/Ndufs2/Chchd10/Atp5d/Ndufs7/Uqcr11/Ndufa12/Atp5b/Uqcr10/Uqcrq/Atp5h/Dld/Uqcrfs1/Uqcrb/Ndufs6/Sdha/Cox7c/Ppif/Dnajc15/Ndufb9/Cyc1/Ndufa6/Atp5j/Atp5o/Ndufb10/Ndufv3/Ndufa11/Ndufv2/Atp5a1/Ndufv1/Fxn/Ndufb8/Ndufa8/Mtch2/Ndufs3/Atp5e/Ndufb5/Ndufc1/Ndufb6/Ndufs5/Atp5k/Cox6a1/Chchd2/Atp5j2/Ndufa5/Ndufb2/Cycs/Ndufa3/Cox7a1/Ndufc2/Coq7/Uqcrc2/Ndufab1/Ndufa13/Ndufb7/Coq9/Cox4i1/Cox5a/Cox7a2/Ndufb11/Ndufa1" 63
"12" "black" "BP" "GO:0006753" "nucleoside phosphate metabolic process" "150/2186" "480/14705" 1.92659488543448e-20 8.77563970315405e-18 8.39758770677537e-18 "Ndufs1/Idh1/Nppc/Nmnat2/Nme7/Atp1b1/Mpc2/Sdhc/Ndufs2/Atp1a2/Rd3/Ak9/Smpdl3a/Hkdc1/Hk1/Atp5d/Ndufs7/Ndufa12/Atp5b/Ogdh/Upp1/Mdh1/Acsl6/Hint1/Guk1/Adora2b/Pdk2/Atp5g1/Nt5c3b/Atp5h/Dld/Mthfd1/Acot1/Entpd5/Esrrb/Ak7/Nudt14/Pfkp/Ndufs6/Sdha/Nnt/Hmgcs1/Pdhb/Tkt/Pnp2/Myh7/Sucla2/Ndufb9/Ndufa6/Ppara/Lrrk2/Pfkm/Adcy6/Adcy5/Zbtb20/Atp6v1a/Atp5j/App/Atp5o/Ndufb10/Jmjd8/Pde9a/Ndufv3/Enpp5/Ndufa11/Nudt12/Ndufv2/Nme5/Me2/Acaa2/Atp5a1/Ndufv1/Arl2/Bad/Prdx5/Ak3/Pank1/Pgam1/Ndufb8/Eno4/Ak8/Ndufa8/Atp5g3/Mtch2/Ndufs3/Dut/Acss2/Fitm2/Atp5e/Ndufb5/Noct/Ndufc1/Pmvk/Slc27a3/Npr1/Dpyd/Pde5a/Ndufb6/Npr2/Acnat1/Prkaa2/Acot11/Ndufs5/Gale/Eno1/Ppargc1a/Atp5k/Acacb/Atp5j2/Pdk4/Slc25a13/Ndufa5/Ndufb2/Suclg1/Aldh1l1/Eno2/Tpi1/Gapdh/Ldhb/Ndufa3/Gpi1/Mcee/Ndufc2/Ndufab1/Aldoa/Acadsb/Ndufa13/Ndufb7/Nqo1/Ldhd/Nudt7/Atp5l/Dlat/Fdx1/Pkm/Rora/Me1/Nt5e/Nme9/Entpd3/Nudt11/Ndufb11/Ndufa1/Hprt/Pdk3/Pgk1/Pdha1/Acot5/Them5/Uox" 150
"15" "black" "BP" "GO:0019693" "ribose phosphate metabolic process" "127/2186" "383/14705" 7.5452438356759e-20 2.72894278258738e-17 2.61138072422376e-17 "Ndufs1/Nppc/Nme7/Atp1b1/Mpc2/Sdhc/Ndufs2/Atp1a2/Ak9/Hkdc1/Hk1/Atp5d/Ndufs7/Ndufa12/Atp5b/Ogdh/Upp1/Acsl6/Hint1/Guk1/Pdk2/Atp5g1/Atp5h/Dld/Mthfd1/Acot1/Entpd5/Esrrb/Nudt14/Pfkp/Ndufs6/Sdha/Hmgcs1/Pdhb/Tkt/Myh7/Sucla2/Ndufb9/Ndufa6/Ppara/Lrrk2/Pfkm/Adcy6/Adcy5/Zbtb20/Atp6v1a/Atp5j/App/Atp5o/Ndufb10/Jmjd8/Pde9a/Ndufv3/Ndufa11/Ndufv2/Nme5/Acaa2/Atp5a1/Ndufv1/Arl2/Bad/Ak3/Pank1/Pgam1/Ndufb8/Eno4/Ndufa8/Atp5g3/Mtch2/Ndufs3/Acss2/Fitm2/Atp5e/Ndufb5/Ndufc1/Pmvk/Slc27a3/Npr1/Dpyd/Pde5a/Ndufb6/Npr2/Acnat1/Prkaa2/Acot11/Ndufs5/Gale/Eno1/Ppargc1a/Atp5k/Acacb/Atp5j2/Pdk4/Slc25a13/Ndufa5/Ndufb2/Suclg1/Eno2/Tpi1/Gapdh/Ndufa3/Gpi1/Mcee/Ndufc2/Ndufab1/Aldoa/Acadsb/Ndufa13/Ndufb7/Ldhd/Nudt7/Atp5l/Dlat/Pkm/Rora/Nt5e/Nme9/Nudt11/Ndufb11/Ndufa1/Hprt/Pdk3/Pgk1/Pdha1/Acot5/Them5/Uox" 127
"16" "black" "BP" "GO:0015986" "proton motive force-driven ATP synthesis" "42/2186" "65/14705" 7.98812376900808e-20 2.72894278258738e-17 2.61138072422376e-17 "Ndufs1/Sdhc/Ndufs2/Atp5d/Ndufs7/Ndufa12/Atp5b/Atp5g1/Atp5h/Ndufs6/Sdha/Ndufb9/Ndufa6/Atp5j/Atp5o/Ndufb10/Ndufv3/Ndufa11/Ndufv2/Atp5a1/Ndufv1/Ndufb8/Ndufa8/Atp5g3/Ndufs3/Atp5e/Ndufb5/Ndufc1/Ndufb6/Ndufs5/Atp5k/Atp5j2/Ndufa5/Ndufb2/Ndufa3/Ndufc2/Ndufab1/Ndufa13/Ndufb7/Atp5l/Ndufb11/Ndufa1" 42
