"Cluster" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"1" "black" "mmu00190" "Oxidative phosphorylation - Mus musculus (house mouse)" "71/920" "120/6190" 1.44494518993361e-29 4.79721803057959e-27 4.22836592422678e-27 "108664/12859/227197/66052/226646/67895/66043/75406/66594/66414/11947/66152/22272/69802/11951/71679/73834/66694/67530/407785/66945/12867/12864/66218/66445/67130/11964/11957/28080/68342/11974/78330/69875/72900/11946/17995/12868/67264/68375/228033/68349/67126/66046/66377/74776/230075/595136/11958/12861/57423/17992/68202/68198/13063/11973/66091/333182/12865/68197/67003/70316/12869/67184/66916/12857/27425/12858/12866/104130/54405/66142" 71
"2" "black" "mmu05415" "Diabetic cardiomyopathy - Mus musculus (house mouse)" "83/920" "195/6190" 1.79185681250933e-21 2.97448230876549e-19 2.62176944146102e-19 "12859/227197/16367/19701/70456/66052/226646/21808/66043/75406/66594/66414/11947/66152/14584/22333/22272/18604/11951/11421/71679/66694/67530/407785/66945/12867/68263/105675/12864/66218/66445/67130/19013/12895/11957/28080/68342/78330/69875/72900/11946/17995/12868/67264/68375/228033/68349/67126/66046/66377/230075/12896/18710/595136/18762/12861/12843/27273/17992/68202/68198/14433/66091/333182/11652/12865/14936/68197/67003/70316/12869/16334/11739/67184/66916/12857/12858/12866/104130/54405/236900/66142/18597" 83
"3" "black" "mmu04714" "Thermogenesis - Mus musculus (house mouse)" "82/920" "209/6190" 1.47466726611507e-18 1.63196510783401e-16 1.43844736835084e-16 "12859/227197/66052/226646/66359/66043/75406/66594/66414/11947/66152/22272/216739/69802/11951/71679/66694/67530/407785/66945/12867/12864/66218/66445/67130/12895/11512/66379/224129/11957/28080/20112/68342/78330/69875/72900/11946/12894/17995/12868/67264/68375/228033/68349/69487/67126/66046/66377/18160/76947/230075/108079/12896/595136/19017/11958/12861/57423/17992/68202/68198/66091/333182/12865/78070/68197/67003/70316/12869/14182/11556/67184/66916/12857/27425/12858/12866/57279/104130/54405/66142/67071" 82
"4" "black" "mmu05208" "Chemical carcinogenesis - reactive oxygen species - Mus musculus (house mouse)" "80/920" "206/6190" 8.21660699566531e-18 6.8197838064022e-16 6.01109669682883e-16 "14859/12859/227197/66052/226646/13849/103140/14871/66043/75406/66594/66414/11947/66152/22333/22272/11951/71679/66694/67530/407785/66945/12867/105675/13850/12864/66218/66445/67130/11957/20655/28080/20656/68342/78330/69875/72900/11946/17995/12015/12868/67264/68375/228033/68349/67126/66046/66377/14866/14862/14863/230075/18710/595136/384214/12861/19247/17992/68202/68198/56615/66091/333182/11652/12865/68197/67003/70316/12869/11739/67184/66916/18104/12857/12858/14860/12866/104130/54405/66142" 80
"5" "black" "mmu04932" "Non-alcoholic fatty liver disease - Mus musculus (house mouse)" "59/920" "145/6190" 1.77945731068142e-14 1.18155965429246e-12 1.04145080498828e-12 "12859/227197/16367/66052/226646/75406/66594/66414/66152/22272/20787/66694/67530/407785/66945/12867/12864/66218/66445/67130/19013/68342/78330/69875/72900/17995/12868/67264/68375/68349/66046/66377/230075/16847/108079/18710/595136/12861/17992/68202/68198/13063/66091/333182/11652/12865/68197/67003/70316/12869/16334/67184/66916/12857/12858/12866/104130/54405/66142" 59
"6" "black" "mmu01200" "Carbon metabolism - Mus musculus (house mouse)" "46/920" "100/6190" 6.83836754208222e-14 3.78389670661883e-12 3.33520381876992e-12 "15926/66052/14194/216019/15275/18293/17449/11430/13382/104776/78920/56421/66945/68263/21881/239017/20916/110821/11429/18642/107029/18563/104174/18648/14718/226265/60525/13806/257635/17448/56451/13807/21991/14433/14751/73724/109264/11674/76615/14719/235339/67834/18746/17436/18655/18597" 46
"7" "black" "mmu05012" "Parkinson disease - Mus musculus (house mouse)" "78/920" "245/6190" 5.69288448023119e-12 2.70005378205251e-10 2.37988253459289e-10 "12859/227197/22145/66052/226646/66043/75406/66594/66414/11947/66152/22333/22272/11951/19184/71679/66694/67530/407785/66945/12867/105675/12864/66218/66445/72027/67130/66725/224129/11957/20655/28080/68342/78330/69875/72900/11946/17995/12868/67264/277468/227613/68375/228033/68349/68427/67126/66046/66377/230075/595136/170731/12861/17992/68202/68198/13063/16438/66091/333182/12315/12865/68197/67003/70316/12869/11739/110877/67184/66916/12857/12858/75600/12866/109731/104130/54405/66142" 78
"8" "black" "mmu05016" "Huntington disease - Mus musculus (house mouse)" "84/920" "279/6190" 2.30623161675649e-11 9.57086120953944e-10 8.43595249287243e-10 "12859/227058/100101919/627872/227197/22145/66052/226646/66043/75406/66594/66414/11947/66152/22333/22272/237806/327954/11951/15114/19184/71679/105000/13411/66694/67530/407785/66945/12867/69590/105675/12864/66218/66445/67130/11957/20655/28080/20656/68342/78330/69875/72900/11946/17995/12868/67264/227613/68375/228033/68349/67126/66046/66377/230075/53598/67305/595136/75563/19017/12861/17992/68202/68198/13063/330355/16438/66091/333182/12865/68197/67003/70316/12869/66491/11739/67184/66916/12857/12858/12866/104130/54405/66142" 84
"9" "black" "mmu00620" "Pyruvate metabolism - Mus musculus (house mouse)" "22/920" "37/6190" 4.87826956270831e-10 1.79953943868795e-08 1.58615080518469e-08 "14194/17449/75572/13382/66204/68263/109801/110695/107029/18563/60525/76238/100705/11669/17448/16832/109264/52815/235339/18746/17436/18597" 22
"10" "black" "mmu05020" "Prion disease - Mus musculus (house mouse)" "73/920" "245/6190" 8.62088769798226e-10 2.86213471573011e-08 2.52274397898849e-08 "12859/227197/22145/66052/226646/66043/75406/66594/66414/11947/66152/22333/22272/11951/19184/71679/66694/67530/407785/66945/12867/105675/12864/66218/66445/67130/11957/20655/28080/68342/78330/69875/72900/11946/17995/12015/12868/67264/227613/15139/68375/228033/68349/19122/67126/66046/66377/230075/18710/595136/12861/17992/68202/68198/13063/16438/12391/66091/333182/12865/68197/67003/70316/12869/11739/67184/66916/12857/12858/12866/104130/54405/66142" 73
