"Cluster" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"1" "black" "R-MMU-1428517" "The citric acid (TCA) cycle and respiratory electron transport" "89/979" "156/6837" 2.20513419857042e-36 1.89862054496913e-33 1.81517362450744e-33 "Adhfe1/Ndufs1/Pm20d1/Sdhc/Ndufs2/Fh1/Cox20/Atp5d/Ndufs7/Uqcr11/Ndufa12/Atp5b/Uqcr10/Ogdh/Vdac1/Uqcrq/Cox11/Pdk2/Atp5g1/Atp5h/Dld/L2hgdh/Dlst/Uqcrfs1/Ndufs6/Sdha/Cox7c/Pdhb/Sucla2/Ndufb9/Cyc1/Aco2/Ndufa6/Cox14/Atp5j/Atp5o/Ndufb10/Fahd1/Glo1/Ndufv3/Ndufv2/Me2/Atp5a1/Ndufv1/Cox8a/Ndufb8/Ndufa8/Atp5g3/Ndufs3/Ndufaf5/Atp5e/Ndufb5/Ndufc1/Etfdh/Ndufaf6/Ndufb6/Ndufs5/Atp5k/Cox6a1/Mdh2/Atp5j2/Pdk4/Ndufa4/Ndufa5/Ndufb2/Cycs/Suclg1/Ldhb/Ndufa3/Etfb/Me3/Ndufc2/Uqcrc2/Ndufab1/Ndufa13/Ndufb7/Cox4i1/Atp5l/Dlat/Idh3a/Etfa/Cox5a/Me1/Ndufb11/Ndufa1/Slc25a14/Pdk3/Cox7b/Pdha1" 89
"2" "black" "R-MMU-163200" "Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins." "63/979" "112/6837" 1.69019704838819e-25 7.27629829331114e-23 6.95649522020822e-23 "Ndufs1/Pm20d1/Ndufs2/Cox20/Atp5d/Ndufs7/Uqcr11/Ndufa12/Atp5b/Uqcr10/Uqcrq/Cox11/Atp5g1/Atp5h/Uqcrfs1/Ndufs6/Cox7c/Ndufb9/Cyc1/Ndufa6/Cox14/Atp5j/Atp5o/Ndufb10/Ndufv3/Ndufv2/Atp5a1/Ndufv1/Cox8a/Ndufb8/Ndufa8/Atp5g3/Ndufs3/Ndufaf5/Atp5e/Ndufb5/Ndufc1/Etfdh/Ndufaf6/Ndufb6/Ndufs5/Atp5k/Cox6a1/Atp5j2/Ndufa4/Ndufa5/Ndufb2/Cycs/Ndufa3/Etfb/Ndufc2/Uqcrc2/Ndufab1/Ndufa13/Ndufb7/Cox4i1/Atp5l/Etfa/Cox5a/Ndufb11/Ndufa1/Slc25a14/Cox7b" 63
"3" "black" "R-MMU-611105" "Respiratory electron transport" "49/979" "92/6837" 1.03919917130614e-18 2.98250162164862e-16 2.85141667354878e-16 "Ndufs1/Ndufs2/Cox20/Ndufs7/Uqcr11/Ndufa12/Uqcr10/Uqcrq/Cox11/Uqcrfs1/Ndufs6/Cox7c/Ndufb9/Cyc1/Ndufa6/Cox14/Ndufb10/Ndufv3/Ndufv2/Ndufv1/Cox8a/Ndufb8/Ndufa8/Ndufs3/Ndufaf5/Ndufb5/Ndufc1/Etfdh/Ndufaf6/Ndufb6/Ndufs5/Cox6a1/Ndufa4/Ndufa5/Ndufb2/Cycs/Ndufa3/Etfb/Ndufc2/Uqcrc2/Ndufab1/Ndufa13/Ndufb7/Cox4i1/Etfa/Cox5a/Ndufb11/Ndufa1/Cox7b" 49
"4" "black" "R-MMU-71406" "Pyruvate metabolism and Citric Acid (TCA) cycle" "26/979" "44/6837" 6.47529890142255e-12 1.3938080885312e-09 1.33254835287169e-09 "Adhfe1/Sdhc/Fh1/Ogdh/Vdac1/Pdk2/Dld/L2hgdh/Dlst/Sdha/Pdhb/Sucla2/Aco2/Fahd1/Glo1/Me2/Mdh2/Pdk4/Suclg1/Ldhb/Me3/Dlat/Idh3a/Me1/Pdk3/Pdha1" 26
"5" "black" "R-MMU-6799198" "Complex I biogenesis" "29/979" "54/6837" 1.04568085246894e-11 1.80066242795152e-09 1.72152089816993e-09 "Ndufs1/Ndufs2/Ndufs7/Ndufa12/Ndufs6/Ndufb9/Ndufa6/Ndufb10/Ndufv3/Ndufv2/Ndufv1/Ndufb8/Ndufa8/Ndufs3/Ndufaf5/Ndufb5/Ndufc1/Ndufaf6/Ndufb6/Ndufs5/Ndufa5/Ndufb2/Ndufa3/Ndufc2/Ndufab1/Ndufa13/Ndufb7/Ndufb11/Ndufa1" 29
"6" "black" "R-MMU-1852241" "Organelle biogenesis and maintenance" "62/979" "188/6837" 4.11998003017238e-11 5.91217134329737e-09 5.65232347999088e-09 "Tuba4a/Pde6d/Traf3ip1/Atp5d/Cep83/Cep290/Rab3ip/Atp5b/Kif3a/B9d1/Ift20/Atp5g1/Atp5h/Wdr35/Ift43/Ttc8/Ift88/Ift27/Arl6/Atp5j/Atp5o/Sod2/Dync2li1/Atp5a1/Bbs1/Tmem216/Tctn3/Arl3/Tubb4b/Bbs5/Atp5g3/Ttc30b/Nphp1/Acss2/Atp5e/Ift80/Tmem67/Dctn3/Nphp4/Cc2d2a/Wdr19/Atp5k/Unc119b/Dynll1/Ift81/Tctn2/Ift22/Atp5j2/Exoc4/Ttc26/Cycs/Ift122/Cep89/Ccp110/Sirt3/Rpgrip1l/Dynlrb2/Dync2h1/Atp5l/Bbs4/Cep162/Cetn2" 62
"7" "black" "R-MMU-1592230" "Mitochondrial biogenesis" "16/979" "25/6837" 1.59503449472858e-08 1.96189242851616e-06 1.87566462387632e-06 "Atp5d/Atp5b/Atp5g1/Atp5h/Atp5j/Atp5o/Sod2/Atp5a1/Atp5g3/Acss2/Atp5e/Atp5k/Atp5j2/Cycs/Sirt3/Atp5l" 16
"8" "black" "R-MMU-163210" "Formation of ATP by chemiosmotic coupling" "12/979" "15/6837" 2.09579188566637e-08 2.00497423728749e-06 1.91685292934632e-06 "Atp5d/Atp5b/Atp5g1/Atp5h/Atp5j/Atp5o/Atp5a1/Atp5g3/Atp5e/Atp5k/Atp5j2/Atp5l" 12
"9" "black" "R-MMU-8949613" "Cristae formation" "12/979" "15/6837" 2.09579188566637e-08 2.00497423728749e-06 1.91685292934632e-06 "Atp5d/Atp5b/Atp5g1/Atp5h/Atp5j/Atp5o/Atp5a1/Atp5g3/Atp5e/Atp5k/Atp5j2/Atp5l" 12
"10" "black" "R-MMU-71403" "Citric acid cycle (TCA cycle)" "14/979" "21/6837" 6.08101889634787e-08 5.23575726975551e-06 5.00563871257267e-06 "Sdhc/Fh1/Ogdh/Dld/Dlst/Sdha/Sucla2/Aco2/Fahd1/Me2/Mdh2/Suclg1/Me3/Idh3a" 14
