Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Rp1	Rp1	chr1	-	4290846	4409266	0.000000	0.000000	0.000000
Gm38717	Gm38717	chr1	-	4115673	4243365	0.303807	0.014098	0.036208
Xkr4	Xkr4	chr1	-	3199733	3672278	0.012106	0.004258	0.010937
Gm39585	Gm39585	chr1	+	3361552	3377812	0.165685	0.006791	0.017442
LOC108167609	LOC108167609	chr1	-	4583127	4608781	0.000000	0.000000	0.000000
Gm39586	Gm39586	chr1	+	4595057	4602832	0.000000	0.000000	0.000000
LOC108167610	LOC108167610	chr1	-	4603255	4606521	1.646035	0.067467	0.173278
Gm29874	Gm29874	chr1	+	4608937	4617805	0.000000	0.000000	0.000000
Sox17	Sox17	chr1	-	4490928	4497386	67.484352	4.439695	11.402615
Mrpl15	Mrpl15	chr1	-	4773198	4785749	74.042038	5.791966	14.875694
Lypla1	Lypla1	chr1	+	4807560	4846739	785.454163	36.752537	94.392738
Rgs20	Rgs20	chr1	-	4909573	5070308	3.072048	0.260859	0.669973
Gm16041	Gm16041	chr1	+	4968430	4977005	0.000000	0.000000	0.000000
Tcea1	Tcea1	chr1	+	4857694	4897909	172.822556	31.349304	80.515442
Oprk1	Oprk1	chr1	+	5588450	5606134	0.138076	0.005712	0.014671
Atp6v1h	Atp6v1h	chr1	+	5082978	5163213	139.183319	27.148972	69.727592
St18	St18	chr1	+	6487231	6860940	2.153588	0.293224	0.753097
4732440D04Rik	4732440D04Rik	chr1	-	6209863	6216612	10.989068	0.450415	1.156816
Rb1cc1	Rb1cc1	chr1	+	6214662	6276374	190.177200	8.349061	21.443165
Gm26901	Gm26901	chr1	-	7314638	7398666	0.252023	0.076584	0.196692
Pcmtd1	Pcmtd1	chr1	+	7088892	7173628	243.933090	10.931047	28.074568
Rrs1	Rrs1	chr1	+	9545408	9547455	222.038574	9.100825	23.373945
Mybl1	Mybl1	chr1	-	9667407	9700439	0.202955	0.009873	0.025357
Adhfe1	Adhfe1	chr1	+	9547935	9577968	31.646982	1.436759	3.690076
2610203C22Rik	2610203C22Rik	chr1	-	9560832	9631092	393.201263	16.116369	41.392197
3110035E14Rik	3110035E14Rik	chr1	+	9601267	9627142	10.474427	0.429321	1.102640
Vcpip1	Vcpip1	chr1	-	9718622	9748382	172.050339	7.051928	18.111696
1700034P13Rik	1700034P13Rik	chr1	+	9747648	9771256	3.542968	0.145218	0.372967
Tcf24	Tcf24	chr1	-	9960163	9968207	3.550420	0.149135	0.383027
Ppp1r42	Ppp1r42	chr1	-	9968622	10013541	2.621103	0.444372	1.141296
Sgk3	Sgk3	chr1	+	9798130	9902570	106.874458	17.981678	46.182930
Mcmdc2	Mcmdc2	chr1	+	9906157	9942166	0.250620	0.010837	0.027833
