Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Gm38717	Gm38717	chr1	-	4115673	4243365	1.324161	0.068106	0.175646
Rp1	Rp1	chr1	-	4290846	4409266	0.290768	0.021699	0.055963
Xkr4	Xkr4	chr1	-	3199733	3672278	0.039141	0.014812	0.038200
Gm39585	Gm39585	chr1	+	3361552	3377812	0.317504	0.014000	0.036107
Sox17	Sox17	chr1	-	4490928	4497386	113.197433	7.675932	19.796299
Mrpl15	Mrpl15	chr1	-	4773198	4785749	73.668678	5.982085	15.427851
Rgs20	Rgs20	chr1	-	4909573	5070308	3.491603	0.325004	0.838188
Gm16041	Gm16041	chr1	+	4968430	4977005	0.000000	0.000000	0.000000
Atp6v1h	Atp6v1h	chr1	+	5082978	5163213	127.590202	26.044703	67.169525
Lypla1	Lypla1	chr1	+	4807560	4846739	619.567444	31.216251	80.506989
Gm39587	Gm39587	chr1	+	4846846	4848409	0.000000	0.000000	0.000000
Tcea1	Tcea1	chr1	+	4857694	4897909	154.048508	30.093168	77.610542
St18	St18	chr1	+	6487231	6860940	0.999136	0.144156	0.371779
4732440D04Rik	4732440D04Rik	chr1	-	6209863	6216612	6.430063	0.283530	0.731226
Rb1cc1	Rb1cc1	chr1	+	6214662	6276374	163.757446	7.734347	19.946951
Gm26901	Gm26901	chr1	-	7314638	7398666	0.160303	0.007421	0.019139
Rrs1	Rrs1	chr1	+	9545408	9547455	239.732895	10.570879	27.262390
Pcmtd1	Pcmtd1	chr1	+	7088892	7173628	262.029297	12.520037	32.289284
Sntg1	Sntg1	chr1	-	8359739	9301066	0.225701	0.014417	0.037181
Mybl1	Mybl1	chr1	-	9667407	9700439	0.167361	0.008758	0.022588
Adhfe1	Adhfe1	chr1	+	9547935	9577968	13.197917	0.648533	1.672573
2610203C22Rik	2610203C22Rik	chr1	-	9560832	9631092	401.535126	17.705452	45.662518
3110035E14Rik	3110035E14Rik	chr1	+	9601267	9627142	11.231252	0.495235	1.277216
Gm39590	Gm39590	chr1	+	9775558	9791319	0.000000	0.000000	0.000000
Vcpip1	Vcpip1	chr1	-	9718622	9748382	179.724289	7.924835	20.438221
1700034P13Rik	1700034P13Rik	chr1	+	9747648	9771256	3.208735	0.141487	0.364897
Tcf24	Tcf24	chr1	-	9960163	9968207	1.707983	0.076632	0.197634
Mcmdc2	Mcmdc2	chr1	+	9906157	9942166	0.267630	0.012450	0.032108
Snhg6	Snhg6	chr1	-	9942025	9944118	52.080170	2.296444	5.922549
Snord87	Snord87	chr1	-	9942470	9942543	6.378378	0.281251	0.725348
Sgk3	Sgk3	chr1	+	9798130	9902570	60.886932	10.965785	28.280857
Sulf1	Sulf1	chr1	+	12692262	12861192	0.687629	0.094456	0.243602
Cops5	Cops5	chr1	-	10024600	10038159	360.879364	16.037857	41.361778
Cspp1	Cspp1	chr1	+	10038118	10136771	22.617046	2.951996	7.613225
Arfgef1	Arfgef1	chr1	-	10137507	10232670	37.763702	1.665168	4.294483
Slco5a1	Slco5a1	chr1	-	12866549	12993063	0.236025	0.011380	0.029350
Prex2	Prex2	chr1	+	10993272	11303683	7.608018	0.393356	1.014469
A830018L16Rik	A830018L16Rik	chr1	+	11413563	11975902	0.396779	0.040618	0.104753
Gm39595	Gm39595	chr1	-	13392554	13422408	0.000000	0.000000	0.000000
Ncoa2	Ncoa2	chr1	-	13139105	13374083	70.569946	5.374401	13.860629
LOC105243866	LOC105243866	chr1	+	14756151	14780974	0.000000	0.000000	0.000000
Eya1	Eya1	chr1	-	14168953	14310267	2.076431	0.103909	0.267982
Kcnb2	Kcnb2	chr1	+	15287157	15723751	0.350472	0.023891	0.061614
Lactb2	Lactb2	chr1	-	13625898	13660605	418.428741	19.401793	50.037399
Xkr9	Xkr9	chr1	+	13668738	13702230	3.112895	0.307684	0.793521
Sbspon	Sbspon	chr1	-	15853862	15892722	13.578966	0.598756	1.544198
4930444P10Rik	4930444P10Rik	chr1	-	16065974	16093344	0.360278	0.016093	0.041504
Terf1	Terf1	chr1	+	15804982	15844052	116.154762	7.466660	19.256584
Tram1	Tram1	chr1	-	13564693	13589910	4749.479980	209.425476	540.110168
Stau2	Stau2	chr1	-	16228803	16520182	15.658761	3.509177	9.050200
LOC102634042	LOC102634042	chr1	+	16253587	16263525	0.000000	0.000000	0.000000
Rpl7	Rpl7	chr1	-	16101295	16104433	2994.709961	132.049942	340.557983
