Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Xkr4	Xkr4	chr1	-	3199733	3672278	0.055714	0.023555	0.058909
Gm39585	Gm39585	chr1	+	3361552	3377812	0.260243	0.012820	0.032063
LOC108167609	LOC108167609	chr1	-	4583127	4608781	0.000000	0.000000	0.000000
Gm39586	Gm39586	chr1	+	4595057	4602832	0.000000	0.000000	0.000000
LOC108167610	LOC108167610	chr1	-	4603255	4606521	0.000000	0.000000	0.000000
Sox17	Sox17	chr1	-	4490928	4497386	24.861456	2.017400	5.045288
Mrpl15	Mrpl15	chr1	-	4773198	4785749	67.983665	6.187348	15.473856
Rgs20	Rgs20	chr1	-	4909573	5070308	4.342633	0.467530	1.169239
Gm16041	Gm16041	chr1	+	4968430	4977005	0.000000	0.000000	0.000000
Lypla1	Lypla1	chr1	+	4807560	4846739	583.552734	32.867058	82.196785
Gm39587	Gm39587	chr1	+	4846846	4848409	0.970779	0.047824	0.119602
Tcea1	Tcea1	chr1	+	4857694	4897909	146.969254	32.043312	80.136688
Atp6v1h	Atp6v1h	chr1	+	5082978	5163213	105.351631	23.622461	59.077095
St18	St18	chr1	+	6487231	6860940	0.514739	0.084595	0.211562
4732440D04Rik	4732440D04Rik	chr1	-	6209863	6216612	2.012508	0.099143	0.247946
Rb1cc1	Rb1cc1	chr1	+	6214662	6276374	155.871353	8.194881	20.494471
Gm26901	Gm26901	chr1	-	7314638	7398666	0.081033	0.004191	0.010482
Pcmtd1	Pcmtd1	chr1	+	7088892	7173628	201.846542	10.766142	26.924900
Mybl1	Mybl1	chr1	-	9667407	9700439	0.135124	0.007900	0.019758
Rrs1	Rrs1	chr1	+	9545408	9547455	173.624512	8.553350	21.390961
Adhfe1	Adhfe1	chr1	+	9547935	9577968	12.782873	0.709612	1.774660
2610203C22Rik	2610203C22Rik	chr1	-	9560832	9631092	384.250488	18.929523	47.340591
3110035E14Rik	3110035E14Rik	chr1	+	9601267	9627142	8.370255	0.412348	1.031236
Gm39590	Gm39590	chr1	+	9775558	9791319	0.153865	0.034393	0.086013
Vcpip1	Vcpip1	chr1	-	9718622	9748382	186.602875	9.192711	22.989925
1700034P13Rik	1700034P13Rik	chr1	+	9747648	9771256	1.268690	0.062500	0.156306
Tcf24	Tcf24	chr1	-	9960163	9968207	1.280345	0.063074	0.157742
Mcmdc2	Mcmdc2	chr1	+	9906157	9942166	0.271889	0.014131	0.035339
Snhg6	Snhg6	chr1	-	9942025	9944118	73.434311	3.617631	9.047285
Snord87	Snord87	chr1	-	9942470	9942543	7.743243	0.381459	0.953986
Sgk3	Sgk3	chr1	+	9798130	9902570	77.197037	15.477803	38.708233
Cops5	Cops5	chr1	-	10024600	10038159	311.635742	15.519327	38.812073
Cspp1	Cspp1	chr1	+	10038118	10136771	18.599503	2.720738	6.804257
Arfgef1	Arfgef1	chr1	-	10137507	10232670	60.599403	2.985338	7.465993
Prex2	Prex2	chr1	+	10993272	11303683	1.623992	0.092147	0.230450
Sulf1	Sulf1	chr1	+	12692262	12861192	0.000000	0.000000	0.000000
A830018L16Rik	A830018L16Rik	chr1	+	11413563	11975902	0.338230	0.034618	0.086576
