Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Xkr4	Xkr4	chr1	-	3199733	3672278	0.006317	0.013205	0.030157
Gm39585	Gm39585	chr1	+	3361552	3377812	0.372340	0.019973	0.045614
Sox17	Sox17	chr1	-	4490928	4497386	36.429527	3.113124	7.109615
Mrpl15	Mrpl15	chr1	-	4773198	4785749	66.816338	6.964017	15.904116
Rgs20	Rgs20	chr1	-	4909573	5070308	1.068527	0.119021	0.271816
Gm16041	Gm16041	chr1	+	4968430	4977005	0.000000	0.000000	0.000000
Lypla1	Lypla1	chr1	+	4807560	4846739	486.275818	29.818911	68.099106
Gm39587	Gm39587	chr1	+	4846846	4848409	0.993506	0.053294	0.121711
Tcea1	Tcea1	chr1	+	4857694	4897909	133.967834	31.818993	72.666809
Atp6v1h	Atp6v1h	chr1	+	5082978	5163213	106.450066	28.420866	64.906319
St18	St18	chr1	+	6487231	6860940	0.000000	0.000000	0.000000
4732440D04Rik	4732440D04Rik	chr1	-	6209863	6216612	3.145859	0.168752	0.385389
Rb1cc1	Rb1cc1	chr1	+	6214662	6276374	189.066620	10.848947	24.776344
Gm26901	Gm26901	chr1	-	7314638	7398666	0.112368	0.006328	0.014453
Rrs1	Rrs1	chr1	+	9545408	9547455	133.021973	7.135645	16.296072
Pcmtd1	Pcmtd1	chr1	+	7088892	7173628	199.991714	11.649759	26.605207
Sntg1	Sntg1	chr1	-	8359739	9301066	0.000000	0.000000	0.000000
Mybl1	Mybl1	chr1	-	9667407	9700439	0.448220	0.028536	0.065169
Adhfe1	Adhfe1	chr1	+	9547935	9577968	13.679587	0.913075	2.085239
2610203C22Rik	2610203C22Rik	chr1	-	9560832	9631092	445.190247	23.881163	54.538746
3110035E14Rik	3110035E14Rik	chr1	+	9601267	9627142	4.580483	0.245709	0.561139
Vcpip1	Vcpip1	chr1	-	9718622	9748382	126.343803	6.777411	15.477950
1700034P13Rik	1700034P13Rik	chr1	+	9747648	9771256	1.930524	0.103558	0.236502
Tcf24	Tcf24	chr1	-	9960163	9968207	1.855742	0.099547	0.227341
Mcmdc2	Mcmdc2	chr1	+	9906157	9942166	0.275104	0.015569	0.035555
Snhg6	Snhg6	chr1	-	9942025	9944118	55.606701	2.982888	6.812188
Snord87	Snord87	chr1	-	9942470	9942543	17.121622	0.918448	2.097512
Ppp1r42	Ppp1r42	chr1	-	9968622	10013541	0.074609	0.004924	0.011245
Sgk3	Sgk3	chr1	+	9798130	9902570	83.630577	18.287691	41.764626
Cops5	Cops5	chr1	-	10024600	10038159	301.280579	16.286997	37.195522
Cspp1	Cspp1	chr1	+	10038118	10136771	18.673382	2.962263	6.765086
Arfgef1	Arfgef1	chr1	-	10137507	10232670	40.441921	2.169410	4.954402
Prex2	Prex2	chr1	+	10993272	11303683	2.211812	0.136657	0.312091
A830018L16Rik	A830018L16Rik	chr1	+	11413563	11975902	0.025708	0.002865	0.006543
Ncoa2	Ncoa2	chr1	-	13139105	13374083	27.333670	2.494480	5.696784
Msc	Msc	chr1	-	14753344	14756089	1.460804	0.088758	0.202701
Lactb2	Lactb2	chr1	-	13625898	13660605	481.590363	27.163696	62.035252
Xkr9	Xkr9	chr1	+	13668738	13702230	0.747222	0.089850	0.205195
Eya1	Eya1	chr1	-	14168953	14310267	0.536971	0.032600	0.074450
Kcnb2	Kcnb2	chr1	+	15287157	15723751	0.000000	0.000000	0.000000
