Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Gm38717	Gm38717	chr1	-	4115673	4243365	0.203920	0.012271	0.031869
Xkr4	Xkr4	chr1	-	3199733	3672278	0.000000	0.000000	0.000000
Gm39585	Gm39585	chr1	+	3361552	3377812	0.059619	0.003273	0.008499
Rp1	Rp1	chr1	-	4290846	4409266	0.032787	0.002778	0.007215
Sox17	Sox17	chr1	-	4490928	4497386	54.779591	4.650967	12.079056
Gm29874	Gm29874	chr1	+	4608937	4617805	0.236620	0.014802	0.038442
Mrpl15	Mrpl15	chr1	-	4773198	4785749	61.505753	6.607791	17.161139
Lypla1	Lypla1	chr1	+	4807560	4846739	575.489502	36.099545	93.754364
Gm39587	Gm39587	chr1	+	4846846	4848409	0.451299	0.024772	0.064336
Rgs20	Rgs20	chr1	-	4909573	5070308	2.051463	0.240828	0.625455
Gm16041	Gm16041	chr1	+	4968430	4977005	0.000000	0.000000	0.000000
Tcea1	Tcea1	chr1	+	4857694	4897909	134.021423	32.555920	84.551201
Atp6v1h	Atp6v1h	chr1	+	5082978	5163213	90.677299	22.271862	57.842403
St18	St18	chr1	+	6487231	6860940	0.251423	0.038937	0.101122
4732440D04Rik	4732440D04Rik	chr1	-	6209863	6216612	4.152575	0.227937	0.591978
Rb1cc1	Rb1cc1	chr1	+	6214662	6276374	145.249603	8.535055	22.166451
Gm26901	Gm26901	chr1	-	7314638	7398666	0.105520	0.006081	0.015793
Pcmtd1	Pcmtd1	chr1	+	7088892	7173628	195.446838	11.926470	30.974314
Sntg1	Sntg1	chr1	-	8359739	9301066	0.167074	0.013764	0.035748
Rrs1	Rrs1	chr1	+	9545408	9547455	170.401367	9.353434	24.291864
Mybl1	Mybl1	chr1	-	9667407	9700439	0.000000	0.000000	0.000000
Adhfe1	Adhfe1	chr1	+	9547935	9577968	8.943285	0.585869	1.521564
2610203C22Rik	2610203C22Rik	chr1	-	9560832	9631092	362.156006	19.878962	51.627785
3110035E14Rik	3110035E14Rik	chr1	+	9601267	9627142	6.808911	0.373745	0.970656
Gm39590	Gm39590	chr1	+	9775558	9791319	0.000000	0.000000	0.000000
Vcpip1	Vcpip1	chr1	-	9718622	9748382	152.819473	8.388352	21.785448
1700034P13Rik	1700034P13Rik	chr1	+	9747648	9771256	2.491266	0.136747	0.355147
Tcf24	Tcf24	chr1	-	9960163	9968207	1.340336	0.073572	0.191074
Mcmdc2	Mcmdc2	chr1	+	9906157	9942166	0.374465	0.021685	0.056318
Snhg6	Snhg6	chr1	-	9942025	9944118	48.294247	2.650900	6.884671
Snord87	Snord87	chr1	-	9942470	9942543	4.797297	0.263327	0.683887
Ppp1r42	Ppp1r42	chr1	-	9968622	10013541	0.089312	0.006351	0.016493
Sgk3	Sgk3	chr1	+	9798130	9902570	69.985023	15.659300	40.668873
Cops5	Cops5	chr1	-	10024600	10038159	261.080536	14.475792	37.595177
Cspp1	Cspp1	chr1	+	10038118	10136771	20.553293	3.342617	8.681131
Arfgef1	Arfgef1	chr1	-	10137507	10232670	36.277905	1.991316	5.171660
Slco5a1	Slco5a1	chr1	-	12866549	12993063	0.027564	0.001769	0.004593
Sulf1	Sulf1	chr1	+	12692262	12861192	0.048952	0.008156	0.021183
Prex2	Prex2	chr1	+	10993272	11303683	2.963521	0.187818	0.487782
A830018L16Rik	A830018L16Rik	chr1	+	11413563	11975902	0.017798	0.002030	0.005271
Ncoa2	Ncoa2	chr1	-	13139105	13374083	49.932354	4.767307	12.381205
Tram1	Tram1	chr1	-	13564693	13589910	3887.215332	213.371597	554.148804
Gm5523	Gm5523	chr1	-	13785685	13786929	0.167871	0.009215	0.023931
Msc	Msc	chr1	-	14753344	14756089	1.327638	0.084462	0.219356
Trpa1	Trpa1	chr1	-	14872648	14919014	0.000000	0.000000	0.000000
Eya1	Eya1	chr1	-	14168953	14310267	0.035727	0.002220	0.005764
Lactb2	Lactb2	chr1	-	13625898	13660605	377.275574	21.777433	56.558315
Xkr9	Xkr9	chr1	+	13668738	13702230	1.459693	0.179604	0.466452
Kcnb2	Kcnb2	chr1	+	15287157	15723751	0.036898	0.002093	0.005436
Sbspon	Sbspon	chr1	-	15853862	15892722	7.925036	0.435010	1.129767
Terf1	Terf1	chr1	+	15804982	15844052	95.202988	7.674322	19.931030
Rpl7	Rpl7	chr1	-	16101295	16104433	2227.614502	122.275101	317.561493
Rdh10	Rdh10	chr1	+	16105882	16132550	93.050110	5.107577	13.264922
Stau2	Stau2	chr1	-	16228803	16520182	12.271017	3.333003	8.656164
LOC102634042	LOC102634042	chr1	+	16253587	16263525	0.000000	0.000000	0.000000
Ube2w	Ube2w	chr1	-	16540788	16619415	57.299309	15.680784	40.724674
LOC108167614	LOC108167614	chr1	-	16591021	16596309	2.435064	0.133662	0.347135
Tceb1	Tceb1	chr1	-	16641725	16657119	474.127106	44.211636	114.822327
Tmem70	Tmem70	chr1	+	16665191	16678275	421.131653	23.149931	60.122841
Gdap1	Gdap1	chr1	+	17145373	17164271	1.049771	0.057623	0.149652
Ly96	Ly96	chr1	+	16688456	16709605	356.155884	19.549612	50.772423
Tfap2b	Tfap2b	chr1	+	19208914	19238845	0.537686	0.035824	0.093039
Gm16070	Gm16070	chr1	-	17676027	17727646	0.352632	0.019356	0.050270
Crispld1	Crispld1	chr1	+	17727029	17767235	1.331533	0.361036	0.937649
Gm28153	Gm28153	chr1	-	17751286	17944776	0.000000	0.000000	0.000000
Pkhd1	Pkhd1	chr1	-	20057779	20618082	0.000000	0.000000	0.000000
4930486I03Rik	4930486I03Rik	chr1	+	20356454	20392300	0.000000	0.000000	0.000000
6720483E21Rik	6720483E21Rik	chr1	-	20888650	20890473	0.000000	0.000000	0.000000
Paqr8	Paqr8	chr1	+	20890622	20939650	1.125673	0.598169	1.553508
Mcm3	Mcm3	chr1	-	20803014	20820213	392.565491	21.548157	55.962864
Efhc1	Efhc1	chr1	+	20951550	20990841	9.181510	0.539343	1.400731
Gm4956	Gm4956	chr1	-	21285246	21298312	1.207317	0.066270	0.172111
Tram2	Tram2	chr1	-	21001397	21079225	36.654675	2.011997	5.225371
Tmem14a	Tmem14a	chr1	+	21166436	21230167	2.269330	0.863006	2.241320
Gm32947	Gm32947	chr1	-	21189046	21195335	0.000000	0.000000	0.000000
Gm28836	Gm28836	chr1	-	21207234	21271685	0.000000	0.000000	0.000000
Gsta3	Gsta3	chr1	+	21240585	21265575	0.000000	0.000000	0.000000
Rims1	Rims1	chr1	-	22288422	22805724	0.000000	0.000000	0.000000
Kcnq5	Kcnq5	chr1	-	21398399	21962650	0.313423	0.017453	0.045327
Mir30a	Mir30a	chr1	+	23272269	23272339	0.760563	0.041748	0.108423
Ogfrl1	Ogfrl1	chr1	-	23366424	23383210	106.799477	5.899874	15.322602
